sample,b3528
ssw__glc_ale1__1,4.87440476338067
ssw__glc_ale2__1,5.02160780597851
ssw__glc_ale3__1,4.81904207141169
ssw__glyc_ale1__1,6.74515972562683
ssw__glyc_ale2__1,7.32294657862178
ssw__xyl_ale1__1,5.86597312715536
ssw__xyl_ale2__1,7.84419589214431
ssw__xyl_ale3__1,6.9125715778764105
ssw__glc_ac_ac2__1,8.9416745864412
ssw__glc_ac_glc1__1,4.37516341806259
ssw__glc_ac_glc2__1,5.04006764455554
ssw__glc_glyc_glc__1,5.662418425391259
ssw__glc_glyc_glyc__1,6.509807537353329
ssw__glc_xyl_glc__1,5.994493946053719
ssw__glc_xyl_xyl__1,7.07523043240029
pgi__glu4_delpgi__1,6.47477419955433
pgi__pgi_ale1__1,6.558797808614191
pgi__pgi_ale2__1,5.60008345640697
pgi__pgi_ale3__1,6.20586952902604
pgi__pgi_ale5__1,6.279054723593299
pgi__pgi_ale6__1,6.34884797483757
pgi__pgi_ale7__1,5.85866768219759
pgi__pgi_ale8__1,6.165817764401929
ica__wt_glc__1,6.767430889064009
ica__wt_glc__2,6.46591906709195
ica__wt_glc__3,6.4435199649006
ica__wt_glc__4,6.329248740396721
ica__arg_sbt__1,7.652530000017941
ica__arg_sbt__2,7.929628539051611
ica__cytd_rib__1,9.09154022728757
ica__cytd_rib__2,8.95243675837591
ica__gth__1,4.55623541128511
ica__gth__2,4.65209987555992
ica__leu_glcr__1,6.23835243568269
ica__leu_glcr__2,6.40513989817019
ica__met_glc__1,6.8585754763549005
ica__met_glc__2,7.37540212553038
ica__no3_anaero__1,4.11284241098992
ica__no3_anaero__2,4.173956346826451
ica__phe_acgam__1,6.6834848368135
ica__phe_acgam__2,6.78426677033355
ica__thm_gal__1,8.94156503147698
ica__thm_gal__2,9.04641621964528
ica__tyr_glcn__1,6.486443787710769
ica__tyr_glcn__2,6.54745600045131
ica__ura_pyr__1,7.63734686414135
ica__ura_pyr__2,8.29687865799793
ica__wt_glc__5,6.62784957261946
ica__wt_glc__6,6.597711823360161
ica__bw_delpurR_cytd__1,5.974082529871549
ica__bw_delpurR_cytd__2,5.60578958142182
ica__ade_glc__1,6.862350262971019
ica__ade_glc__2,6.65622387098555
ytf__wt_glc__1,6.041494526967139
ytf__wt_glc__2,5.83913394390125
ytf__delyafC__1,5.01113758343441
ytf__delyafC__2,4.84575027778077
ytf__delyeiE__1,4.975546371545719
ytf__delyeiE__2,5.28338266194682
ytf__delyiaJ__1,4.2270201996118395
ytf__delyiaJ__2,4.23223247971698
ytf__delyieP__1,4.55767000317184
ytf__delyieP__2,4.93320415535759
ytf__wt_ph5__1,6.05300318975069
ytf__wt_ph5__2,5.92234776291973
ytf__wt_ph8__1,6.259664011255901
ytf__wt_ph8__2,6.090400316969169
ytf__delybaO__1,5.02215347298344
ytf__delybaO__2,4.98947372869741
ytf__delybaQ__1,6.120891795315321
ytf__delybaQ__2,6.2558430482224
ytf__delybiH__1,5.07263162216279
ytf__delybiH__2,4.3918835756781105
ytf__delydcI_ph5__1,6.39947789276286
ytf__delydcI_ph5__2,6.062126049177281
ytf__delydcI_ph8__1,5.15476253820265
ytf__delydcI_ph8__2,5.794704625103519
ytf__delyddM__1,5.11430124474909
ytf__delyddM__2,5.20285086795437
ytf__delyheO__1,4.720513127660889
ytf__delyheO__2,5.17748097875836
fps__bw_glc__1,6.235988214241821
fps__bw_glc__2,6.69712910296999
