,bacA
Cr_1,0.006534829357175385
Cr_2,0.003153492904035406
Cr_3,0.006093293290897382
Cr_4,0.006881264819866514
Cr_5,-0.0015111971411618775
Cr_6,-0.006865705393912064
Fe_1,-0.06813101962280678
Fe_2,-0.13194619460038312
Fe_3,-0.1854487589319483
Fe_4,-0.23415527574079176
Fe_5,-0.2649402583425415
Fe_6,-0.2826790787616559
Cd_1,-0.013755772981718824
Cd_2,-0.023307286159186664
Cd_3,-0.025430584916030667
Cd_4,-0.02287996002927602
Cd_5,-0.0256240421921064
Cd_6,-0.021154825172825
Zn_1,-0.1107935158141988
Zn_2,0.6949173995590849
Zn_3,1.2123076178475631
Zn_4,1.3705708976026971
Zn_5,1.078777229816175
Zn_6,0.8959232959101956
Cu_1,0.0011890230403718244
Cu_2,0.0008404096204124138
Cu_3,0.003000727364893102
Cu_4,0.002897223915258569
Cu_5,0.004880326690602733
Cu_6,0.009537889881421641
Pb_1,0.00534180237099569
Pb_2,0.013674428047198782
Pb_3,0.028078258293282164
Pb_4,0.03810970720151096
Pb_5,0.05211025471001664
Pb_6,0.0705128129935943
