,dhaR
Cr_1,-0.004804376754506818
Cr_2,-0.007827577114652203
Cr_3,-0.010119187656292905
Cr_4,-0.0138227007239109
Cr_5,-0.016153401029558805
Cr_6,-0.01887071278960696
Fe_1,-0.02422082916871391
Fe_2,-0.051316882926151886
Fe_3,-0.06350671298517918
Fe_4,-0.07577532198004405
Fe_5,-0.07554720042339362
Fe_6,-0.053285317391173294
Cd_1,0.0008784763870676313
Cd_2,0.002091118291784235
Cd_3,0.003196635659366973
Cd_4,0.0028733005856635763
Cd_5,-0.003503929472613942
Cd_6,-0.0026054679010411945
Zn_1,-0.018254680025972
Zn_2,-0.00935128160446031
Zn_3,0.011693893194147112
Zn_4,0.04111144102938483
Zn_5,0.06470931204935307
Zn_6,0.08143237548340966
Cu_1,0.008208951664998942
Cu_2,0.0182398556190596
Cu_3,0.02522165470869205
Cu_4,0.03720401232888352
Cu_5,0.0479255766073675
Cu_6,0.057858775500894334
Pb_1,-0.000873210969376913
Pb_2,0.0076637680625558395
Pb_3,0.01999982021834684
Pb_4,0.028204386559082
Pb_5,0.033406785138356605
Pb_6,0.04797839680182813
