,yfcC
Cr_1,0.0010418495187532561
Cr_2,-0.0009370171135695254
Cr_3,0.02309689409714899
Cr_4,0.026933428243349943
Cr_5,0.04372490456896665
Cr_6,0.06265819776849252
Fe_1,-0.04529396419965113
Fe_2,-0.09747902081878787
Fe_3,-0.15925472635011068
Fe_4,-0.1848506476801657
Fe_5,-0.2055318283391765
Fe_6,-0.2108355427291808
Cd_1,-0.0006363584851185943
Cd_2,0.007935078877629927
Cd_3,0.006286813343845032
Cd_4,-0.000636432552161446
Cd_5,0.008232898306879998
Cd_6,0.013879640758536524
Zn_1,-0.018849902312854463
Zn_2,-0.03296155543675984
Zn_3,-0.024504435238970425
Zn_4,-0.027867482814475292
Zn_5,-0.029840374024380206
Zn_6,-0.03568172174991178
Cu_1,0.004680628628392121
Cu_2,0.010753493630018951
Cu_3,0.021152375084553896
Cu_4,0.03056142728252887
Cu_5,0.053855915826862964
Cu_6,0.05650906165812542
Pb_1,-0.010673504361166288
Pb_2,-0.008819706127636941
Pb_3,-0.001527875777139467
Pb_4,-0.0032596832019809326
Pb_5,0.004854570942703313
Pb_6,0.004909620288504985
