,A,PydR
R2,,0.3006410233616471
xmin,,-1.428140587333333
xmid,,-0.06788992878527475
xmax,,2.001634044666667
ystart,,-2.9844618890073695
yend,,30.765194277697304
ALE:GalactoseA5:1.0,-14.9232486048164,0.4464166075000007
ALE:GalactoseA5:2.0,-16.021533411197396,0.2931656895000012
ALE:GalactoseA6:1.0,-33.1152173497528,0.0716180325000008
ALE:GalactoseA6:2.0,-31.683360161449023,0.0543335225000012
ALE:GalactoseA8:1.0,-28.977341549825567,-0.1385932624999988
ALE:GalactoseA8:2.0,-30.514427470298347,0.1391157945000012
ALE:IL_Control:1.0,-2.690017552845484,-0.012613053499999
ALE:IL_Control:2.0,4.800690489059478,0.2326909225000006
ALE:IL_Control:3.0,-0.4355660656460241,-0.1658964474999988
ALE:IL_Control:4.0,-1.6751068708868315,-0.0541814214999991
ALE:IL_TEOH_OAc:1.0,-10.174489562148594,0.9059830165000012
ALE:IL_TEOH_OAc:2.0,-1.7894613389349845,0.7342117925000009
ALE:IL_TEA_HS:1.0,3.834269626263319,0.2963607725000008
ALE:IL_TEA_HS:2.0,-3.2863151981899312,0.2050068155000008
ALE:IL_Mixed:1.0,-3.37231921692006,0.6166926695000008
ALE:IL_Mixed:2.0,-3.643429098614837,0.4665398305000012
ALE:IL_PP5350:1.0,-17.800345122946382,-0.3749986484999992
ALE:IL_PP5350:2.0,-16.994005385976592,-0.3995564454999991
ALE:IL_T8:1.0,-8.229956434676806,-0.0856075784999985
ALE:IL_T8:2.0,-8.333094914843278,-0.0372693174999989
ALE:IL_T9:1.0,-25.841144846826825,-0.104784359499999
ALE:IL_T9:2.0,-25.81080540355413,-0.1748831634999987
ALE:IL_Control2:1.0,-27.2482408349696,0.3246552765000015
ALE:IL_Control2:2.0,-29.6369043588778,0.2737746545000012
ALE:IL_Glc+Ace:1.0,-5.797855579470393,0.1415337575000013
ALE:IL_Glc+Ace:2.0,-4.637665473573415,0.3457897245000012
ALE:XyloseA1:1.0,-1.9066465361937,0.3077487645000012
ALE:XyloseA1:2.0,-1.3747314729585072,0.1628490735000012
ALE:XyloseA2:1.0,-7.882265675046529,0.4810233625000011
ALE:XyloseA2:2.0,-6.6119801948517765,0.399933282500001
ALE:XyloseA3:1.0,-9.198878967529792,0.2754164785000013
ALE:XyloseA3:2.0,-8.798041129505467,-0.0678779594999987
ALE:XyloseA4:1.0,-7.170862216606634,0.2886793495000006
ALE:XyloseA4:2.0,-7.848810390465633,0.3448347345000009
Aromatic:Coumarate:1.0,-1.9990582780827544,0.4243401480000006
Aromatic:Coumarate:2.0,0.8940473840087003,0.3641893950000012
Aromatic:Coumarate:3.0,0.299298423306211,0.4051223780000006
Aromatic:Coumarate+ferulate:1.0,-9.161747220812993,0.9124946870000006
Aromatic:Coumarate+ferulate:2.0,-5.91299354089613,0.7602635870000007
Aromatic:Coumarate+ferulate:3.0,-4.845665785776547,0.5975749970000006
Aromatic:Ferulate:1.0,11.91600926082756,0.6793286950000006
Aromatic:Ferulate:2.0,11.60434554357567,0.6646246950000005
Aromatic:Ferulate:3.0,11.348090347142753,0.2328194660000013
Aromatic:Glucose:1.0,-2.143544450758633,-0.2213048419999994
Aromatic:Glucose:2.0,5.2992390221225,0.1585706800000013
Aromatic:Glucose:3.0,-3.1556945708522903,0.0627341620000008
Bioreactor1:24h:1.0,-0.4993464358797165,0.4333315469999999
