,yeiC
Cr_1,-0.0022465419418492933
Cr_2,-0.00022907373928789462
Cr_3,0.00047208665175347284
Cr_4,0.0019068532670019267
Cr_5,0.011951500357326065
Cr_6,0.019994327538672318
Fe_1,-0.03057915050826735
Fe_2,-0.04834229551730573
Fe_3,-0.04190759110575342
Fe_4,-0.03836707817974276
Fe_5,-0.03406696908799085
Fe_6,-0.02521230319427491
Cd_1,0.0063774332854729604
Cd_2,0.011866537453298465
Cd_3,0.02590713112428357
Cd_4,0.03257724679293472
Cd_5,0.031244762946576608
Cd_6,0.04152865133772101
Zn_1,0.011167692855704498
Zn_2,0.04802086635461469
Zn_3,0.17636747088841964
Zn_4,0.2770853289764976
Zn_5,0.1627265322442991
Zn_6,0.16999850622705098
Cu_1,0.008709014184380285
Cu_2,0.017010485582409612
Cu_3,0.02528274145670836
Cu_4,0.03283255587776025
Cu_5,0.04078387215700557
Cu_6,0.0496326024487911
Pb_1,0.006725610930939997
Pb_2,0.01353574408064988
Pb_3,0.03189329691735667
Pb_4,0.04301664069924708
Pb_5,0.053172410121299855
Pb_6,0.058237838233577616
