,-0.09085889178947369,-0.08076345936842105,-0.07066802694736841,-0.060572594526315776,-0.05047716210526314,-0.0403817296842105,-0.03028629726315786,-0.02019086484210522,-0.010095432421052583,5.551115123125783e-17,0.010095432421052694,0.020190864842105333,0.03028629726315797,0.040381729684210624,0.05047716210526325,0.06057259452631587,0.07066802694736853,0.08076345936842118,0.0908588917894738,0.10095432421052643
thresh,-0.095906608,0.095906608,1,,,,,,,,,,,,,,,,,
unreg,0,0,1,1,0,18,54,246,969,1952,780,193,48,14,5,8,4,0,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
