,A,CecR
R2,,0.08070116261012761
xmin,,0.0
xmid,,5.329841041568346
xmax,,9.1804186119
ystart,,-0.7858653533776749
yend,,3.404104671280746
control__wt_glc__1,-0.4026124834,5.8954890195
control__wt_glc__2,0.4026124834,5.5844262657
fur__wt_dpd__1,2.1741616965,5.9763669676
fur__wt_dpd__2,1.9370628004000001,6.1784417583
fur__wt_fe__1,-0.44912317620000003,5.4070662590000005
fur__wt_fe__2,-0.6818461254,5.4495912409
fur__delfur_dpd__1,2.4527099509,6.0296429913
fur__delfur_dpd__2,2.3315526452,5.9082362558
fur__delfur_fe2__1,-0.5089660229,5.8427579639000005
fur__delfur_fe2__2,-0.5864280027000001,5.8189585752
acid__wt_ph5__1,1.0501061532,6.2033383466
acid__wt_ph5__2,1.0086575314,5.8211891017
acid__delgadx_ph5__1,0.4604635318,5.9170617518
acid__delgadx_ph5__2,0.3344058211,5.7867930022
acid__delgadw_ph5__1,0.6045307788000001,5.9367157137
acid__delgadw_ph5__2,0.9123845565,5.8694698792
acid__delgade_ph5__1,0.7067261771000001,5.781842668
acid__delgade_ph5__2,0.9634089263000001,5.9304925545
oxidative__wt_pq__1,3.1284747458,6.5570791618
oxidative__wt_pq__2,3.7406270316,6.518163943
oxidative__deloxyr_pq__1,1.5700629965,6.8079049321
oxidative__deloxyr_pq__2,2.8069698892,6.6945371474
oxidative__delsoxr_pq__1,3.7143451937,6.2986156363
oxidative__delsoxr_pq__2,2.6038284495,6.4400808152
oxidative__delsoxs_pq__1,4.2360257092,6.977510714
oxidative__delsoxs_pq__2,3.9208893612,6.9322518506
nac_ntrc__wt_csn__1,0.5495506036,6.0772066893
nac_ntrc__wt_csn__2,0.8181683924,5.8800018094
nac_ntrc__wt_cytd__1,0.7216362832000001,6.1520974284
nac_ntrc__wt_cytd__2,1.0945648312,6.0027683166
nac_ntrc__wt_gln__1,0.7723712580000001,6.2939632032
nac_ntrc__wt_gln__2,1.1701966747,6.2801929059
nac_ntrc__bw_delnac_csn__1,0.86629946,5.8336599207
nac_ntrc__bw_delnac_csn__2,1.1890698202,6.0478705966
nac_ntrc__bw_delnac_cytd__1,0.1246277774,6.0754121882
nac_ntrc__bw_delnac_cytd__2,1.0811516665,5.7948148667
nac_ntrc__bw_delnac_gln__1,1.0239568029,5.9172202893
nac_ntrc__bw_delnac_gln__2,0.7844512958000001,6.1132945086
nac_ntrc__bw_delnac_nh4__1,-0.38276768450000004,5.7986606218
nac_ntrc__bw_delnac_nh4__2,-0.684252327,5.4523727169
misc__wt_no_te__1,2.4137419123,5.9286507452
misc__wt_no_te__2,1.9217480427,5.7494846281
misc__bw_delcbl__1,-0.8437592012,5.5500219549
misc__bw_delcbl__2,0.2126024644,5.6234054459
misc__bw_delfabr__1,-0.6279225847000001,5.3734337549
misc__bw_delfabr__2,-0.2772952333,5.3055820889
misc__bw_delfadr__1,-0.2548845073,5.7898944709
misc__bw_delfadr__2,-0.077191276,5.8324454702
misc__nitr_031__1,1.0064580878,6.0965760977
omics__wt_glu__1,0.47686825190000004,7.3218653709
omics__wt_glu__2,-0.2676660871,7.2770257179
omics__wt_gly__1,-0.4512273489,6.8069960567
omics__wt_gly__2,-0.48995224530000003,6.6606251355
omics__wt_thr__1,-2.7230900611,8.0433606387
omics__wt_thr__2,-1.8129491344000002,8.1095283923
omics__bw_ac__1,-2.8383817685,5.7420972822
omics__bw_ac__2,-2.0864249054,5.8555788217
omics__bw_fum__1,-3.1871763945,5.9016672965
omics__bw_fum__2,-2.5322130454,5.69451079
omics__bw_glc__1,-1.327346085,6.2038921105
omics__bw_glc__2,-1.5050010539,6.2549184823
omics__bw_pyr__1,-2.3430265631,6.0489871985
omics__bw_pyr__2,-3.015258835,5.7625483446
ompr__wt_nacl__1,7.173324429,8.5338522003
ompr__wt_nacl__2,5.0522823954,8.6452074747
ompr__bw_delompr_nacl__1,6.7910971291,9.1804186119
ompr__bw_delompr_nacl__2,6.8958260174,9.1061734986
minspan__wt_ade__1,-1.6085385314,5.5046266438
minspan__wt_glc__1,0.0059755170000000005,5.45672127
minspan__wt_glc__2,-0.5605062015,5.3094076629
minspan__wt_glc__3,-0.5594774895,5.6774506377
minspan__wt_glc__4,0.1638510429,5.4590756557
minspan__wt_glc_anaero__1,-0.6497854992000001,5.7901090792000005
minspan__wt_glc_anaero__2,0.5964998690000001,5.4496740464
minspan__wt_trp__1,-0.6120505823,5.5486591633
minspan__bw_delcra_glc__1,-0.8815785479,6.2090878241
minspan__bw_delcra_glc__2,-1.9932916614,6.3305751141
minspan__bw_delcra_trp__1,-0.7039448423,6.3041657129
minspan__bw_delmntr__1,-0.417657058,6.030316399
minspan__bw_delnac_ade__1,-0.3835563038,4.9721468992
minspan__bw_delnac_glc__1,-0.6643848048000001,5.3637043012
cra_crp__wt_ac__1,-1.2948267304,6.6045615684
cra_crp__wt_ac__2,-1.9031488012,6.8793359545
cra_crp__wt_fru__1,-1.0584664092,7.1483544561
cra_crp__wt_fru__2,-0.8867482521000001,7.1170885032
cra_crp__delcra_ac__1,-0.08704290370000001,5.0064819425
cra_crp__delcra_ac__2,-1.4376926569,5.1662875757
cra_crp__delcra_fru__1,0.6267777675,5.681946259
cra_crp__delcra_fru__2,0.9785905822000001,5.5290850097
cra_crp__delcra_glc__1,0.9937968317,5.0163195784
cra_crp__delcra_glc__2,0.2389594932,5.4052472048
rpoB__wt_031__1,-0.6706742342,6.0253464848
rpoB__wt_044__1,-0.7662008063,5.9643768853
rpoB__wt_lb__1,0.6548478682000001,6.0445640017
rpoB__wt_lb__2,0.0981428417,6.1519943275
rpoB__rpoBE546V_031__1,-1.9974000399,5.8485795308
rpoB__rpoBE546V_044__1,-1.9966577803,6.053389273
rpoB__rpoBE546V_lb__1,-0.9818984837,6.3250956801000005
rpoB__rpoBE546V_lb__2,-1.5721637302,6.2170623881000004
rpoB__rpoBE546V_glc__1,-1.8030917353,5.3344988761
rpoB__rpoBE672K_glc__1,-1.7336990007000002,4.8464872863
rpoB__rpoBE672K_glc__2,-2.2418418155,4.8823040651
rpoB__rpoBE672K_lb__1,-1.2753282845,5.0469489163
rpoB__rpoBE672K_lb__2,-1.3859423886,5.0141475111
crp__wt_fru__1,-2.3775824989,5.3376691241
crp__wt_glyc__1,-2.2575516294,4.9196110686
crp__wt_glyc__2,-2.0252777899,4.2800393718
crp__delar1_glyc__1,1.9159002638,5.5372305788
crp__delar1_glyc__2,1.5118875521000001,5.6111489609
crp__delar1ar2_glyc__1,0.4147376747,5.9362988657999995
crp__delar1ar2_glyc__2,0.1534443133,5.8360881232
crp__delar1ar2_glyc__3,0.6250130849000001,5.5925633062
crp__delar2_glyc__1,1.1440614243,5.7691074659
crp__delar2_glyc__2,1.0020206286,5.8993848677
crp__delar2_glyc__3,0.3409629119,5.9770855754
crp__delcrp_fru__1,2.2025425058,6.1972391734
crp__delcrp_fru__2,1.8502411431999999,6.4026686815
crp__delcrp_fru__3,2.0233186136,6.0975074298
crp__delcrp_glc__1,1.459770956,6.0537272061
crp__delcrp_glc__2,1.3540058443,6.1836287925
crp__delcrp_glc__3,1.7176288456000002,6.1058012375
crp__delcrp_glyc__1,-0.0599306885,6.0513555971
crp__delcrp_glyc__2,1.2178036612,5.7967395625
crp__delcrp_glyc__3,0.8439013551000001,5.9989195052
glu__glu_ale3__1,-5.0741067274,6.5609870011
glu__glu_ale4__1,-0.8765261561000001,5.7375939642
glu__glu_ale5__1,-1.6521717049,5.5565515398
glu__glu_ale6__1,-0.2198946347,5.0308293389
glu__glu_ale8__1,-3.8630397587000003,6.7248275089
glu__glu_ale9__1,-3.0220192096,6.8370754356
glu__glu_ale10__1,-2.8594867914,6.5631349396
42c__wt_42c__1,0.9206414432000001,5.8231328136
42c__42c_ale1__1,-0.2980103357,6.2611023441
42c__42c_ale2__1,-2.0435028832,6.3050001939
42c__42c_ale3__1,-1.2132992751,6.0075397674
42c__42c_ale4__1,-2.2129700275,7.0446478821
42c__42c_ale5__1,-0.2337560237,5.3845319207
42c__42c_ale6__1,-0.3713852266,6.6804737601
42c__42c_ale8__1,-2.3951737794,7.3625089003
42c__42c_ale9__1,0.0142521191,5.8883419806
42c__42c_ale10__1,-2.7295876392,6.7369871587
ssw__wt_ac__1,-1.123071806,5.0463227555
ssw__wt_glc__1,0.5293998025000001,6.0240201795
ssw__wt_glyc__1,-2.0070302099,4.7794520217
ssw__wt_xyl__1,2.4777923004,6.3682848364
ssw__glc_ale1__1,-1.9257922226000002,5.7026307963
ssw__glc_ale2__1,-0.7139063768,5.9527347241
ssw__glc_ale3__1,-1.823902906,5.5314603162000004
ssw__glyc_ale1__1,-0.6972421159000001,5.496330446
ssw__glyc_ale2__1,-3.3879921836999998,5.4457158345
ssw__xyl_ale1__1,-5.6109121274,5.7878862322
ssw__xyl_ale2__1,-5.6721956534,5.9089112561
ssw__xyl_ale3__1,-1.4267606924,5.3971620685
ssw__glc_ac_ac2__1,-2.0623176689,5.5158993976
ssw__glc_ac_glc1__1,-0.7098500134,6.0101585308
ssw__glc_ac_glc2__1,-0.7175451965,5.5114590619
ssw__glc_glyc_glc__1,-1.220504437,6.4066366966
ssw__glc_glyc_glyc__1,-1.1045719736,6.0719184078
ssw__glc_xyl_glc__1,-3.6150111886,5.5389708582
ssw__glc_xyl_xyl__1,-1.9927379942,4.9152669092
pgi__glu4_delpgi__1,-0.442444288,5.3886323867
pgi__pgi_ale1__1,-0.5526838014000001,5.444772872
pgi__pgi_ale2__1,0.4732324868,6.3910223902
pgi__pgi_ale3__1,-0.8937147052000001,5.8687806512
pgi__pgi_ale5__1,-0.9550721614000001,5.6028097058
pgi__pgi_ale6__1,-2.0633235649,5.6733260909
pgi__pgi_ale7__1,-1.1098091921,5.7026362218
pgi__pgi_ale8__1,-1.2253795559,5.3195360896
ica__wt_glc__1,-1.2253890694,4.4857826092
ica__wt_glc__2,-1.5972905531000001,4.7963440078
ica__wt_glc__3,-0.39433508780000004,5.2788425785
ica__wt_glc__4,-1.533432127,5.1331373914
ica__arg_sbt__1,-1.4530731507999999,4.5360885908
ica__arg_sbt__2,-2.5210955233,4.9128702338
ica__cytd_rib__1,1.0387369637,6.6630292136
ica__cytd_rib__2,0.7916678528000001,6.6469632641
ica__gth__1,0.4318282778,6.5651832899
ica__gth__2,-0.0498649724,6.6370831226
ica__leu_glcr__1,-0.8073433654000001,4.7734877921
ica__leu_glcr__2,-1.0526246777,4.8000243734
ica__met_glc__1,-0.8866269324,4.4966854565
ica__met_glc__2,-1.4541040490000001,4.2052168595
ica__no3_anaero__1,2.4191200422,5.7247724778
ica__no3_anaero__2,1.8344660231,5.6322632322
ica__phe_acgam__1,-1.3249651774,4.6859027071
ica__phe_acgam__2,-1.1272841129,4.5300059306
ica__thm_gal__1,-1.1217116302,4.8971570269
ica__thm_gal__2,-0.8612351842,4.8827694917
ica__tyr_glcn__1,-0.46696935980000004,4.7126374633
ica__tyr_glcn__2,0.1884841248,4.8353461453
ica__ura_pyr__1,-1.5112264893,4.500353465
ica__ura_pyr__2,-1.3985764023,4.6746749882
ica__wt_glc__5,0.4106458806,5.4207811707
ica__wt_glc__6,0.9915280969,5.159180554
ica__bw_delpurR_cytd__1,0.4587922687,4.8237866700000005
ica__bw_delpurR_cytd__2,-0.3212147119,4.820144791
ica__ade_glc__1,-1.5292699064000002,5.4647775008
ica__ade_glc__2,-1.6184913898,5.2804339261
ytf__wt_glc__1,-0.2035878237,5.9562199583
ytf__wt_glc__2,0.23912396030000002,6.2893565423
ytf__delyafC__1,0.7974937774,6.033814087
ytf__delyafC__2,1.4070588649,6.2740624113
ytf__delyeiE__1,0.8109214801,5.6375192184
ytf__delyeiE__2,0.1322652758,5.4202716185
ytf__delyiaJ__1,1.7511096974,6.1054089047
ytf__delyiaJ__2,1.9771243846000002,6.4926542351
ytf__delyieP__1,0.31685690310000003,6.2160775065
ytf__delyieP__2,1.3482522448,6.0340927628
ytf__wt_ph5__1,1.1012496995,5.8551994184
ytf__wt_ph5__2,0.1647516506,5.886931597
ytf__wt_ph8__1,-0.22116763,5.6218026611
ytf__wt_ph8__2,-0.7685679808,5.9510330232
ytf__delybaO__1,-0.5689237471,6.0403591738
ytf__delybaO__2,0.7585870979,6.1018559889
ytf__delybaQ__1,0.7152509356,5.5939521656
ytf__delybaQ__2,0.7687929801000001,5.5963941366
ytf__delybiH__1,15.0955767431,0.0
ytf__delybiH__2,17.033739845,0.6440502144
ytf__delydcI_ph5__1,1.1031749971,5.6990828768
ytf__delydcI_ph5__2,1.2832203433,5.7087860014
ytf__delydcI_ph8__1,-0.9785707633,5.7019749772
ytf__delydcI_ph8__2,-0.8369992971,5.4793279763000005
ytf__delyddM__1,0.9244120376,6.0862465038
ytf__delyddM__2,1.2242446244,6.1608295144
ytf__delyheO__1,0.3152216687,5.7680779241
ytf__delyheO__2,0.12875094110000002,6.0688110261
fps__bw_glc__1,-0.4039059337,5.1505197004
fps__bw_glc__2,-0.0511579262,5.4154138609
fps__fps_thrA_ale1__1,-1.2842795409,5.5672500406
fps__fps_thrA_ale1__2,-0.4037520656,5.4942474194
fps__fps_thrA_ale2__1,-1.6039203941,5.4462578522000005
fps__fps_thrA_ale2__2,-1.8731470284,5.3893332932
fps__fps_serB_ale1__1,-0.1959914632,5.4468409774
fps__fps_serB_ale1__2,-0.8344640835,5.4945913094
fps__fps_serB_ale4__1,-1.3329847404000001,5.6923541311
fps__fps_serB_ale4__2,-1.5552344992,5.8632893021
fps__fps_ptsI_ale1__1,-2.3492845085000003,5.3953136098
fps__fps_ptsI_ale1__2,-2.0888277357,5.310392308
fps__fps_ptsI_ale3__1,-1.8746157898,5.0480839695
fps__fps_ptsI_ale3__2,-1.5535680579,5.4299551452
pal__lyx_ale2_f6__1,-1.7058647979,5.2042590042
pal__lyx_ale2__1,-3.3411849773,5.156567294
pal__lyx_ale2__2,-2.7360021039999998,5.0073449782
pal__lyx_ale4__1,-3.3411849773,5.156567294
pal__lyx_ale4__2,-2.7360021039999998,5.0073449782
pal__5drib_ale10_f18__1,-3.1199581675,5.100076752
pal__5drib_ale10_f18__2,-1.9883013327999999,4.8702138598
pal__5drib_ale10__1,-2.7786222734,5.4101846976
pal__arab_ale14_f9__1,-1.3869660050000001,5.5071120825
pal__arab_ale14_f9__2,-1.31189632,5.3239983745
pal__arab_ale14__1,-0.7649909858,4.7101642865999995
pal__arab_ale14__2,-0.8792627705,4.5353964555
pal__arab_ale16__1,-2.8437782016,5.238855894
pal__arab_ale16__2,-2.9816913817,5.3327740768
pal__tartr_ale26_f10__1,-1.9076858325,5.4322369923
pal__tartr_ale26_f10__2,-2.0981525494,5.160163148
pal__tartr_ale26__1,-2.1166189506,5.1665017456
pal__tartr_ale26__2,-2.7816836264,4.7981662702
pal__tartr_ale28_f10__1,-0.3630426614,6.2463685627
pal__tartr_ale28_f10__2,-0.7307030536,5.7718204499
pal__tartr_ale28__1,-1.4604369960999999,5.0063732533
pal__tartr_ale28__2,-2.0913991757,5.5280632501
efeU__delmenFentC_citr__1,-0.60906209,5.6557549033
efeU__delmenFentC_citr__2,-0.7159999944000001,5.5730027639
efeU__delmenFentC__1,1.3549433112,5.6607476149
efeU__delmenFentC__2,1.474499186,5.8078136461
efeU__menFentC_ale39__1,-0.8659354002,5.6922346847
efeU__menFentC_ale39__2,-0.5424697181,5.850824973
efeU__menFentC_ale29__1,1.5899535564,6.1027434132
efeU__menFentC_ale29__2,1.6391001205,6.18788534
efeU__menFentC_ale30__1,-1.4103334102,5.2757382036
efeU__menFentC_ale30__2,-1.2427916909,5.5839667266
efeU__menFentCubiC_ale36__1,1.0546089269,5.6202417999000005
efeU__menFentCubiC_ale36__2,0.7248869919,5.6380865944
efeU__menFentCubiC_ale37__1,1.38052607,5.6387336017
efeU__menFentCubiC_ale37__2,0.4786835218,5.8174483491
efeU__menFentCubiC_ale38__1,1.5575130816,5.5353799878
efeU__menFentCubiC_ale38__2,1.0806407763,5.602172087
