,ydfZ
Cr_1,0.005690984114856671
Cr_2,0.014090871728132287
Cr_3,0.017486669476864548
Cr_4,0.01605889685695605
Cr_5,0.017412268685173298
Cr_6,0.017085207850673783
Fe_1,-0.004816597139120868
Fe_2,-0.01634660386152827
Fe_3,-0.01459105120560731
Fe_4,-0.021291823080640898
Fe_5,-0.01798313496992129
Fe_6,-0.008962294646966455
Cd_1,0.0022090446331255874
Cd_2,0.006501096068318028
Cd_3,0.011937985523904696
Cd_4,0.01516842460085799
Cd_5,0.014397504646809412
Cd_6,0.019561425254432045
Zn_1,0.00033474372484725777
Zn_2,-3.412985395052747e-05
Zn_3,0.003056013343338487
Zn_4,0.015755437886119716
Zn_5,0.027643285649502847
Zn_6,0.03388042306084777
Cu_1,-0.00499988288355705
Cu_2,-0.002730393147602346
Cu_3,0.001698124562083393
Cu_4,0.005437838863410815
Cu_5,0.011907502433923372
Cu_6,0.01498640660592399
Pb_1,0.0007703992472016344
Pb_2,0.0025725702219694213
Pb_3,0.013187363157860444
Pb_4,0.03156476155610996
Pb_5,0.04016322715105768
Pb_6,0.046191337963290516
