,yggH
Cr_1,-0.006735540670729477
Cr_2,-0.008912385225306371
Cr_3,-0.008149097822512228
Cr_4,-0.009890378610581904
Cr_5,-0.012795249397174316
Cr_6,-0.01737118810336811
Fe_1,-0.0023709969775752822
Fe_2,-0.012780796607611273
Fe_3,-0.02927722534054233
Fe_4,-0.04625302847317887
Fe_5,-0.05732531837498572
Fe_6,-0.06271678467752563
Cd_1,-0.0016802632344930836
Cd_2,0.0009276763009117092
Cd_3,0.004383184800046084
Cd_4,0.005994350714981092
Cd_5,0.0021196429498004012
Cd_6,-0.008019096066281635
Zn_1,-0.0005481906857500271
Zn_2,-0.007641573482352191
Zn_3,-0.013781993180486526
Zn_4,-0.019042612755136013
Zn_5,-0.02392054371945869
Zn_6,-0.030144575422382882
Cu_1,7.951058299605343e-05
Cu_2,0.0002618324821751376
Cu_3,0.0037723032333713147
Cu_4,0.0066151039726602716
Cu_5,0.018216015864314795
Cu_6,0.04101322785824775
Pb_1,0.0037692431318597968
Pb_2,0.010490181131641074
Pb_3,0.01603400967265883
Pb_4,0.02196400034323621
Pb_5,0.02719907798150888
Pb_6,0.029151435591089805
