,ykgD
Cr_1,0.008605174487226117
Cr_2,0.019025117174729076
Cr_3,0.025081249110040532
Cr_4,0.02914366396784112
Cr_5,0.03191063505298773
Cr_6,0.02873527966450566
Fe_1,-0.0061201754000069575
Fe_2,-0.010695244381892769
Fe_3,-0.011819857806930836
Fe_4,-0.008358920800805272
Fe_5,0.001806423026573465
Fe_6,0.021496217428138398
Cd_1,0.0012020104501214708
Cd_2,0.0030837208463103177
Cd_3,0.006460496332678204
Cd_4,0.007806336675026076
Cd_5,0.005537220000072025
Cd_6,0.008429824965740141
Zn_1,0.0021446762288858247
Zn_2,0.008894907449449822
Zn_3,0.023334302295764508
Zn_4,0.044011974078668255
Zn_5,0.06594269356107947
Zn_6,0.08561485513422205
Cu_1,0.0005610194366167086
Cu_2,0.004507850420266807
Cu_3,0.011734186902937224
Cu_4,0.018956194218939976
Cu_5,0.03009606414686157
Cu_6,0.03943146254251554
Pb_1,0.0010577929509931689
Pb_2,0.006481914336477954
Pb_3,0.009414095757917929
Pb_4,0.016466103144420822
Pb_5,0.02468805119880358
Pb_6,0.02893052337642765
