,ldhA
Cr_1,-0.0007888042325512387
Cr_2,0.002186670834508886
Cr_3,0.00597986832537932
Cr_4,0.007846466795577335
Cr_5,0.008974189802419033
Cr_6,0.007932233788749027
Fe_1,-0.003007757904998813
Fe_2,-0.02031274399756193
Fe_3,-0.046108183145449434
Fe_4,-0.07595644831046924
Fe_5,-0.10061757990142924
Fe_6,-0.11565122305983007
Cd_1,0.004135660801207484
Cd_2,0.00913326586734636
Cd_3,0.013955136327897409
Cd_4,0.01890627166760258
Cd_5,0.019964462350404076
Cd_6,0.025829967843215524
Zn_1,0.0031135868031450763
Zn_2,0.004801465308105075
Zn_3,0.006882745370360688
Zn_4,0.009930862050093534
Zn_5,0.01892970498427329
Zn_6,0.031083166813889982
Cu_1,0.004720358093960096
Cu_2,0.009005601090497773
Cu_3,0.012446438453400772
Cu_4,0.01579168281450356
Cu_5,0.017774176905064373
Cu_6,0.02117145223380717
Pb_1,0.006391337317012828
Pb_2,0.009699793863693287
Pb_3,0.013968935625948009
Pb_4,0.020059122622235668
Pb_5,0.025587639964387027
Pb_6,0.0301753839392381
