,A,GcvA
R2,,0.13151335893710192
xmin,,-1.3588593764999999
xmid,,
xmax,,1.7734962955
ystart,,2.305781235933977
yend,,-5.396753038891898
control__wt_glc__1,-0.36380957270000003,-0.0646637755
control__wt_glc__2,0.36380957270000003,0.0646637755
fur__wt_dpd__1,-3.8792565494,0.0063318865
fur__wt_dpd__2,-4.0148856554,-0.1038594495
fur__wt_fe__1,0.3562528109,-0.1154926445
fur__wt_fe__2,0.33895220400000003,-0.0859194015
fur__delfur_dpd__1,-1.9905795513000002,-0.1954695395
fur__delfur_dpd__2,-1.7736037136,-0.2249829415
fur__delfur_fe2__1,-0.6488944749000001,0.008404057500000001
fur__delfur_fe2__2,-0.6076473752,0.0477273085
acid__wt_ph5__1,-0.5610255021,0.18277044950000002
acid__wt_ph5__2,-0.40264053650000003,0.0841871305
acid__delgadx_ph5__2,-0.3842688205,0.0011303285
acid__delgadw_ph5__1,0.3809016081,-0.2220681115
acid__delgadw_ph5__2,-0.06533016300000001,0.1215067365
acid__delgade_ph5__1,-0.0866447377,0.3767903555
acid__delgade_ph5__2,0.1663044415,0.2622354215
oxidative__wt_pq__1,-3.9477898368,-0.6802592125
oxidative__wt_pq__2,-4.2162248844,-0.6149076385000001
oxidative__deloxyr_pq__1,-5.6871204881,-0.4099727985
oxidative__deloxyr_pq__2,-5.6559322451,-0.5148146665000001
oxidative__delsoxr_pq__1,-3.1774158601,-0.9748724945
oxidative__delsoxr_pq__2,-3.2481236626,-0.6293858945
oxidative__delsoxs_pq__1,-4.1949756385,-0.9307891175
oxidative__delsoxs_pq__2,-4.2096471896,-0.5405997525
nac_ntrc__wt_csn__1,-1.0726947767,0.1898208245
nac_ntrc__wt_csn__2,-1.2422739711,0.0762400495
nac_ntrc__wt_cytd__1,-1.5923980968,-0.0228796275
nac_ntrc__wt_cytd__2,-1.1811339706,-0.0689560655
nac_ntrc__wt_gln__1,-0.8104633677,0.07812247750000001
nac_ntrc__wt_gln__2,-0.8726214541,0.0302315825
nac_ntrc__bw_delnac_csn__1,-1.7149010756,0.4541630595
nac_ntrc__bw_delnac_csn__2,-1.6210589882000002,0.0200384505
nac_ntrc__bw_delnac_cytd__1,-1.069679101,0.47978619250000004
nac_ntrc__bw_delnac_cytd__2,-1.2454188885,0.2238135555
nac_ntrc__bw_delnac_gln__1,-1.2286338741,0.5241362565000001
nac_ntrc__bw_delnac_gln__2,-1.6114116288,0.6699842465
nac_ntrc__bw_delnac_nh4__1,-0.12477143880000001,0.0655284415
nac_ntrc__bw_delnac_nh4__2,0.2419805579,0.0470905145
misc__wt_no_te__1,-2.1370272852,0.1279063555
misc__wt_no_te__2,-0.8996754531000001,0.0725146945
misc__bw_delcbl__1,1.0011016188,-0.19992877250000002
misc__bw_delcbl__2,0.478535476,-0.2021888275
misc__bw_delfabr__1,0.9949866201,-0.3429435375
