,ubiG
Cr_1,-0.014540518503606891
Cr_2,-0.02652164302863206
Cr_3,-0.026449507278798412
Cr_4,-0.01608686176811308
Cr_5,-0.0012993885569324221
Cr_6,0.010205804115971074
Fe_1,-0.011767766179147505
Fe_2,-0.029290823697822155
Fe_3,-0.041150726665902734
Fe_4,-0.0555896639029622
Fe_5,-0.0625856689958235
Fe_6,-0.06562184918801753
Cd_1,0.003690576615805932
Cd_2,0.008424140915762275
Cd_3,0.007336526912195381
Cd_4,0.014363824727786113
Cd_5,0.014921044951214947
Cd_6,0.024787120518032942
Zn_1,-0.010012948598659458
Zn_2,-0.024056076037509682
Zn_3,-0.03411707484217759
Zn_4,-0.044922501656581765
Zn_5,-0.06118974588745516
Zn_6,-0.07009903068078033
Cu_1,0.002022990363748439
Cu_2,0.003953466164312865
Cu_3,0.003764891835342449
Cu_4,0.004747109963427736
Cu_5,0.010623908477120352
Cu_6,0.016758116909382663
Pb_1,-0.0035252723650446814
Pb_2,-0.0006822695929450173
Pb_3,0.0026318656393731284
Pb_4,0.011004166345456869
Pb_5,0.0184018273222804
Pb_6,0.03377274227296903
