,araD
Cr_1,0.008764703604612487
Cr_2,0.005034257348243249
Cr_3,0.011941036197743216
Cr_4,0.016360148144704545
Cr_5,0.02217576568703707
Cr_6,0.03306591390009829
Fe_1,-0.0335431354015444
Fe_2,-0.07239870853121215
Fe_3,-0.1064433280521355
Fe_4,-0.11985153414358513
Fe_5,-0.13843590953939489
Fe_6,-0.14420915147941085
Cd_1,-0.0020348902651626
Cd_2,-0.006395976593425272
Cd_3,-0.0047442029795608754
Cd_4,-0.00030412343793203986
Cd_5,-0.003293796418806077
Cd_6,0.0016522189939663324
Zn_1,-0.009078123422122705
Zn_2,-0.03152768397885608
Zn_3,-0.05087593760656086
Zn_4,-0.04571625611537146
Zn_5,-0.04547859213990277
Zn_6,-0.03927220391636127
Cu_1,0.004848901212003277
Cu_2,0.019318748555939985
Cu_3,0.03028951789391913
Cu_4,0.04736045726782141
Cu_5,0.06447822948153523
Cu_6,0.06590554787246176
Pb_1,0.003053106686432868
Pb_2,0.008956059985476801
Pb_3,0.015646881790542914
Pb_4,0.028071420928706
Pb_5,0.034247403770507036
Pb_6,0.04593623929828468
