,A,Zur
R2,,0.10850113693334418
xmin,,8.0373
xmid,,
xmax,,14.4063
ystart,,17.298191842977158
yend,,-3.860149793683398
LBexp_1,2.3131342429,12.292300000000001
LBexp_2,0.9934576903000001,12.2827
LBexp_3,2.145643954,11.9574
LBtran_1,3.5330078777000002,12.2968
LBtran_2,2.439355915,12.0406
LBtran_3,2.4815658273,11.7981
LBstat_1,4.2429725764,11.4271
LBstat_2,5.6465821657,11.23
LBstat_3,5.9838487525,10.9242
LBGexp_1,2.8814988491999998,11.8942
LBGexp_2,2.6579753829,11.2133
LBGexp_3,2.3508351987,12.2483
LBGtran_2,4.1538040946,11.229800000000001
LBGtran_3,3.1330428781,11.5486
LBGstat_1,3.3221970020000002,12.6052
LBGstat_2,4.4816129103,11.1279
LBGstat_3,6.4004139891000005,11.5764
S0_1,2.2401887908,11.6664
S0_2,2.7279247465000003,11.8642
S0_3,3.0908298617,11.6014
S1_1,3.6978967055,12.2694
S1_2,3.5205253372,12.4116
S1_3,3.4339292305,12.0566
S2_1,24.7502727381,11.3681
S2_2,25.2118726978,11.2168
S2_3,25.6797450065,11.013
S3_1,23.8759766423,11.33
S3_2,25.2587179615,11.0814
S4_1,26.0895289254,11.155
S4_2,28.2652339697,10.7011
S4_3,28.0082137004,10.6187
S5_1,27.9298627743,10.4628
S5_2,27.9506257046,10.9825
S5_3,27.9293467202,10.7638
S6_1,28.8730006936,9.9806
S6_2,19.235229231,8.3432
S6_3,29.1416482708,10.0019
S6/t_1,26.9494421416,10.357
S6/t_2,18.0961248738,8.0373
S6_4,16.1123273601,10.1319
S6_5,17.6223389122,10.4851
S6_6,18.9104523504,10.6857
S7_4,12.8883560305,11.0742
S7_5,13.5575158169,10.8642
S7_6,14.5596923487,11.044
S8_4,11.0168950489,10.6087
S8_5,13.2459608709,10.6658
G135_1,4.7388116657,12.3282
G135_3,8.6481915143,10.9012
G150_1,4.8849587001,11.9893
G150_2,3.4819059909,12.5518
G150_3,4.552199976,12.0358
G180_1,5.1662752302,12.3706
G180_2,4.094090024,12.8154
G180_3,5.9039722312,11.7799
C30_1,8.5442738478,11.4283
C30_2,8.0056674298,11.6015
C90_1,4.8107898972,11.6487
C90_2,3.2117136423,11.5959
BI_1,1.4277129384,11.6341
BI_2,0.6000632079,11.950800000000001
BC_2,5.4232572802,11.8066
BC/t_1,6.6734744559,11.7142
BC/t_2,7.3527938253,12.0769
BC_1,7.1550221329,11.5751
Sw_1,6.5498612033,11.6794
Sw_2,5.174276376,11.9657
BT_1,18.9600311861,10.5425
BT_2,12.7270643308,10.3021
B36_1,30.0794001429,11.0915
B36_2,28.9113826327,10.9858
B60_1,29.8482186833,11.4032
B60_2,28.7418660256,11.581
M9exp_1,-0.6242843509,11.6641
M9exp_2,0.37858847640000004,11.4647
M9exp_3,0.24569587440000001,10.9442
M9tran_1,1.0779416424,10.7165
M9tran_2,1.8922844095,11.0258
M9tran_3,0.4721726028,10.9694
M9stat_1,7.5920641369,10.2696
M9stat_2,8.5231027972,10.0093
M9stat_3,8.3542832756,9.9988
M+G_1,4.2891216034,11.4665
M+G_2,0.9960323016,11.2598
M+G_3,1.0135891736,11.4567
Glu_1,0.7077736217,11.6515
Glu_2,0.1674257441,11.5962
Glu_3,0.5148877844,11.7224
Fru_1,0.8416751999000001,11.6616
Fru_2,0.2723940482,11.912
Fru_3,1.4687453382,11.1625
Mal_1,0.6923892132,10.6657
Mal_2,1.3582974046,11.1474
Mal_3,0.42316327060000003,11.3836
G+S_2,2.1068423032,10.9945
G+S_3,2.4766445563,11.0211
Pyr_1,4.512309782,10.6949
Pyr_2,2.6439834965999998,11.1075
Pyr_3,3.8453068741000003,10.9515
Gly_1,4.7520543375,10.4761
Gly_2,2.4635631053,11.2664
Gly_3,7.0975294819,9.9464
Glucon_1,4.1044398794,10.7718
Glucon_2,2.7707319739000003,11.2886
Glucon_3,5.3231756562,10.1857
aero_1,1.3038398482,12.4273
aero_2,3.3758078795,11.6533
aero_3,1.4544860316000001,12.0478
nit_1,2.5528348688999998,11.4718
nit_2,0.8355618201,11.8093
nit_3,2.3245698281,11.2642
ferm_1,3.4980486723,11.3351
ferm_2,1.7308788166,10.8643
ferm_3,2.495439966,11.603
T-5.40H_1,4.0775086713,11.5496
T-4.40H_1,5.1726315325,11.5117
T-3.40H_1,6.3828597757,11.3626
T-2.40H_1,8.4973128704,10.9721
T-1.40H_1,13.154462655,10.9055
T-1.10H_1,14.7374233701,11.08
T-0.40H_1,18.4828950181,11.1255
T0.0H_1,20.9545337514,10.663
T0.30H_1,6.8508070596,10.4612
T1.0H_1,6.0491484648,10.2533
T1.30H_1,6.7729383236,10.0816
T2.0H_1,7.5908114209,10.0583
T2.30H_1,5.5850602807000005,10.8254
T3.0H_1,5.5603890146,10.9017
T3.30H_1,5.5893306452000004,11.0194
T4.0H_1,4.8626887311,11.2045
T5.0H_1,6.1388266342,10.6737
HPh_1,2.9679424073,12.8429
HPh_2,3.0073765513,12.4836
HPh_3,3.9217076962,12.8535
LPh_1,2.6756678435,12.4526
LPh_2,0.8521628719000001,12.865
LPh_3,3.1051539671,12.394
LPhT_1,3.9918667681,14.1788
LPhT_2,3.305598689,14.2456
LPhT_3,2.6474922173,14.4063
SMMPr_1,-0.9488160839,10.9435
SMMPr_2,0.068195896,11.0142
SMMPr_3,0.2692681811,11.1509
HiTm_1,4.5063227162,10.8136
HiTm_2,1.4088614007,10.5725
HiTm_3,2.3966860911,11.2623
LoTm_1,-1.9690789404000002,11.5833
LoTm_2,-0.8358938361,11.1047
LoTm_3,-1.7937479043,10.9413
HiOs_1,1.0121807974,11.1711
HiOs_2,1.9125435062,11.2662
HiOs_3,1.5458083493,11.2031
BMM_1,24.9780602229,11.2787
BMM_2,25.9578565762,11.1185
BMM_3,25.9418682466,11.4516
Heat_1,24.6378298242,11.9197
Heat_2,24.6504032268,11.4673
Heat_3,23.9044636909,11.4433
Cold_1,1.8903650273000001,12.454
Cold_2,22.0107269984,12.3164
Cold_3,22.6661712078,11.9081
Etha_1,27.2750382305,8.5571
Etha_2,25.9314059541,8.6015
Etha_3,27.6207126749,8.5591
SMM_1,-0.34938436770000003,11.047
SMM_2,-0.6956010933,11.1334
SMM_3,-0.5540014371,11.1117
Salt_1,2.1866729395,11.3641
Salt_2,2.1543895558,11.4134
Salt_3,1.5706024188,11.463
Mt0_1,1.866454397,12.0711
Mt0_3,2.0038275594,12.3678
M0t45_1,1.276295233,11.6991
M0t45_2,0.0522153948,12.1911
M0t45_3,1.2187759827,12.3052
M0t90_1,5.1979668609,10.6771
M0t90_2,2.2822702321,12.2363
M0t90_3,3.8551175075,11.4754
M40t45_1,2.2087416126,11.4566
M40t45_2,2.8083838004,12.6806
M40t45_3,0.3186989844,12.3107
M40t90_1,3.5981671527,10.8672
M40t90_2,1.9027107540000001,12.0056
M40t90_3,2.177174421,12.0469
dia0_1,3.2342627709,11.9081
dia0_2,2.4644868363,12.2743
dia0_3,0.4519529625,12.2158
dia5_1,2.9614594366,11.285
dia5_2,2.9494804781,11.64
dia5_3,1.8242249463,11.6211
dia15_1,10.227035572,12.6722
dia15_2,7.141955547,13.1196
dia15_3,6.1985936732,10.9278
Diami_1,13.3302715238,11.5054
Diami_2,11.5969860219,11.6957
Diami_3,12.0058768715,11.8101
Paraq_1,5.7008219666,12.701
Paraq_2,3.6449660673,12.898
Paraq_3,6.3595555851,11.3953
H2O2_1,4.628613312,12.8531
H2O2_2,3.9488340186,13.1147
H2O2_3,5.0764967405,12.8887
Oxctl_1,6.4788061099,11.8434
Oxctl_2,5.9251493567,11.9147
Oxctl_3,4.0303391967,12.6074
GM-0.1_1,1.4715599448,10.9539
GM-0.2_1,3.1192397138,10.9056
GM+5_1,0.8803717057,11.0807
GM+15_1,0.4736690452,11.0545
GM+25_1,-1.0229804931,11.5693
GM+45_1,0.6745432013,11.5897
GM+60_1,-0.0163139053,11.4645
GM+90_1,0.7796298373,11.3575
GM+120_1,5.2008591145,10.3028
GM+150_1,2.5934133799,11.0736
GM-0.1_2,-1.0311318792,11.5532
GM-0.2_2,1.1224462483,11.9215
GM+5_2,-0.4276982415,11.106
GM+10_2,-0.0263243623,11.1202
GM+15_2,1.173500707,11.0477
GM+25_2,-0.0099841166,11.4223
GM+45_2,1.744104251,10.8481
GM+60_2,3.465296733,10.7265
GM+90_2,1.8769344127,11.4198
GM+150_2,2.8791028459,10.3421
GM-0.1_3,1.1256321499,11.3464
GM-0.2_3,0.017178122900000002,11.2139
GM+5_3,-0.1793285788,11.2208
GM+10_3,1.9779969732,10.2647
GM+15_3,0.4680244048,11.0267
GM+25_3,1.8630094166000002,10.7271
GM+45_3,3.2623060757999998,11.0586
GM+60_3,3.094299725,10.638
GM+90_3,1.9942702007,11.5095
GM+120_3,3.6789481269,11.1966
GM+150_3,1.7484404094000001,11.5176
MG-0.1_1,0.2196833936,11.09
MG+5_1,0.8627054836,10.9574
MG+10_1,-0.43914601410000004,11.7137
MG+15_1,2.2330624988,10.906
MG+25_1,1.3299043501,11.4819
MG+45_1,1.4885556157,11.2752
MG+120_1,3.0386410513,10.6983
MG+150_1,1.1841309374,11.0348
MG-0.1_2,1.4894356419,10.4998
MG-0.2_2,0.22523820730000002,10.8056
MG+5_2,0.0269338428,11.092
MG+10_2,-0.0076881342,11.1778
MG+15_2,0.5973683414000001,12.2528
MG+25_2,1.6556306676,11.0663
MG+45_2,2.5988431615,10.7209
MG+60_2,1.6789511175,11.1751
MG+90_2,1.2363959362,10.8029
MG+120_2,0.1571535461,11.2635
MG-0.1_3,-0.5061806434,11.5776
MG-0.2_3,1.550750947,11.4535
MG+5_3,2.0298261422,11.199
MG+10_3,3.7861608083,10.8645
MG+15_3,0.5069796178,11.6975
MG+25_3,1.3441566306000001,11.6587
MG+45_3,-0.1382332389,11.7906
MG+60_3,2.0669303935,11.1234
MG+90_3,0.45972584320000004,11.5054
MG+120_3,0.1262727915,11.1886
MG+150_3,0.834521362,11.1471
