locus,gene_weight,gene_name,gene_product,COG,operon,regulator,Zur,link
BSU03359,0.34554354,yczL,unknown,No COG category,"yczL->zagA, folEB->zagA","SigA,Zur",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU03359
BSU03360,0.33996480799999995,zagA,ZTP activated GTPase A,Function unknown,"yczL->zagA, folEB->zagA","SigA,Zur",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU03360
BSU03350,0.234094466,yciB,"putative L,D-transpeptidase",Cell wall/membrane/envelope biogenesis,folEB->zagA,"SigA,Zur",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU03350
BSU02850,0.22153594199999999,znuA,[SW|ABC transporter] for zinc (binding protein),Inorganic ion transport and metabolism,znuA->znuB,"SigA,Zur",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU02850
BSU03340,0.217449107,folEB,zinc-independent GTP cyclohydrolase IB,Function unknown,folEB->zagA,"SigA,Zur",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU03340
BSU08880,0.21212763699999998,rpsNB,alternative ribosomal protein S14*,"Translation, ribosomal structure and biogenesis",rpsNB,"Zur,YlxR",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU08880
new_2741085_2741356_c,0.20993194399999998,S1011,3'UTR of zinT,No COG category,,"SigA,Zur",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_2741085_2741356_c
BSU26830,0.209491263,zinT,zinc uptake,Function unknown,zinT,"SigA,Zur",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU26830
BSU30700,0.20476734300000002,rpmEB,accessory ribosomal protein,"Translation, ribosomal structure and biogenesis",rpmEB,"SigB,Zur",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU30700
new_2477758_2477958_c,0.191784075,rpmGC,ribosomal protein L33*,No COG category,"rnz->rpmGC, rpmGC",Zur,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_2477758_2477958_c
BSU02860,0.121783404,znuC,[SW|ABC transporter] for zinc (ATP-binding protein),Inorganic ion transport and metabolism,znuA->znuB,"SigA,Zur",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU02860
BSU02870,0.115217214,znuB,[SW|ABC transporter] for zinc (permease),Inorganic ion transport and metabolism,znuA->znuB,"SigA,Zur",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU02870
