,A,DksA
R2,,0.08537493724041967
xmin,,-2.4607235254
xmid,,
xmax,,3.1213327657
ystart,,8.116426709650801
yend,,-11.377573364682254
SRX1125282,0.3201960921,0.08054442
SRX1125283,1.9135939003,0.12214406850000001
SRX1125284,2.3519365252,0.1382325375
SRX1125285,3.2849110618,0.029363574400000002
SRX1125286,3.2206998725,0.1536590897
SRX1125287,5.2306078988,-0.08948817220000001
SRX1125288,0.1707683763,-0.07741183900000001
SRX1125289,0.2406246316,0.1973309123
SRX1125290,2.8221580628,0.1813637991
SRX1125291,2.2769768062,0.1222568287
SRX1125292,1.9126432239,0.1975339776
SRX1125293,-0.7274412149,0.5127946045
SRX1125294,-0.4909644684,-0.003132581
SRX1125295,-0.9176351345,0.4870742456
SRX1125296,1.4849431237,0.2862930902
SRX1125297,0.9347446235,0.3406877553
SRX1125298,-0.0063636102000000005,0.4949504851
SRX1125299,-1.2767379831,0.4639717364
SRX5694250,-10.6124402609,0.32099072230000003
SRX5694251,13.4683818472,-0.2611013585
SRX5694252,-2.4342764607,0.4520049385
SRX5694253,-5.9593007821,-0.10900234290000001
SRX5694254,-3.648424937,0.9415973331
SRX5694255,24.5716280848,-1.0620210601
SRX5694256,6.5057088929999995,-0.7266650701
SRX5694257,-4.8313688138,0.1516893865
SRX5694258,-9.6748933596,-0.3209965442
SRX5694259,19.7148112327,-1.282108507
SRX5694260,-1.2292514301,-0.5987943937
SRX5694261,5.5288040925,0.8045375289000001
SRX5694262,2.3405799495,0.4154885464
SRX5694263,1.4628654166000001,-0.3904574854
SRX5694264,1.0445733198,-0.2659185626
SRX5694265,2.8680142340000003,-1.3633367388
SRX5694267,-4.3408212873,-0.0731294266
SRX5694268,0.601157197,0.3186418733
SRX5694269,-2.523247333,-1.1214803548
SRX5694271,-2.18672112,-0.4785395866
SRX5694273,20.3099468515,-2.3800087462
SRX5694274,1.2392939322,-0.5222562487
SRX5694275,9.1446264153,-1.4069016635
SRX5694276,15.5340234735,-1.3108981746000001
SRX5694277,-1.6775397012000002,-0.8125281283
SRX5694278,14.2795874854,-0.1548596273
SRX5694279,1.9951689608,-0.7720687267
SRX5694280,4.6075764112,-0.7507184343000001
SRX5694281,-2.9949918613,-0.7252470645
SRX5694282,16.3173558146,-0.242829762
SRX5694283,7.471906395,-0.4150174795
SRX5694284,9.0793363122,-0.6111387022
SRX5694285,5.4749234614,-1.6060836332
SRX5694286,7.5007375058,-1.4147163202
SRX5694287,-9.908476892,-0.2570357653
SRX5694288,0.7653479255000001,-0.28057773140000003
SRX5694289,-2.8138588782,-0.15133045550000002
SRX5694290,1.1388399141,-0.2592107229
SRX5694291,24.1478645729,-1.110714593
SRX5694292,-3.5997621171,-0.7253675970000001
SRX5694293,-2.2667373724,-0.5071387775
SRX5694294,-12.1258764486,-0.3396721623
SRX5694295,10.4735264787,-0.48287741580000004
SRX5694296,-6.66130809,-0.3053108396
SRX5694297,-5.3896560067,0.3639178402
SRX5694298,1.7825881665,-1.3380411379
SRX5694299,-3.8868922773000003,-0.1218927747
SRX5694300,4.1710042891,0.5315848489
SRX5694301,-3.1464542174,-0.6381587979000001
SRX5694302,2.7853465866000002,-0.8129888084
SRX5694303,1.5000173261,-0.6032056492
SRX5694304,5.4187115112,0.3354205934
SRX5694305,11.9636451313,-0.1681832795
SRX5694306,-10.9819074072,0.3366323142
SRX5694307,14.2295590497,-0.287982611
SRX5694308,5.4544910803,-0.6043456882
SRX5694309,19.0938207665,-1.8884143283000001
SRX5694310,13.5969544265,0.2086485204
SRX5694311,20.4322110272,-1.1576640517
SRX5694312,3.7195022789000003,0.3338367067
SRX5694313,7.2646325941,-0.1944611812
SRX5694315,5.9818246589,-0.4520839627
SRX5694317,-8.9391641765,-0.3790696283
SRX5694319,2.1961208301,-0.44769489560000003
SRX5694320,23.9088650864,-1.3095794253
SRX5694321,0.5249161136,0.5003869674
SRX5694322,6.9996279628,0.6809570032000001
SRX5694323,-0.4751462463,0.8856632296
SRX5694324,11.81777083,0.7726998429
SRX5694325,6.9517064308,0.6800005283
SRX5694326,1.5161076086,-0.6484440257
SRX5694327,10.6895995363,0.26261175200000003
SRX5694328,-1.3563283087,-0.31636876610000003
SRX5694329,-9.7963319283,0.5787198654
SRX5694330,-7.2897320742,0.3660417513
SRX5694331,-2.8809931217,-0.36239417760000003
SRX5694332,-1.4531823834,0.059364920200000004
SRX5694334,7.13076517,-0.8958578769000001
SRX5694335,1.1230019451,1.0262994789
SRX5694336,16.6870541778,-0.0952412805
SRX5694337,6.1175314562,0.1710652292
SRX5694338,2.6332941317,-0.36584136840000003
SRX5694339,2.3387464546,-0.3541855899
SRX5694340,3.3352110452,-1.0643612056
SRX5694341,16.3381834641,-0.6224541947000001
SRX5694342,-4.3249004231,0.7773529769
SRX5694343,-11.0736302445,0.1631230618
SRX5694344,-6.1145008251,0.3487348609
SRX5694345,4.9946362682,-0.4761936906
SRX5694346,-4.8133011945,1.08445114
SRX5694347,-1.4981040613,-0.3535643456
SRX5694348,0.24152040900000002,-0.6857625580000001
SRX5694349,7.7389798737,-0.7084154291
