,ylaB
Cr_1,-0.005276271190494872
Cr_2,-0.0005317658287712297
Cr_3,0.007926933003762699
Cr_4,0.01892076029706737
Cr_5,0.026621099734024503
Cr_6,0.03209996046699773
Fe_1,-0.020137169154736116
Fe_2,-0.06035277708662285
Fe_3,-0.11583204093613905
Fe_4,-0.18419627805030694
Fe_5,-0.23684106085131654
Fe_6,-0.28528240008865663
Cd_1,-0.006596973225230867
Cd_2,-0.00913456701710842
Cd_3,0.00014187879236140927
Cd_4,0.003445515277353843
Cd_5,0.000753057786051658
Cd_6,0.004995288477591771
Zn_1,0.4166160750921957
Zn_2,2.6856895783053822
Zn_3,3.7572844880161047
Zn_4,3.4525153954669463
Zn_5,3.140103704887806
Zn_6,2.925086441928101
Cu_1,0.005933691669333609
Cu_2,0.011179000952534405
Cu_3,0.017817101312610543
Cu_4,0.024041077550515214
Cu_5,0.029588843474358237
Cu_6,0.03815210748744358
Pb_1,-0.002557693567661314
Pb_2,-0.0010646517561421725
Pb_3,0.007184985846981368
Pb_4,0.012845046043441376
Pb_5,0.01729270084086149
Pb_6,0.024312249864421376
