,recE
Cr_1,0.007978176391926996
Cr_2,0.017581687729695376
Cr_3,0.023617146090778505
Cr_4,0.029322152945462827
Cr_5,0.04246254805263408
Cr_6,0.058691472862532075
Fe_1,-0.008077437204832756
Fe_2,-0.015217718502364062
Fe_3,-0.02637255696698411
Fe_4,-0.030401456120261162
Fe_5,-0.016221974856612913
Fe_6,-0.0045073944187319324
Cd_1,0.010067039284423087
Cd_2,0.02163143352288299
Cd_3,0.026057005893525453
Cd_4,0.025699755477777184
Cd_5,0.023084554510075437
Cd_6,0.03173901493484551
Zn_1,-0.003140647426870225
Zn_2,-0.007376181650671927
Zn_3,0.00773234780730719
Zn_4,0.014624711433463463
Zn_5,0.025156265199903632
Zn_6,0.03251692101690922
Cu_1,-0.003940679269962411
Cu_2,-0.009036309040873705
Cu_3,-0.013408321747910392
Cu_4,-0.019378425792766957
Cu_5,-0.017630425500294148
Cu_6,-0.015352656648363168
Pb_1,-0.0005883216004729725
Pb_2,0.001675293868150041
Pb_3,0.004294186599628307
Pb_4,0.00595048901883901
Pb_5,0.01063068346550592
Pb_6,0.010437178603175886
