locus,gene_weight,gene_name,gene_product,COG,operon,regulator,link
new_3465665_3466067_c,0.156782723,S1294,3'UTR of sdpI,No COG category,,"SdpR,SigA,AbrB",http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3465665_3466067_c
new_678515_679050,0.152396324,S223,5'UTR of ydjM,No COG category,,"PhoP,WalR",http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_678515_679050
new_3466069_3466155_c,0.144255152,S1295,3'UTR of sdpI,No COG category,,"SdpR,SigA,AbrB",http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3466069_3466155_c
new_2608912_2610324,0.137701241,S956,independent transcript,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_2608912_2610324
new_3255432_3256404,0.129424919,S1214,independent transcript,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3255432_3256404
BSU21598,0.128445611,yoyK/1,unknown,"Replication, recombination and repair",,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU21598
new_2093013_2093780,0.124872296,S733,independent transcript,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_2093013_2093780
new_520162_520750_c,0.11755298800000001,S165,5' of S163,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_520162_520750_c
new_2892550_2894991,0.11748413099999999,S1070,independent transcript,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_2892550_2894991
new_3035475_3036308_c,0.116988655,S1134,3' of S1136,No COG category,S1136->S1134,SigB,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3035475_3036308_c
new_3988981_3989722_c,0.114841445,S1491,5' of BSU_misc_RNA_60,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3988981_3989722_c
new_1569001_1569224_c,0.10657860300000001,S546,3' of S547,No COG category,,"SigG,SigF",http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_1569001_1569224_c
new_2349590_2349664,0.106136646,S849,independent transcript,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_2349590_2349664
new_299_1067_c,0.105990261,S4,independent transcript,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_299_1067_c
new_2306683_2307712_c,0.10370265099999999,S827,independent transcript,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_2306683_2307712_c
new_88050_89566_c,0.09880237300000001,S41,independent transcript,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_88050_89566_c
new_2340762_2341218_c,0.097128497,S845,5'UTR of yppC,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_2340762_2341218_c
new_3606777_3607493,0.09182348300000001,S1339,3'UTR of yvmA,No COG category,,"PchR,CcpA",http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3606777_3607493
new_3266637_3269004,0.088364959,S1224,independent transcript,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3266637_3269004
new_1655586_1655958,0.08606695699999999,S574,intergenic region,No COG category,,"SigE,SpoIIID",http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_1655586_1655958
new_2600156_2602305,0.08428402300000001,S951,independent transcript,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_2600156_2602305
new_3466157_3466342_c,0.083605191,S1296,3'UTR of sdpI,No COG category,,"SdpR,SigA,AbrB",http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3466157_3466342_c
new_3777872_3780532,0.08360021599999999,S1420,5'UTR of ywmA,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3777872_3780532
new_3647109_3647701_c,0.082758368,S1358,independent transcript,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3647109_3647701_c
new_2565921_2566988,0.08141791599999999,S930,3'UTR of yqgW,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_2565921_2566988
new_53363_55717_c,0.08125407,S31,independent transcript,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_53363_55717_c
new_3060674_3060844,0.080009097,S1147,3'UTR of ytzH,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3060674_3060844
new_1748711_1749895_c,0.079680002,S601,independent transcript,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_1748711_1749895_c
new_19194_19923_c,0.078896957,S13,independent transcript,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_19194_19923_c
new_3299590_3299699,0.07869859400000001,S1236,independent transcript,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3299590_3299699
new_3681497_3681845_c,0.078413875,S1376,independent transcript,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3681497_3681845_c
new_1011751_1013617,0.07794605,S325,3'UTR of yhdC,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_1011751_1013617
new_4213186_4215471,0.07746565400000001,S1579,independent transcript,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_4213186_4215471
new_2593286_2594087,0.076909555,S944,3'UTR of yqfT,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_2593286_2594087
new_158050_158514_c,0.075510331,S60,3'UTR of gerD,No COG category,,"SigG,SigF",http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_158050_158514_c
