,pstS
Cr_1,-0.002093893600805182
Cr_2,0.01312939408525297
Cr_3,0.02331892447163429
Cr_4,0.006919027137540919
Cr_5,0.000474892351902038
Cr_6,-0.01629052680620887
Fe_1,-0.00627375496515014
Fe_2,0.0564255854533905
Fe_3,0.18213189500375984
Fe_4,0.2939869441402751
Fe_5,0.3802055125073396
Fe_6,0.4614281675320838
Cd_1,-0.006071388852684037
Cd_2,-0.007746321521635763
Cd_3,-0.0031439689025604877
Cd_4,0.005167569125932566
Cd_5,-0.0014448034194902725
Cd_6,0.007387496550925531
Zn_1,-0.049691045051346784
Zn_2,-0.04397222996345434
Zn_3,-0.12366210233696115
Zn_4,-0.005267398103052558
Zn_5,-0.06089620555557266
Zn_6,-0.11242626628502568
Cu_1,0.004912634791605369
Cu_2,0.00949701978191052
Cu_3,0.01781084553722899
Cu_4,0.03071032141648678
Cu_5,0.052340035967963085
Cu_6,0.06339340148327903
Pb_1,0.002733275457617467
Pb_2,0.013491445119437506
Pb_3,-0.0024634365602862816
Pb_4,-0.028095208671199683
Pb_5,-0.03354417034601732
Pb_6,-0.023700839505289062
