,crp
Cr_1,0.00025866529038556205
Cr_2,0.0016064427338786987
Cr_3,0.008492034832130894
Cr_4,0.013691535757668127
Cr_5,0.01983865958203187
Cr_6,0.022419736273779287
Fe_1,-0.013491462195494831
Fe_2,-0.03727047458746558
Fe_3,-0.07035296935962841
Fe_4,-0.11144224002320699
Fe_5,-0.140827551892643
Fe_6,-0.16537013791922126
Cd_1,0.0004490332131774576
Cd_2,0.006669491252719399
Cd_3,0.01684800991716813
Cd_4,0.02707991621093595
Cd_5,0.03456029433854882
Cd_6,0.04404855976485689
Zn_1,-0.006526839814569723
Zn_2,-0.007989789978338336
Zn_3,-0.002827781479186789
Zn_4,0.00605875949821273
Zn_5,0.012567727030043104
Zn_6,0.018587546791768637
Cu_1,-0.0016188166621361095
Cu_2,0.0018839418368682926
Cu_3,0.008173687332384333
Cu_4,0.006934661476511622
Cu_5,0.008687088688528667
Cu_6,0.01699084597573709
Pb_1,0.005873564008782965
Pb_2,0.016434426453789817
Pb_3,0.03220067134084201
Pb_4,0.05069419702572373
Pb_5,0.07130582424860514
Pb_6,0.09493593371664462
