,lacZ
Cr_1,0.0017070328244306982
Cr_2,0.012917994312466105
Cr_3,0.03233817270091
Cr_4,0.04656495457159394
Cr_5,0.06414576819909934
Cr_6,0.08126603848580144
Fe_1,-0.004264174992813569
Fe_2,0.01711358316444835
Fe_3,0.04548186992646261
Fe_4,0.047381979999321616
Fe_5,0.0449938082450635
Fe_6,0.02516753383621832
Cd_1,0.003723901624820151
Cd_2,0.013688428477773093
Cd_3,0.02712537683330182
Cd_4,0.03739608969747888
Cd_5,0.042092466650264004
Cd_6,0.04895858319776722
Zn_1,0.002878673923327492
Zn_2,0.024387538763713232
Zn_3,0.05323159024112967
Zn_4,0.0820154312659886
Zn_5,0.09718803529970088
Zn_6,0.10119841676308892
Cu_1,0.0060090677480621295
Cu_2,0.02190296080311714
Cu_3,0.04145653645673135
Cu_4,0.05760776614709054
Cu_5,0.07296745662389521
Cu_6,0.08883426375007528
Pb_1,0.03263703652129449
Pb_2,0.08745435808369906
Pb_3,0.04584040195766255
Pb_4,0.07621421389162948
Pb_5,0.1027929086179992
Pb_6,0.1156162921786339
