,regulator,TF_id,trn_type,gene_name,gene_id,reference
0,RutR2,PA0436,TF,pydP,PA0443,RegPrecise
1,RutR2,PA0436,TF,pydC,PA0444,RegPrecise
2,RutR2,PA0436,TF,pydB,PA0441,RegPrecise
3,RutR2,PA0436,TF,pydX,PA0440,RegPrecise
4,RutR2,PA0436,TF,pydA,PA0439,RegPrecise
5,RutR2,PA0436,TF,codB,PA0438,RegPrecise
6,RutR2,PA0436,TF,codA,PA0437,RegPrecise
7,PhhR,PA0873,TF,hpd,PA0865,RegPrecise
8,PhhR,PA0873,TF,phhR,PA0873,RegPrecise
9,PhhR,PA0873,TF,phhA,PA0872,RegPrecise
10,PhhR,PA0873,TF,phhB,PA0871,RegPrecise
11,PhhR,PA0873,TF,phhC,PA0870,RegPrecise
12,HexR,PA3184,TF,hexR,PA3184,RegPrecise
13,HexR,PA3184,TF,edd,PA3194,RegPrecise
14,HexR,PA3184,TF,glk,PA3193,RegPrecise
15,HexR,PA3184,TF,gltR,PA3192,RegPrecise
16,HexR,PA3184,TF,gltS,PA3191,RegPrecise
17,HexR,PA3184,TF,gapA,PA3195,RegPrecise
18,HexR,PA3184,TF,zwf,PA3183,RegPrecise
19,HexR,PA3184,TF,pgl,PA3182,RegPrecise
20,HexR,PA3184,TF,eda,PA3181,RegPrecise
21,DesT,PA4890,TF,fabA,PA1610,RegPrecise
22,DesT,PA4890,TF,desC,PA4889,RegPrecise
23,DesT,PA4890,TF,desB,PA4888,RegPrecise
24,HexR1,PA5438,TF,zwf,PA5439,RegPrecise
25,HexR1,PA5438,TF,aceE,PA5015,RegPrecise
26,HexR1,PA5438,TF,aceF,PA5016,RegPrecise
27,HexR1,PA5438,TF,hexR1,PA5438,RegPrecise
28,HexR1,PA5438,TF,aldE,PA3185,RegPrecise
29,BirA,PA4280,TF,bioB,PA0500,RegPrecise
30,BirA,PA4280,TF,bioF,PA0501,RegPrecise
31,BirA,PA4280,TF,bioH,PA0502,RegPrecise
32,BirA,PA4280,TF,bioC,PA0503,RegPrecise
33,BirA,PA4280,TF,bioD,PA0504,RegPrecise
34,NrtR,PA4916,TF,nadD,PA4917,RegPrecise
35,NrtR,PA4916,TF,nrtR,PA4916,RegPrecise
36,NrtR,PA4916,TF,pncA,PA4918,RegPrecise
37,NrtR,PA4916,TF,pncB,PA4919,RegPrecise
38,NrtR,PA4916,TF,nadE,PA4920,RegPrecise
39,NrdR,PA4057,TF,nrdD,PA1920,RegPrecise
40,NrdR,PA4057,TF,nrdG,PA1919,RegPrecise
41,NrdR,PA4057,TF,nrdJb,PA5497,RegPrecise
42,NrdR,PA4057,TF,nrdJa,PA5496,RegPrecise
43,NrdR,PA4057,TF,nrdA,PA1156,RegPrecise
44,NrdR,PA4057,TF,nrdB,PA1155,RegPrecise
45,NrdR,PA4057,TF,topA,PA3011,RegPrecise
46,SahR,PA0547,TF,sahR,PA0547,RegPrecise
47,SahR,PA0547,TF,metK,PA0546,RegPrecise
48,Zur,PA5499,TF,zur,PA5499,RegPrecise
49,Zur,PA5499,TF,znuC,PA5500,RegPrecise
50,Zur,PA5499,TF,znuB,PA5501,RegPrecise
51,Zur,PA5499,TF,omr,PA0781,RegPrecise
52,Zur,PA5499,TF,rpmE2,PA3601,RegPrecise
53,Zur,PA5499,TF,rpmJ,PA3600,RegPrecise
54,Zur,PA5499,TF,dksA2,PA5536,RegPrecise
55,Zur,PA5499,TF,yciC,PA5535,RegPrecise
56,Zur,PA5499,TF,PF08856,PA5534,RegPrecise
57,Zur,PA5499,TF,PA4838,PA4838,RegPrecise
58,Zur,PA5499,TF,PA5537,PA5537,RegPrecise
59,Zur,PA5499,TF,folE2,PA5539,RegPrecise
60,Zur,PA5499,TF,can,PA5540,RegPrecise
61,Zur,PA5499,TF,pyrC2,PA5541,RegPrecise
62,Zur,PA5499,TF,amiA,PA5538,RegPrecise
63,Zur,PA5499,TF,zbp,PA4063,RegPrecise
64,Zur,PA5499,TF,znuA,PA5498,RegPrecise
65,LldR,PA4769,TF,lldR,PA4769,RegPrecise
66,LldR,PA4769,TF,lldP,PA4770,RegPrecise
67,LldR,PA4769,TF,lldD,PA4771,RegPrecise
68,LldR,PA4769,TF,dld,PA4772,RegPrecise
69,NorR,PA2665,TF,hmp,PA2664,RegPrecise
70,NorR,PA2665,TF,,PA2663,RegPrecise
71,NorR,PA2665,TF,nnrS,PA2662,RegPrecise
