,BSU18900
M9exp_1,9.3409
M9exp_2,9.1336
M9exp_3,8.8599
M9tran_1,8.7343
M9tran_2,8.6981
M9tran_3,8.8487
M9stat_1,8.5624
M9stat_2,8.1941
M9stat_3,7.8988
MG-0.1_1,8.5794
MG-0.1_2,7.943
MG-0.1_3,9.0768
MG-0.2_2,8.2876
MG-0.2_3,8.8224
MG+5_1,8.717
MG+5_2,8.211
MG+5_3,8.7007
MG+10_1,8.9001
MG+10_2,8.5338
MG+10_3,8.3255
MG+15_1,8.5518
MG+15_2,9.4326
MG+15_3,8.9948
MG+25_1,9.0101
MG+25_2,8.582
MG+25_3,9.1623
MG+45_1,8.6982
MG+45_2,7.8878
MG+45_3,9.1359
MG+60_2,8.4841
MG+60_3,8.407
MG+90_2,7.8604
MG+90_3,8.9795
MG+120_1,8.1447
MG+120_2,8.9033
MG+120_3,8.968
MG+150_1,9.0153
MG+150_3,8.9329
GM-0.1_1,8.6389
GM-0.1_2,9.0291
GM-0.1_3,9.2442
GM-0.2_1,8.616
GM-0.2_2,9.7772
GM-0.2_3,8.9045
GM+5_1,8.8253
GM+5_2,8.7583
GM+5_3,8.8496
GM+10_2,8.4218
GM+10_3,7.9784
GM+15_1,8.6359
GM+15_2,8.572000000000001
GM+15_3,8.6466
GM+25_1,9.1488
GM+25_2,8.9736
GM+25_3,8.7462
GM+45_1,9.034
GM+45_2,7.9604
GM+45_3,8.3617
GM+60_1,8.8881
GM+60_2,8.6751
GM+60_3,8.7332
GM+90_1,8.8264
GM+90_2,8.9754
GM+90_3,9.0371
GM+120_1,7.8698
GM+120_3,9.0812
GM+150_1,8.8985
GM+150_2,8.1919
GM+150_3,9.0134
BT_1,8.492
BT_2,7.876
B36_1,8.5454
B36_2,8.4392
B60_1,7.9996
B60_2,8.8149
S0_1,7.548999999999999
S0_2,7.7318
S0_3,7.8197
S1_1,9.6128
S1_2,9.4241
S1_3,9.6596
S2_1,9.2767
S2_2,8.9304
S2_3,8.1077
S3_1,10.1376
S3_2,10.2452
S4_1,10.5292
S4_2,9.4224
S4_3,9.2761
S5_1,9.5038
S5_2,9.5935
S5_3,10.0416
S6_1,8.6892
S6_2,7.7828
S6_3,9.0041
S6/t_1,9.5547
S6/t_2,7.6263
S6_4,8.9277
S6_5,9.2925
S6_6,9.1952
S7_4,10.3112
S7_5,10.285
S7_6,10.5685
S8_4,10.0452
S8_5,10.4592
G135_1,8.6753
G135_3,7.7096
G150_1,7.8889
G150_2,7.7775
G150_3,8.0829
G180_1,7.9104
G180_2,7.7769
G180_3,7.5328
T-5.40H_1,9.9115
T-4.40H_1,9.3128
T-3.40H_1,9.2727
T-2.40H_1,8.9778
T-1.40H_1,8.7623
T-1.10H_1,8.7516
T-0.40H_1,8.6699
T0.0H_1,8.6826
T0.30H_1,7.9374
T1.0H_1,8.1169
T1.30H_1,8.2361
T2.0H_1,8.3065
T2.30H_1,8.8612
T3.0H_1,8.7371
T3.30H_1,9.073
T4.0H_1,9.1716
T5.0H_1,8.8105
LBexp_1,7.7973
LBexp_2,7.7714
LBexp_3,7.782
LBtran_1,8.106
LBtran_2,7.8059
LBtran_3,7.962999999999999
LBstat_1,8.4024
LBstat_2,8.2811
LBstat_3,7.9152
LBGexp_1,7.5294
LBGexp_2,7.5769
LBGexp_3,7.7702
LBGtran_2,7.7673
LBGtran_3,8.068999999999999
LBGstat_1,7.4431
LBGstat_2,7.4609
LBGstat_3,7.8959
Mt0_1,7.8011
Mt0_3,7.6637
M0t45_1,7.7806
M0t45_2,8.1426
M0t45_3,8.1009
M0t90_1,8.0308
M0t90_2,8.2895
M0t90_3,8.0841
M40t45_1,7.8803
M40t45_2,8.0862
M40t45_3,8.079
M40t90_1,7.5533
M40t90_2,7.6505
M40t90_3,7.8165
dia0_1,7.8291
dia0_2,8.0224
dia0_3,7.9142
dia5_1,8.1751
dia5_2,8.6598
dia5_3,8.1603
dia15_1,9.7481
dia15_2,9.1759
dia15_3,8.1044
C30_1,9.5451
C30_2,9.3199
C90_1,9.0993
C90_2,8.3478
SMM_1,9.1759
SMM_2,8.9452
SMM_3,8.8248
Salt_1,8.6248
Salt_2,8.5008
Salt_3,8.7783
M+G_1,9.9635
M+G_2,8.8796
M+G_3,8.7584
Glu_1,9.554
Glu_2,9.1837
Glu_3,9.3029
Fru_1,8.853
Fru_2,9.3412
Fru_3,8.8429
Mal_1,8.0305
