,A,RpoH,Lrp
R2,,0.10586798638642325,0.04979579507665455
xmin,,-2.9133666436,-10.1521245118
xmid,,0.15151495948340016,-2.5424801146063203
xmax,,4.1537368575,2.3501929199
ystart,,1.164596868462312,3.437089825404729
yend,,8.926863573293682,-0.4364189292304137
aat__00m_00s__1,0.571367242,0.3158990847,0.1917489778
aat__00m_30s__1,0.6151071885,0.2409029769,-0.0036410337
aat__01m_00s__1,0.30218248870000003,0.2002328318,0.0638516938
aat__02m_00s__1,0.5568669704,0.18854769130000001,0.1884466547
aat__05m_00s__1,0.7433539944,0.43648593950000003,0.2606995247
aat__10m_00s__1,1.2883568367,-0.20375324690000002,-0.18787669680000002
aat__00m_00s__2,-0.7778333829,-0.2373944422,-0.0850462209
aat__00m_30s__2,-0.17849997920000002,0.0515220279,0.23201001070000002
aat__01m_00s__2,-0.015382066500000001,0.009921239,0.4624908091
aat__02m_00s__2,0.3874886028,0.012858076900000001,0.5094912821
aat__05m_00s__2,0.3401288397,0.3126937497,0.42741818940000004
aat__10m_00s__2,0.042220796000000005,0.08921797100000001,-0.011315053200000001
aat__00m_00s__3,0.2064661409,-0.0785046425,-0.1067027569
aat__00m_30s__3,0.8859085138,0.0397088413,-0.034949130700000004
aat__01m_00s__3,0.3363574271,-0.0542938684,-0.0507207701
aat__02m_00s__3,0.9426340015,0.0389594141,0.0607301561
aat__05m_00s__3,1.3112918314,0.6132251999,0.6821826714
aat__10m_00s__3,1.0443395098,0.3190932916,0.1046706146
abx_mega__dmso-2__1,-2.532685498,-1.8356514133,-0.07686038270000001
abx_mega__ery_dmso__1,4.4719856582,0.3571557738,-0.4184515133
abx_mega__nal_naoh__1,0.505569428,-1.5155147868999999,-0.0463286922
abx_mega__dmso-5__1,0.8746984124,-0.062338824,0.291528555
abx_mega__rif_dmso__1,1.3275639167,-0.9687080964,0.5837445491000001
abx_mega__novo_h2o__1,4.8076529561,0.141840136,-0.5783668051
abx_mega__rach_dmso__1,-0.6610332003,-0.4366690435,-0.3544948952
abx_mega__metro_dmso__1,4.1779459753,0.0678955502,-0.0169901278
abx_mega__dmso-6__1,-0.1424933111,-0.8022118136,-0.19775123900000002
abx_mega__chl_h2o__1,-0.2207491288,0.0578202198,-1.3513809867
abx_mega__cst_h2o__1,0.3697553504,-0.057762475300000005,-0.0936446555
abx_mega__tec_h2o__1,1.139034046,-0.8281045003,-0.29484850100000004
abx_mega__str_h2o__1,2.2399212002,-1.1474360118,0.0541041576
abx_mega__ctx_h2o__1,-0.0151889773,0.19746903600000001,-0.0762063272
abx_mega__nal_naoh__2,0.9719451983,0.0143688064,-0.5672398331
abx_mega__phos_h2o__1,2.1953916593000002,-0.2551792164,0.053708981100000004
abx_mega__dmso-5__2,1.422538725,-0.2644815505,0.1920871912
abx_mega__polmyx_h2o__1,-1.1314425372999999,0.1361183923,0.0033290340000000002
abx_mega__h2o-8b__1,1.5134474386,-0.3873424736,-0.2368879814
abx_mega__h2o-6__1,-0.422487166,-0.261972339,-0.2100487493
abx_mega__thio_dmso__1,1.2149195956,-0.91358075,-1.9313953898
abx_mega__phos_h2o__2,-0.3218863159,-0.0391343383,-0.2188764248
abx_mega__ctx_h2o__2,0.1100952718,-0.20660996550000002,-1.5745697947
abx_mega__lzd_dmso__1,0.7772221413,-0.4193002769,-0.7282929664000001
abx_mega__naoh-9__1,-0.7085754289,0.41619693090000004,0.2102835278
abx_mega__dox_dmso__1,0.8650011648,-0.0165987565,-0.34232132660000003
abx_mega__phos_ethanol__1,0.09368846880000001,0.5000765312000001,-0.0360912475
abx_mega__teix_dmso__1,0.4347526995,-0.7262293705,-0.46139139360000003
abx_mega__dmso-10__1,-1.0128038569,0.4167895327,-0.0707081911
abx_mega__van_dmso__1,8.2763906599,2.2999885315,-0.9188570988
abx_mega__ramo_h2o__1,2.136359526,-0.2468824043,-0.022524302700000002
abx_mega__tec_h2o__2,0.6794247834,0.3171122249,-0.20139311000000001
abx_mega__h2o-7__1,1.0143850127,-0.7260852988000001,-0.7064351524
abx_mega__cro_h2o__1,0.49095781800000005,-0.40756522440000004,-1.1960682364
abx_mega__tric_ethanol__1,-0.7856142752,-0.3986841967,0.7780823415
abx_mega__nor_naoh__1,1.3077348962,0.0609582061,-0.4910773156
abx_mega__teix_dmso__2,0.8876559603,-0.5951615989,-0.1605013107
abx_mega__nal_naoh__3,1.1547229479,0.029012897000000003,-0.4457081766
abx_mega__novo_h2o__2,4.5513383391,0.1938561823,-0.5657690496000001
abx_mega__dmso-10__2,-1.1733511139,0.3538673027,-0.0129645851
abx_mega__phos_h2o__3,-0.1127436353,-0.7718231807,-0.2699756884
abx_mega__dmso-6__2,-0.1007785379,-0.9064641439000001,0.139214748
abx_mega__rfp_ethanol__1,3.5800840614,0.1301564855,-1.0064182484
abx_mega__dmso-5__3,0.1746158649,0.1899324622,-0.0378195053
abx_mega__amyc-d_dmso__1,4.4351666731,0.2375834753,-0.7699850183
abx_mega__sxt_dmso__1,0.37999938850000003,-0.40835691,-0.5983222528000001
abx_mega__dmso-1__1,-1.9621972383,-0.462311574,-0.0788764182
abx_mega__pen_h2o__1,0.5392686725,-0.7020267388,0.1571077622
abx_mega__dmso-10__3,-1.2230896636,-0.0926881222,0.0026593751
abx_mega__nal_naoh__4,0.3551248671,0.28227643880000003,-0.1895165987
abx_mega__cip_naoh__1,0.7473762546,0.3739748104,-0.0914431154
abx_mega__pen_h2o__2,1.0021317208,-0.033527718000000005,0.0211183045
abx_mega__ery_dmso__2,5.4694768813,-0.3093211296,-0.1386738842
abx_mega__dmso-2__2,-0.5765519758000001,-1.4675839978,0.38087032870000004
abx_mega__van_dmso__2,9.1356645613,2.3288259978,-1.0385986195
abx_mega__h2o-1b__1,-1.5557734263,0.1847175178,-0.34293042830000003
abx_mega__ery_h2o__1,1.8568981515,0.4649255383,-1.3940862034000001
abx_mega__bacit_h2o__1,3.1633224188,0.7020411350000001,-0.1138610196
abx_mega__chl_h2o__2,0.5905301297000001,-0.26464329470000003,-1.2410966374
abx_mega__str_h2o__2,4.178527106,-0.9772224573,0.2088463545
abx_mega__rfp_ethanol__2,1.6977163728,0.0145333586,0.0064241946000000005
abx_mega__polmyx_h2o__2,-0.4458629616,-0.14310325570000001,-0.37709018990000004
abx_mega__tric_h2o__1,2.5738531398999998,0.23107046420000002,0.6017321859
abx_mega__cip_naoh__2,1.0820458121,-0.0410008835,-0.6170299069
abx_mega__novo_h2o__3,3.7202555956000003,0.5252350475,-0.6903743882000001
abx_mega__bacit_dmso__1,1.5062387206999999,-0.107973757,-0.0542605311
abx_mega__gen_h2o__1,15.5451254349,0.3346456534,0.5402471191
abx_mega__bacit_dmso__2,2.9784152691,-0.09743531230000001,0.3040365601
abx_mega__chl_dmso__1,11.3452374283,0.1936994316,0.5055827363000001
abx_mega__bacit_h2o__2,3.0932169436,-0.0475764913,-0.0160126656
abx_mega__lvx_dmso__1,0.799991572,-0.2398331518,-0.1464043041
abx_mega__bacit_h2o__3,3.5173636633000003,0.5124724820000001,0.030627857100000003
abx_mega__nor_naoh__2,1.2791465059,-0.27152625810000003,-0.3171028179
abx_mega__amyc-d_dmso__2,2.9639662721,0.0075540726,0.0735011207
abx_mega__polmyx_h2o__3,2.1096766608,-0.21775219110000002,0.2066967292
abx_mega__naoh-6__1,0.0420256955,-0.2490125017,-0.3304220725
abx_mega__cst_h2o__2,1.4217733379,0.6299179779,-0.0316981053
abx_mega__h2o-1b__2,-0.9123752331,0.7002711382,-0.6171215938
abx_mega__rfp_h2o__1,2.6568888076,-0.8150696466,0.6950883019
abx_mega__tet_h2o__1,2.8635641224,-1.1396383345,-0.3530000016
abx_mega__flavo_dmso__1,-0.8908300117,0.3081553167,0.1148364345
