locus,gene_weight,gene_name,gene_product,cog,operon,regulator,Lrp,RpoH,link
b3686,0.6154470879,ibpB,small heat shock protein IbpB,"Post-translational modification, protein turnover,and chaperones",ibpAB,"RpoN,RpoH,IHF,Lrp",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11535
b3687,0.3355574013,ibpA,small heat shock protein IbpA,"Post-translational modification, protein turnover,and chaperones",ibpAB,"RpoH,gcvB,Lrp,Nac",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11534
