,glmU
Cr_1,-0.006046789790499061
Cr_2,-0.00920755322857104
Cr_3,-0.010539305935235041
Cr_4,-0.013457659381346606
Cr_5,-0.018052336548468672
Cr_6,-0.01906742293792081
Fe_1,-0.00362320818159269
Fe_2,0.0005052021504501485
Fe_3,0.019138213066053414
Fe_4,0.0352931048553654
Fe_5,0.060650891194127386
Fe_6,0.0850017537061533
Cd_1,-0.0016042943658269436
Cd_2,-0.0010940138959948569
Cd_3,-0.00017282512870062032
Cd_4,0.0004339059138029435
Cd_5,-0.002426352733657957
Cd_6,0.003981639906685207
Zn_1,-0.0038850262119121226
Zn_2,0.001627265892509154
Zn_3,0.02334336317230793
Zn_4,0.05170140708761265
Zn_5,0.07657873393509138
Zn_6,0.09156212843857664
Cu_1,0.006106611010088725
Cu_2,0.009493067527833916
Cu_3,0.01363515438939109
Cu_4,0.02104257431243013
Cu_5,0.032810072193820226
Cu_6,0.04411772523688138
Pb_1,-0.0018138374477775266
Pb_2,-0.007402740120010374
Pb_3,-0.003818148862279376
Pb_4,0.0038364268635817694
Pb_5,0.01870849350145063
Pb_6,0.04058633037877198
