,yohJ
Cr_1,-0.010385581178153074
Cr_2,-0.01499192041634434
Cr_3,-0.007179083063451159
Cr_4,-0.00047430517584903564
Cr_5,0.012921419126366705
Cr_6,0.03997601020388152
Fe_1,0.0009987394154122062
Fe_2,-0.04432822288566818
Fe_3,-0.06796531894481353
Fe_4,-0.09299537024566193
Fe_5,-0.11084380932608452
Fe_6,-0.12716036852827636
Cd_1,0.001503655753524214
Cd_2,0.011191890244896658
Cd_3,0.021541590216274543
Cd_4,0.02414279681572901
Cd_5,0.026961321013035243
Cd_6,0.03187227228869408
Zn_1,-0.016754133864835784
Zn_2,-0.00812049550739568
Zn_3,-0.02117011621373691
Zn_4,-0.020917325391200274
Zn_5,-0.02740362608664254
Zn_6,-0.02916821449619738
Cu_1,0.0018108425324581453
Cu_2,0.004604394655402985
Cu_3,0.01105086058477224
Cu_4,0.020435844015459715
Cu_5,0.033676203409812644
Cu_6,0.04749954495633514
Pb_1,0.00786522449040038
Pb_2,0.015824909684533737
Pb_3,0.03243512696063133
Pb_4,0.049609254113876615
Pb_5,0.05869107316017645
Pb_6,0.07277788262591091
