,yfdV
Cr_1,-0.002050589918267665
Cr_2,0.0033822837446509852
Cr_3,0.012035958558867377
Cr_4,0.01997204248000757
Cr_5,0.02632846792104794
Cr_6,0.029259471040688493
Fe_1,-0.0049991073756280886
Fe_2,-0.04239377938812199
Fe_3,-0.10578275162532512
Fe_4,-0.18777086759899694
Fe_5,-0.26886620265130834
Fe_6,-0.33919823828326795
Cd_1,-0.0122147013756363
Cd_2,-0.01638075409635214
Cd_3,-0.015700070282594885
Cd_4,-0.016250518954014533
Cd_5,-0.018409339117883988
Cd_6,-0.010698214282373985
Zn_1,-0.015537469462063438
Zn_2,-0.03451600852158775
Zn_3,-0.05555586297023076
Zn_4,-0.05808291090053627
Zn_5,-0.0527449593749056
Zn_6,-0.0496860443328155
Cu_1,0.008824894478963017
Cu_2,0.018846452345192728
Cu_3,0.02280336370053604
Cu_4,0.029630682193611143
Cu_5,0.03600246692905229
Cu_6,0.046130171926145436
Pb_1,-0.011260727344589126
Pb_2,-0.02480113032783565
Pb_3,-0.034523474886454485
Pb_4,-0.042616987952971176
Pb_5,-0.048706362465187766
Pb_6,-0.049328470905286116
