,pabC
Cr_1,0.00015525650410929857
Cr_2,0.00270530290163818
Cr_3,0.0027031840975909986
Cr_4,0.006330786540407604
Cr_5,0.01063622275926196
Cr_6,0.01144009100374798
Fe_1,-0.01134831614808374
Fe_2,-0.02494412818242604
Fe_3,-0.028953700450515093
Fe_4,-0.030296927471490882
Fe_5,-0.027759531043177084
Fe_6,-0.0270095776112281
Cd_1,-0.0010177371083322283
Cd_2,0.0007026504118306392
Cd_3,0.003724641907717632
Cd_4,0.004718817833373141
Cd_5,0.0037837687448092397
Cd_6,0.006136202284315915
Zn_1,-0.011014167759473144
Zn_2,-0.019400915985703843
Zn_3,-0.01567814626150341
Zn_4,-0.00970981718971411
Zn_5,-0.006931217647934493
Zn_6,-0.01116061964767593
Cu_1,0.0033460095710556763
Cu_2,0.010669869133558696
Cu_3,0.019718388363306177
Cu_4,0.026467393339788887
Cu_5,0.034423854896554834
Cu_6,0.04914435828936207
Pb_1,0.0091765461312093
Pb_2,0.0158671634354017
Pb_3,0.026191239739991004
Pb_4,0.03270602689032677
Pb_5,0.04027814313053844
Pb_6,0.05283828163390588
