,aphA
Cr_1,0.0015093717445198431
Cr_2,0.004899448394794961
Cr_3,0.016979504626824522
Cr_4,0.001014761297756449
Cr_5,0.0019904113366167727
Cr_6,0.00491842874106241
Fe_1,-0.034153268620085615
Fe_2,-0.0651218202654485
Fe_3,-0.05725285894266852
Fe_4,-0.04098548661016965
Fe_5,-0.02056939702481113
Fe_6,0.01019497083756902
Cd_1,-0.004867486868461752
Cd_2,-0.0036120033803061133
Cd_3,0.0013226506066916722
Cd_4,0.014443672900772545
Cd_5,0.00872952917254809
Cd_6,0.005916243884721349
Zn_1,0.02655844357727573
Zn_2,0.08883847373045221
Zn_3,0.06367723608176801
Zn_4,-0.0014899470730366994
Zn_5,-0.032857892869992335
Zn_6,-0.1632337204687477
Cu_1,0.007794595583570527
Cu_2,-0.00027945413951971625
Cu_3,-0.013329465721589048
Cu_4,-0.016503588605731145
Cu_5,-0.007243566795019886
Cu_6,-0.002996589636403441
Pb_1,0.016824317986307513
Pb_2,-0.01042857906392353
Pb_3,-0.01774459002442458
Pb_4,-0.01578941914930947
Pb_5,-0.03500374902364976
Pb_6,-0.022170081013893974
