,dpiB
Cr_1,0.0013218223381891788
Cr_2,0.0038696299928191787
Cr_3,0.0075489670714710905
Cr_4,0.0166508231223515
Cr_5,0.02143188971700453
Cr_6,0.02491139733918513
Fe_1,-0.01246459227204263
Fe_2,-0.02923677349572875
Fe_3,-0.04544998159879339
Fe_4,-0.05804258616671405
Fe_5,-0.06248828331338244
Fe_6,-0.06953954232246652
Cd_1,0.004474372363705786
Cd_2,0.003939804305885533
Cd_3,0.0059346375146584005
Cd_4,0.003831758962791711
Cd_5,0.003457461472843888
Cd_6,0.003413017592514241
Zn_1,-7.559114191963985e-06
Zn_2,-0.014442526822368644
Zn_3,-0.0059106139925603285
Zn_4,0.006956991344991568
Zn_5,0.02306790650953496
Zn_6,0.038208376411385934
Cu_1,0.0039443430324158655
Cu_2,0.004832663326594888
Cu_3,0.012772164011344187
Cu_4,0.016964251098535083
Cu_5,0.01767879502568309
Cu_6,0.020660028747012903
Pb_1,0.006825765747610023
Pb_2,0.014024021290851443
Pb_3,0.02741988728423685
Pb_4,0.03329474213560275
Pb_5,0.04006010013807052
Pb_6,0.04474376839836485
