,ygiP
Cr_1,0.0033607994511252533
Cr_2,0.005791467064776321
Cr_3,0.00737183456808335
Cr_4,0.009888113105695264
Cr_5,0.00998135224472399
Cr_6,0.010395005070995528
Fe_1,-0.011186309612631506
Fe_2,-0.02930457949795507
Fe_3,-0.047252979598548614
Fe_4,-0.05550336559277206
Fe_5,-0.05651632708669292
Fe_6,-0.05624449241450607
Cd_1,0.002738661463376113
Cd_2,0.0037067787440392373
Cd_3,0.005979600115713025
Cd_4,0.009974552734298902
Cd_5,0.008525999519811903
Cd_6,0.013990547212723504
Zn_1,-0.04459746610872559
Zn_2,-0.08643592049597144
Zn_3,-0.12177092968240615
Zn_4,-0.1608988017128348
Zn_5,-0.010910773031346141
Zn_6,-0.037889228327910536
Cu_1,-0.00269420966385775
Cu_2,-0.0017486590192119398
Cu_3,0.002459778900998657
Cu_4,0.009808193698008722
Cu_5,0.015693025858444013
Cu_6,0.024100168839522457
Pb_1,0.0016694730616000615
Pb_2,0.003039927563663039
Pb_3,0.011173055446767268
Pb_4,0.022300824968633663
Pb_5,0.028247512203087136
Pb_6,0.03471922254178735
