,A,PspF,RpoN,ihfB
R2,,0.02803165148553033,0.02752127632796597,0.007234532261026438
xmin,,-2.8761573810000005,-2.3873792415000006,-2.3858350260000005
xmid,,-0.8246448967636432,,-0.8117608003243075
xmax,,1.5646028369999998,1.3623595312507586,1.6466498449999991
ystart,,4.724496189134968,5.8184743272353945,3.4737583126029783
yend,,2.323659153236197,2.4905151848651963,4.539569359348367
control__wt_glc__1,0.0094440660113051,-0.08328311200000016,-0.0046102245000003705,0.08337238499999877
control__wt_glc__2,-0.0094440660113426,0.08328311199999927,0.004610224499998594,-0.08337238500000055
fur__wt_dpd__1,5.789708025655676,0.20383063699999934,0.7030172054999984,0.7158603249999995
fur__wt_dpd__2,6.297657950043542,0.11085262199999946,0.8161369584999996,0.8566654449999991
fur__wt_fe__1,1.823362743003217,-0.23105941400000066,-0.09844324150000183,-0.0769950650000002
fur__wt_fe__2,1.3624920403273997,-0.09624446599999993,-0.014624519500001654,-0.08671744500000145
fur__delfur_dpd__1,4.3888353420776784,-0.003206975000000334,0.5910067834999992,0.6898034449999989
fur__delfur_dpd__2,4.868663349626177,-0.2321068300000002,0.7714851734999986,0.621869414999999
fur__delfur_fe2__1,2.926861192709532,-0.01486047700000004,0.15829583549999882,0.3658187149999996
fur__delfur_fe2__2,3.4219296601223466,0.04512373899999922,0.09519432949999818,0.33581042499999825
acid__wt_ph5__1,3.426438759135007,0.25106100899999984,0.15184900549999902,0.2842574349999989
acid__wt_ph5__2,3.7157593953270007,0.2726663339999993,0.2254091014999986,0.3016573449999989
acid__delgadx_ph5__2,3.1065322016543773,0.1844893789999995,0.21891853049999987,0.03620512499999862
acid__delgadw_ph5__1,3.932259687279752,0.1910376229999997,0.18450770449999965,0.19517709499999825
acid__delgadw_ph5__2,3.4600086591655987,0.1210114519999994,0.14576261749999908,0.1831834249999993
acid__delgade_ph5__1,3.4102180952193,0.3697087269999999,0.1606162704999985,0.3321859449999991
acid__delgade_ph5__2,3.408237537594633,0.1491064230000001,0.23216701249999794,0.2395609849999989
oxidative__wt_pq__1,7.603479797701406,0.6049927039999998,0.4468107434999986,0.9466146249999988
oxidative__wt_pq__2,7.410414352068853,0.56096857,0.3896680744999994,0.948808184999999
oxidative__deloxyr_pq__1,6.1068374366012295,0.2836059080000002,0.3630092974999979,0.8749087249999992
oxidative__deloxyr_pq__2,6.043620284160589,0.2448203979999999,0.36022816349999864,0.9672342149999996
oxidative__delsoxr_pq__1,8.48356367838659,0.4088501779999998,0.4533836634999986,1.0713253449999982
oxidative__delsoxr_pq__2,8.575965256399506,0.4984011719999994,0.4385974174999987,1.1682316949999991
oxidative__delsoxs_pq__1,8.290082282159238,0.6664045409999995,0.6504048324999978,1.1351437949999994
oxidative__delsoxs_pq__2,8.22923381913697,0.5846515309999996,0.6203968144999994,1.020138574999999
nac_ntrc__wt_csn__1,4.287000618002113,-0.18584718100000064,0.3878049414999989,0.17254414499999982
nac_ntrc__wt_csn__2,3.734535701103847,0.06882711399999941,0.3861706294999987,0.2130251749999985
nac_ntrc__wt_cytd__1,3.002423978469809,-0.007426355000000663,0.17801387349999942,0.4575306549999994
nac_ntrc__wt_cytd__2,2.9058001780815124,0.3089515659999993,0.14013047449999938,0.5979945149999981
nac_ntrc__wt_gln__1,5.0478690151859045,0.7310820959999997,0.3875584074999985,1.0409726349999993
