,-0.12041607975217859,-0.1003467331268155,-0.0802773865014524,-0.0602080398760893,-0.04013869325072621,-0.02006934662536311,-1.3877787807814457e-17,0.020069346625363096,0.04013869325072618,0.06020803987608926,0.08027738650145237,0.10034673312681548,0.12041607975217856,0.14048542637754163,0.16055477300290477,0.18062411962826785,0.20069346625363094,0.22076281287899402,0.2408321595043571,0.26090150612972024
thresh,-0.13045075306486015,0.13045075306486015,6,,,,,,,,,,,,,,,,,
unreg,1,1,1,4,53,637,2598,580,53,11,0,0,0,0,1,0,0,0,0,0
PspF,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IHF,0,0,0,0,3,28,114,31,3,0,0,0,0,0,0,0,0,0,0,0
RpoN,0,0,0,0,0,14,64,12,2,0,0,0,0,0,0,0,0,0,0,0
IHF and RpoN,0,0,0,0,0,6,22,11,0,0,0,0,0,0,0,0,0,0,0,0
"PspF, IHF, and RpoN",0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,0,0,1,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],['spy'],[],[],[],[],[]
PspF_genes,[],[],[],[],[],[],['pspF'],[],[],[],[],[],[],[],[],[],[],[],[],[]
IHF_genes,[],[],[],[],['dps' 'nuoA' 'nuoC'],"['gcd' 'fnr' 'aceK' 'nuoF' 'tdcE' 'tcyJ' 'nuoE' 'paaD' 'aceB' 'paaE'
 'paaI' 'yadV' 'htrE' 'dppB' 'yeiL' 'yjcH' 'osmE' 'gltF' 'osmY' 'ulaB'
 'tdcG' 'fimH' 'nrfD' 'paaZ' 'yiaN' 'adiA' 'nuoG' 'nrfE']","['ompR' 'phoU' 'dppF' 'fimB' 'nirB' 'fimG' 'gltA' 'hemF' 'sra' 'glcA'
 'ulaE' 'sgbU' 'sufB' 'paaH' 'glcE' 'narK' 'plaR' 'hipA' 'nuoN' 'pstA'
 'dmsA' 'yjbF' 'paaG' 'fimC' 'ulaG' 'nuoI' 'ilvE' 'ulaD' 'ulaF' 'nirD'
 'aceA' 'ompC' 'dusB' 'glcB' 'uspA' 'nuoM' 'cysJ' 'cysI' 'tdcF' 'sucA'
 'nrfG' 'dppC' 'csgG' 'envZ' 'nrfA' 'yiaO' 'pflB' 'sufC' 'ubiC' 'nrfF'
 'yjbH' 'yiaM' 'yjbE' 'ulaA' 'cysH' 'ssuB' 'sgbH' 'fimD' 'ihfA' 'csgD'
 'focA' 'pstB' 'csgF' 'nuoJ' 'yiaK' 'nuoL' 'nuoB' 'cysG' 'yiaL' 'ndh'
 'yjbG' 'narG' 'sodA' 'gltB' 'proV' 'hpt' 'dppD' 'ilvG' 'fimF' 'tdcC'
 'prmC' 'sufA' 'sufE' 'csgE' 'ssuD' 'fimI' 'nuoK' 'tyrP' 'paaF' 'ilvM'
 'nuoH' 'glcD' 'paaA' 'sufD' 'nrfC' 'fis' 'tdcD' 'sufS' 'ubiA' 'amiA'
 'sucB' 'fliA' 'ihfB' 'glcF' 'hipB' 'ulaC' 'nrfB' 'paaC' 'lyxK' 'ilvA'
 'hemA' 'nirC' 'sucD' 'narI']","['dppA' 'pstC' 'sgbE' 'paaB' 'gltD' 'ssuE' 'dmsB' 'acs' 'ilvD' 'prfA'
 'ssuC' 'ssuA' 'glcG' 'paaK' 'uspB' 'narH' 'fliZ' 'tdcB' 'carB' 'narJ'
 'carA' 'dmsC' 'proX' 'sucC' 'sodB' 'folA' 'proW' 'glpT' 'pstS' 'ompF'
 'paaJ']",['tdcA' 'fimA' 'mtr'],[],[],[],[],[],[],[],[],[],[],[]
