sample,USA300HOU_RS06095
USA300_LAC_ICA-Set002_CAMHB_Control_1,6.2933783793964295
USA300_LAC_ICA-Set002_CAMHB_Control_2,6.105379665567518
USA300_LAC_ICA-Set002_R10LB_25ugmLadenine_1,5.712044705761689
USA300_LAC_ICA-Set002_R10LB_25ugmLadenine_2,5.349590777629809
USA300_LAC_ICA-Set002_R10LB_25ugmLguanine_1,5.18959103158488
USA300_LAC_ICA-Set002_R10LB_25ugmLguanine_2,5.140905254181249
USA300_SNFM1_ICA-Set002_CAMHB_Control_1,6.218196173709449
USA300_SNFM1_ICA-Set002_CAMHB_Control_2,6.320056306203267
USA300_SNFM1_ICA-Set002_R10LB_Control_1,5.288574685149895
USA300_SNFM1_ICA-Set002_R10LB_Control_2,5.3353808632653585
USA300_SNFR19_ICA-Set002_CAMHB_Control_1,6.380814772348943
USA300_SNFR19_ICA-Set002_CAMHB_Control_2,6.378867577845818
USA300_SNFR19_ICA-Set002_R10LB_Control_1,5.769754322550175
USA300_SNFR19_ICA-Set002_R10LB_Control_2,6.066108960078975
USA300_TCH1516_ICA-Set002_CAMHB_Control_1,5.44411374595771
USA300_TCH1516_ICA-Set002_CAMHB_Control_2,5.594197403714154
USA300_TCH1516_ICA-Set002_R10LB_Control_1,4.97365311021038
USA300_TCH1516_ICA-Set002_R10LB_Control_2,4.806347275087846
USA300_LAC_ICA-Set002_R10LBnoGlu_1gLmaltose_2,4.338414044933227
USA300_LAC_ICA-Set002_CAMHB_0.0195ug/mLMupirocin_1,7.348430241308439
USA300_LAC_ICA-Set002_R10LBnoGlu_1gLmaltose_1,4.481119035271641
USA300_LAC_ICA-Set002_CAMHB_0.0195ug/mLMupirocin_2,6.982032184494464
USA300_TCH1516_ICA-Set003_250nMParaquat_1,6.9647369189864445
USA300_TCH1516_ICA-Set003_250nMParaquat_2,7.001680076163515
USA300_TCH1516_ICA-Set003_2gLGalactose_1,6.8887725485612155
USA300_TCH1516_ICA-Set003_2gLGalactose_2,7.1956027680045125
USA300_TCH1516_ICA-Set003_2gLPyruvate_1,6.212844403892949
USA300_TCH1516_ICA-Set003_2gLPyruvate_2,6.29124217237816
USA300_TCH1516_ICA-Set003_Control_1,7.5500735398924235
USA300_TCH1516_ICA-Set003_Control_2,7.509687910091985
USA300_TCH1516_ICA-Set003_StationaryPhase_1,8.415840992627903
USA300_TCH1516_ICA-Set003_StationaryPhase_2,8.436201690664332
