,Value,list
TF,arcA,
reg_genes,454,"['lspA' 'astA' 'ypdA' 'yqcC' 'mntH' 'caiB' 'ugpE' 'hybB' 'ddpB' 'mhpF'
 'hisM' 'feoC' 'phnJ' 'nuoB' 'dppF' 'rmf' 'infA' 'uxaC' 'yeiQ' 'citB'
 'fabD' 'fdoI' 'pepQ' 'betA' 'fsaA' 'rhlB' 'sucC' 'phnN' 'mhpE' 'mqo'
 'citA' 'rstB' 'rimP' 'rplD' 'rpsS' 'dhaM' 'pldA' 'feaB' 'putA' 'clpS'
 'acnB' 'yejG' 'leuD' 'dhaR' 'ybiU' 'gatZ' 'puuC' 'sdhC' 'rhaT' 'mhpD'
 'trmJ' 'gabT' 'yecJ' 'rutE' 'paaK' 'rutB' 'caiA' 'mhpA' 'potH' 'nrfC'
 'thiC' 'ileS' 'ddpA' 'cadB' 'yjiR' 'phoH' 'infB' 'putP' 'msrB' 'ompC'
 'nrfG' 'phnC' 'dppB' 'ddpC' 'gsiA' 'yhjE' 'plsX' 'ribF' 'gapA' 'ybhK'
 'ypdC' 'ybfA' 'iaaA' 'rpsU' 'moeA' 'rpmB' 'rutD' 'ddpX' 'fabR' 'treB'
 'rpmF' 'gatA' 'feoB' 'nuoG' 'ydgC' 'phnL' 'hybA' 'mutM' 'gatY' 'fiu'
 'sthA' 'pncB' 'moeB' 'hemG' 'yncE' 'rpsC' 'rutC' 'sdhB' 'carA' 'yeaD'
 'yieE' 'cydD' 'thrC' 'thiF' 'xthA' 'fumB' 'rpsQ' 'ycjG' 'glcF' 'dnaG'
 'dppA' 'icd' 'phnD' 'aceK' 'mglC' 'leuA' 'puuE' 'glcD' 'ugpA' 'gsiD'
 'trxA' 'thiH' 'rplC' 'yigF' 'puuR' 'lhgO' 'gatD' 'cirA' 'moaE' 'flhD'
 'hcaF' 'moaA' 'caiT' 'nuoK' 'betT' 'glcC' 'ugpQ' 'gltA' 'hcaB' 'nlpI'
 'gltB' 'hybO' 'rplP' 'nudJ' 'nuoM' 'fadB' 'rutA' 'recF' 'puuD' 'cyoE'
 'dnaN' 'mdh' 'glpE' 'gadE' 'rho' 'nuoC' 'gabP' 'appA' 'nepI' 'nrfE'
 'yqcA' 'rpoS' 'avtA' 'gabD' 'macA' 'hybF' 'phnI' 'hybD' 'feaR' 'hisJ'
 'hybC' 'rimO' 'sucA' 'focA' 'bssR' 'acpP' 'dsbB' 'gadX' 'fadA' 'rpsJ'
 'hisP' 'gadW' 'prmC' 'glcB' 'nuoF' 'fdoG' 'rplY' 'yncD' 'fdoH' 'caiC'
 'uspC' 'truC' 'rutR' 'appY' 'mglB' 'yfiF' 'fadH' 'dppD' 'paaJ' 'yrfF'
 'rstA' 'cadA' 'aer' 'pntB' 'paaH' 'ispH' 'nudE' 'phnM' 'fnr' 'fadE'
 'puuP' 'rbfA' 'rpsO' 'gltF' 'gcvA' 'fabF' 'leuB' 'yhiI' 'rplW' 'pnp'
 'pflB' 'rplB' 'fadJ' 'glpA' 'xseA' 'tpx' 'yiaG' 'yfcZ' 'fdhE' 'yecR'
 'mglA' 'thiE' 'fadL' 'nuoJ' 'ugpB' 'prfA' 'paaE' 'mhpR' 'paaA' 'uxaB'
 'ddpF' 'ydeA' 'yceD' 'gltD' 'dctA' 'yceJ' 'fumC' 'nuoL' 'rnpA' 'nuoH'
 'nupC' 'nuoI' 'ubiC' 'gsiB' 'yigZ' 'cycA' 'flhC' 'rpoD' 'ybiY' 'rplU'
 'puuA' 'kgtP' 'actP' 'ptsG' 'astC' 'dnaA' 'treC' 'potI' 'mcbA' 'rpmC'
 'hisQ' 'hcaD' 'acnA' 'yeiG' 'uvrA' 'rpmH' 'yccA' 'paaG' 'truB' 'aldA'
 'guaA' 'paaB' 'yeiB' 'dppC' 'guaB' 'ddpD' 'leuC' 'fumA' 'dcuB' 'thiG'
 'argT' 'astE' 'astB' 'pntA' 'exuT' 'phnP' 'nuoE' 'ybdN' 'fabG' 'yhhJ'
 'moaC' 'manA' 'glcG' 'lldD' 'glpD' 'sodA' 'nuoN' 'kdpB' 'caiD' 'hcaC'
 'aceE' 'phnO' 'phnF' 'rcsD' 'oppF' 'secG' 'kdpC' 'rbbA' 'gsiC' 'gadA'
 'thrA' 'kdpA' 'folE' 'csiD' 'ypdB' 'potG' 'rpmG' 'rutF' 'dhaK' 'yjiJ'
 'hcaE' 'uxaA' 'oppC' 'feoA' 'rcsB' 'rluE' 'pck' 'sdhD' 'oppB' 'ackA'
 'fadD' 'ndk' 'puuB' 'yhgE' 'lldR' 'glpG' 'sdhA' 'oppA' 'sstT' 'rutG'
 'acs' 'thiS' 'glcE' 'clpA' 'glpB' 'osmY' 'dcuC' 'moaD' 'betB' 'mhpC'
 'yhjX' 'nusA' 'lacI' 'ybiW' 'dhaL' 'fadI' 'glcA' 'rpmA' 'trkH' 'ssb'
 'citC' 'rplV' 'yfbM' 'arcA' 'hcaR' 'lldP' 'yffR' 'aceF' 'astD' 'suhB'
 'xylR' 'yjcH' 'cspA' 'thrB' 'ynaJ' 'aceA' 'gatB' 'glpC' 'paaC' 'fkpB'
 'carB' 'betI' 'ugpC' 'argR' 'pepN' 'rpsT' 'oppD' 'lpd' 'paaF' 'fabH'
 'cydC' 'mhpB' 'citF' 'macB' 'moaB' 'paaD' 'ubiA' 'ybjX' 'hybE' 'nuoA'
 'yigI' 'sucB' 'yceI' 'aceB' 'yhcC' 'yijD' 'argG' 'hybG' 'sucD' 'hemA'
 'dcuA' 'potF' 'yacH']"
comp_genes,25,['caiF' 'hycF' 'hycA' 'modA']
both_genes,21,"['cydB' 'hyaA' 'hyaB' 'cbdA' 'cyoC' 'cyoB' 'yghW' 'hyaE' 'ompW' 'ndh'
 'cyoD' 'cyoA' 'nrfD' 'nrfA' 'nrfB' 'hyaC' 'cydA' 'grcA' 'cbdB' 'hyaD'
 'hyaF']"
reg_genes2,0,
comp_genes2,0,
both_genes2,0,
reg_ops,209,
comp_ops,12,
both_ops,9,
