,A,cusR,yedW,cueR
R2,,0.7597175718658966,0.2462644824799035,0.031770487245084245
xmin,,4.31000655450799,3.23730287598568,4.18213076669213
xmid,,5.434148794291699,5.486606634418462,
xmax,,10.1485879715146,8.47489312573248,8.21439161181585
ystart,,-9.838466572327185,-6.53066539106565,-0.2051980418578241
yend,,10.568758192430387,5.371978655152482,-5.5919938405300895
control__wt_glc__1,-0.0809121802666,7.400396883157099,6.33797760704298,6.46162611789816
control__wt_glc__2,0.0809121802665,7.60531961190977,6.74235377479676,6.41508362728307
fur__wt_dpd__1,-12.762247899,5.395801074962111,5.53768481615204,7.7726475740828
fur__wt_dpd__2,-13.1025394833,5.506758997049039,5.38478728841966,7.698668197333231
fur__wt_fe__1,-9.57832856361,5.49148395679683,5.94457987631029,6.648606252512519
fur__wt_fe__2,-8.663239141050001,5.52426999078704,5.75101878507657,6.71575221081933
fur__delfur_dpd__1,-12.991288799300001,5.20047285448721,5.6088012442442,8.05126624571524
fur__delfur_dpd__2,-13.2334070527,5.448136872791911,5.606994102631919,7.970849294608259
fur__delfur_fe2__1,-3.7725224885400004,6.4302167555260095,6.1044716628907,6.86673846888649
fur__delfur_fe2__2,-4.02098367361,6.33091473873237,6.256323571179499,6.705774609587751
acid__wt_ph5__1,-8.638612495730001,5.80564284179739,5.80687044148593,7.23734693577931
acid__wt_ph5__2,-8.97999981388,5.92386683863491,5.7189099182340195,7.467901719329059
acid__delgadx_ph5__1,-7.87503419286,5.636718049405269,5.729906642807769,7.42090189759886
acid__delgadx_ph5__2,-8.17666163412,5.912619629391131,5.6435586103396105,6.88096305254099
acid__delgadw_ph5__1,-6.877843290489999,6.093183922797519,5.92592437809569,7.360755752261469
acid__delgadw_ph5__2,-6.3853924610399995,6.22724066592679,5.86214192747192,7.47117204225072
acid__delgade_ph5__1,-8.31771272227,5.95056575673172,5.91209508837934,7.44242343329317
acid__delgade_ph5__2,-8.48016791229,5.89949370624467,5.747948616819941,7.33455319727296
oxidative__wt_pq__1,-2.18240537501,7.72486209483485,5.815706328215049,7.141766399036231
oxidative__wt_pq__2,-2.3480385414200002,7.665569795923799,5.64272413267529,7.331706322206871
oxidative__deloxyr_pq__1,0.45019666328900004,7.6884876075362305,5.752029302654639,6.8995190533498505
oxidative__deloxyr_pq__2,0.442359718175,7.660225959813791,5.66534874828742,6.9836121739094805
oxidative__delsoxr_pq__1,-3.25901381428,7.535488991375541,6.02973912607401,7.08732719010391
oxidative__delsoxr_pq__2,-3.37194163398,7.72039738855921,5.9264548154509695,7.1333282707667
oxidative__delsoxs_pq__1,-4.00512993273,7.79125240253646,6.113793721726671,7.5025574288385
oxidative__delsoxs_pq__2,-3.73784926056,7.85604522682672,5.95489300322446,7.393319565247901
nac_ntrc__wt_csn__1,-5.17795010641,6.8096694529102,6.263918663759969,7.258972985647629
nac_ntrc__wt_csn__2,-5.04964866226,6.86828756373196,6.4533009327737,7.253438425693231
nac_ntrc__wt_cytd__1,-11.9663362203,5.36644508516129,5.92020178304698,6.639424626294
nac_ntrc__wt_cytd__2,-11.238238665399999,5.630776948264691,5.936725099141799,6.59989158162938
nac_ntrc__wt_gln__1,-11.729616782899999,5.71526613765314,6.00977879524894,7.14479332624722
nac_ntrc__wt_gln__2,-11.4913335008,5.926505609532139,5.88378080859133,7.18262543303251
nac_ntrc__bw_delnac_csn__1,-6.17910065147,6.84095284836715,6.04886826052338,7.748511292444481
nac_ntrc__bw_delnac_csn__2,-4.21935905834,7.2117991631294,5.395016400694259,8.21439161181585
nac_ntrc__bw_delnac_cytd__1,-8.181900494279999,6.06189629052265,5.928366575923799,6.637549365768519
nac_ntrc__bw_delnac_cytd__2,-8.29055820856,5.91913712660201,5.81520213166891,6.62211143483165
nac_ntrc__bw_delnac_gln__1,-9.032701299700001,5.971446064890981,6.1431870668955995,7.542789317831019
nac_ntrc__bw_delnac_gln__2,-9.26147467859,5.45906199443039,6.314897977362911,7.74519761505191
nac_ntrc__bw_delnac_nh4__1,-0.936170274486,7.072280294928629,6.62078025610844,6.10930350332431
