,-0.04162779729220001,-6.938893903907228e-18,0.041627797292199994,0.08325559458439999,0.1248833918766,0.1665111891688,0.208138986461,0.2497667837532,0.2913945810454,0.3330223783376,0.3746501756298,0.41627797292200003,0.4579057702142,0.4995335675064,0.5411613647986,0.5827891620908,0.624416959383,0.6660447566752,0.7076725539674,0.7493003512596
thresh,-0.062441695938300006,0.062441695938300006,3,,,,,,,,,,,,,,,,,
unreg,36,3837,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cueR,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cusR and hprR,0,5,1,0,0,2,0,0,0,1,0,1,1,1,0,0,0,0,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
cueR_genes,[],['moaE' 'moaB' 'moaC' 'moaA' 'moaD'],[],['cueO' 'copA'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
cusR and hprR_genes,[],['cyoD' 'cyoB' 'cyoC' 'cyoE' 'cyoA'],['hiuH'],[],[],['cusS' 'cusR'],[],[],[],['cusA'],[],['cusB'],['cusF'],['cusC'],[],[],[],[],[],[]
