,PN96_RS06980
SBRG_BHIN_Growth_Late_1,4.340901939
SBRG_BHIN_Growth_Late_2,3.253948849
SBRG_BHIN_Growth_Mid_1,2.0270225070000003
SBRG_BHIN_Growth_Mid_2,2.585092318
SBRG_BHIN_Growth_Stat_1,3.014391114
SBRG_BHIN_Growth_Stat_2,3.257083373
SBRG_LBv2_Growth_Late_1,0.4458735489999998
SBRG_LBv2_Growth_Late_2,0.7948687460000001
SBRG_LBv2_Growth_Mid_1,0.1503870570000001
SBRG_LBv2_Growth_Mid_2,-0.1503870570000001
SBRG_LBv2_Growth_Stat_1,-2.31660976
SBRG_LBv2_Growth_Stat_2,-2.26257571
SBRG_MHB_Rich_Mid_1,0.658829587
SBRG_MHB_Rich_Mid_2,0.5504970060000001
SBRG_NBO_Rich_Mid_1,0.5681870280000001
SBRG_NBO_Rich_Mid_2,-0.3918359749999998
SBRG_M9Na_Arabinose_Mid_1,-0.6854151420000001
SBRG_M9Na_Arabinose_Mid_2,-0.1620871400000001
SBRG_M9Na_Galactose_Mid_1,0.5009673319999997
SBRG_M9Na_Galactose_Mid_2,-0.5283550350000001
SBRG_M9Na_GlcNAcGrowth_Late_1,-0.6503378300000002
SBRG_M9Na_GlcNAcGrowth_Late_2,-0.5828471340000001
SBRG_M9Na_GlcNAcGrowth_Mid_1,-0.3040375399999999
SBRG_M9Na_GlcNAcGrowth_Mid_2,-0.1545728510000001
SBRG_M9Na_GlcNAcGrowth_Stat_1,-2.390925588
SBRG_M9Na_GlcNAcGrowth_Stat_2,-2.1496501070000003
SBRG_M9Na_GlcNAc_Mid_1,-0.371493096
SBRG_M9Na_GlcNAc_Mid_2,-0.715955815
SBRG_M9Na_Gluconate_Mid_1,-0.8614030229999998
SBRG_M9Na_Gluconate_Mid_2,-1.032073868
SBRG_M9Na_Glucosamine_Mid_1,-1.3375699340000002
SBRG_M9Na_Glucosamine_Mid_2,-1.862090592
SBRG_M9Na_Glycerol_Mid_1,-0.1012042009999998
SBRG_M9Na_Glycerol_Mid_2,-0.2786077690000001
SBRG_M9Na_Maltose_Mid_1,-0.3998875549999998
SBRG_M9Na_Maltose_Mid_2,-0.2753353700000001
SBRG_M9Na_Mannitol_Mid_1,-0.404593513
SBRG_M9Na_Mannitol_Mid_2,-0.4549705689999999
SBRG_M9Na_Trehalose_Mid_1,-0.1120820240000002
SBRG_M9Na_Trehalose_Mid_2,-0.2529884679999998
SBRG_M9Na_ethanol_Mid_1,-1.485385425
SBRG_M9Na_ethanol_Mid_2,-1.2842726140000005
SBRG_M9Na_fructose_Mid_1,-0.4167026480000002
SBRG_M9Na_fructose_Mid_2,-0.1275650509999999
SBRG_M9Na_fumarate_Mid_1,-0.6787784779999999
SBRG_M9Na_fumarate_Mid_2,-1.143938005
SBRG_M9Na_glucoseGrowth_Late_1,-0.2573556639999999
SBRG_M9Na_glucoseGrowth_Late_2,0.0551749249999997
SBRG_M9Na_glucoseGrowth_Mid_1,0.0910455140000001
SBRG_M9Na_glucoseGrowth_Mid_2,-0.0910455140000001
SBRG_M9Na_glucoseGrowth_Stat_1,-0.6470471600000001
SBRG_M9Na_glucoseGrowth_Stat_2,-1.204613551
SBRG_M9Na_ribose_Mid_1,-0.341250204
SBRG_M9Na_ribose_Mid_2,0.1596796509999998
SBRG_M9Na_succinate_Mid_1,0.5176333679999998
SBRG_M9Na_succinate_Mid_2,0.2940832739999997
SBRG_M9Na_sucrose_Mid_1,0.1169994079999998
SBRG_M9Na_sucrose_Mid_2,-0.224136074
SBRG_LBv2_HapROver_Late_1,0.431581226
SBRG_LBv2_HapROver_Late_2,-0.156490395
SBRG_LBv2_HapROver_Mid_1,-0.1991870749999997
SBRG_LBv2_HapROver_Mid_2,-0.0391414440000001
SBRG_LBv2_HapROver_Stat_1,1.3576420089999996
SBRG_LBv2_HapROver_Stat_2,1.3924006089999996
SBRG_LBv2_LuxOOver_Late_1,-0.2159528700000001
SBRG_LBv2_LuxOOver_Late_2,-0.2381425450000001
SBRG_LBv2_LuxOOver_Mid_1,1.3546092809999997
SBRG_LBv2_LuxOOver_Mid_2,0.903113677
SBRG_LBv2_LuxOOver_Stat_1,1.4750222430000002
SBRG_LBv2_LuxOOver_Stat_2,1.3477530989999995
SBRG_LBv2_QstROver_Late_1,-1.682516474
SBRG_LBv2_QstROver_Late_2,-0.7462100330000001
SBRG_LBv2_QstROver_Mid_1,1.395206058
SBRG_LBv2_QstROver_Mid_2,0.9869901019999996
SBRG_LBv2_QstROver_Stat_1,1.0941654770000002
SBRG_LBv2_QstROver_Stat_2,1.2894979469999996
SBRG_LBv2_TfoXOver_Late_1,0.0826535640000001
SBRG_LBv2_TfoXOver_Late_2,0.0270227520000001
SBRG_LBv2_TfoXOver_Mid_1,1.5195685959999996
SBRG_LBv2_TfoXOver_Mid_2,1.6959217179999997
SBRG_LBv2_TfoXOver_Stat_1,0.652857359
SBRG_LBv2_TfoXOver_Stat_2,0.4498154850000002
SRX12193062,-0.725891125
SRX12193071,1.017399283
SRX12193063,0.725891125
SRX12193072,0.728136532
SBRG_LBv2_LowpH_Mid_1,0.6803250479999998
SBRG_LBv2_LowpH_Mid_2,-1.835399999983167e-05
SBRG_LBv2_highSalt_Mid_1,-1.34277283
SBRG_LBv2_highSalt_Mid_2,-1.476697834
SBRG_M9Na_glucoseKanamycin_Mid_1,0.8946235929999999
SBRG_M9Na_glucoseKanamycin_Mid_2,0.2818354829999996
SRX8117098,-0.113538911
SRX8117099,0.113538911
SRX8117100,-0.8152055369999998
SRX8117101,-1.866090965
SBRG_OSS_TfoXOver_Stat_1,1.3185249595
SBRG_OSS_TfoXOver_Stat_2,-0.2421091705
SBRG_OSS_VectorOnly_Stat_1,0.4276315684999999
SBRG_OSS_VectorOnly_Stat_2,-0.4276315685
SBRG_LBv2_TfoXOver_Recov_1,-0.172722579
SBRG_LBv2_TfoXOver_Recov_2,-0.2288372199999999
SBRG_LBv2_VectorOnly_Recov_1,-0.3654176519999998
SBRG_LBv2_VectorOnly_Recov_2,0.3654176519999998
