,yacL
Cr_1,0.00188975709377332
Cr_2,0.0040724407347086595
Cr_3,0.007723065074579558
Cr_4,0.00877108181898783
Cr_5,0.011827629749109322
Cr_6,0.017734020134339615
Fe_1,-0.009408709480969037
Fe_2,-0.01860112358545486
Fe_3,-0.021592532529143508
Fe_4,-0.023270610912165226
Fe_5,-0.022268772835700064
Fe_6,-0.013867690515846316
Cd_1,0.0021975449623870807
Cd_2,0.003902499690185434
Cd_3,0.008343804200476722
Cd_4,0.011947881111787741
Cd_5,0.012289743966694034
Cd_6,0.014472715255856434
Zn_1,-0.00943193610862248
Zn_2,-0.015501940665850762
Zn_3,-0.01656221294029473
Zn_4,-0.01052107083286085
Zn_5,-0.0056753448500155
Zn_6,-0.0009390100379990914
Cu_1,0.004203563601329625
Cu_2,0.006203483651738799
Cu_3,0.007118982689989725
Cu_4,0.00955624411805758
Cu_5,0.008689339390037755
Cu_6,0.010428701432578338
Pb_1,0.005021698431220975
Pb_2,0.005476970894638845
Pb_3,0.009476994729554138
Pb_4,0.017734233846455616
Pb_5,0.0203509142378134
Pb_6,0.0298514465416413
