,A,Crp,CytR
R2,,0.057355045140213945,0.003151697449981228
xmin,,-9.852476477,-5.8421114305
xmid,,-2.0377930806871536,0.3698163011559518
xmax,,2.5388323397,2.7890828204
ystart,,-2.273338320131361,-0.11447225080466311
yend,,2.82852149968086,1.4781822716817246
SRX1125282,0.017090143800000002,0.0344951212,-0.1231614292
SRX1125283,0.9631871593,0.1435731223,-0.4009946827
SRX1125284,0.2943575227,0.2534372822,-0.6276528688
SRX1125285,0.1883575868,0.283920339,-0.9724918901
SRX1125286,-0.8275023163,0.3175329239,-0.9898900392000001
SRX1125287,-0.8445451231000001,0.17602055360000002,-0.8722387158
SRX1125288,0.1358803788,0.005256366,0.1037441301
SRX1125289,0.1130885462,0.2819816342,-0.43694051310000004
SRX1125290,-0.4472395912,0.2801678667,-0.6911334672
SRX1125291,-0.060844666000000006,0.4762089513,-0.7609133998000001
SRX1125292,-0.5072439852,0.5370175003000001,-0.929986376
SRX1125293,-1.4476297058,0.5086233319,-0.6923891814
SRX1125294,-0.1529705226,-0.039751487200000005,0.0194172991
SRX1125295,-0.7754061962000001,0.2905320638,-0.1655681253
SRX1125296,0.0193806078,0.1859933018,-0.3539945447
SRX1125297,-0.9695655036,0.3699621097,-0.772115391
SRX1125298,-1.2127220425,0.5483756585,-0.7297610101
SRX1125299,-1.054553419,0.50143841,-0.7617017327000001
SRX5694250,-0.747723471,-0.4516798918,1.4797118913
SRX5694251,-15.8896361737,-1.8893970692000002,-1.8408186523
SRX5694252,1.1113687577,-0.1701238306,1.0436315784
SRX5694253,-1.1784048963,0.1340371706,0.1163048213
SRX5694254,-7.3155911268,-0.8477189713000001,-0.2550696771
SRX5694255,-8.7628552904,0.1307715067,-1.6597676762
SRX5694256,-1.8857485464,-0.2340068764,1.2542920265
SRX5694257,-3.8903791924,-0.33700626310000004,0.1047829919
SRX5694258,-1.2280689505,-0.2857852433,0.11780409230000001
SRX5694259,-14.6955926059,-2.9247054987,-1.9785791023
SRX5694260,0.97602694,0.0899715865,0.6616418785
SRX5694261,-6.4189218987,-1.6070723407,2.5196246149
SRX5694262,-1.4008490568,-0.5390842036,1.6786842122999999
SRX5694263,0.0343003332,-0.0980165268,1.200632211
SRX5694264,-0.35434297270000004,0.2016373309,0.5199193045
SRX5694265,0.1554497991,-0.2490351859,1.2213624744
SRX5694267,-1.592692043,0.0411821817,0.296991223
SRX5694268,1.2808649871,0.0231238538,0.8975891343
SRX5694269,0.8670182445,0.0476350313,0.6176355929
SRX5694271,-0.2313715496,0.24713669740000002,0.2265216682
SRX5694273,-5.8550437406,-1.5465123927,0.0552607091
SRX5694274,2.6149846297,0.2066153554,0.5095970166
SRX5694275,0.4584482372,-0.5157335737000001,1.256132239
SRX5694276,-9.4815280831,-1.8223907651,-0.8554754201
SRX5694277,-0.7178973703,0.36042412560000003,0.9810647423000001
SRX5694278,-5.9288301108,-1.3002511837,0.06267212330000001
SRX5694279,-0.5195517121000001,0.3379205155,0.8422909739000001
SRX5694280,-3.4660087515,-0.6834405493,1.2227974854
SRX5694281,1.3392119405,0.1656640608,0.3920670364
SRX5694282,-7.4649304007,-0.9934080376000001,-2.0701195913
SRX5694283,-2.3617648711,-0.3443110079,0.8912238363
SRX5694284,-3.9539401689,-0.9407234058,0.9984343767
SRX5694285,0.44804994870000003,-0.0040549861000000005,1.2069936605
SRX5694286,0.7173645608,-0.1478341465,1.2852576271
SRX5694287,-5.2485595078,-0.1558928562,0.022707220400000002
SRX5694288,0.3076291501,0.2764607147,0.09617166
SRX5694289,-2.218475416,-0.14661147630000002,0.6220562215000001
SRX5694290,-0.5726317713,0.2201400917,0.5454755418
SRX5694291,-9.0700657,0.1874058842,-1.6914761663
SRX5694292,0.255396838,0.0513472187,0.5127194674000001
SRX5694293,0.0357865635,0.3866879371,0.4123704414
SRX5694294,-2.8780439868,-0.0602559214,-0.0559152709
SRX5694295,-9.4448290317,-1.4743546362,-0.2550664056
SRX5694296,-2.1962092635,-0.13444608700000002,0.32991443600000003
SRX5694297,-7.6332716248,-1.621907484,-1.3688438988
SRX5694298,-0.047927235000000006,-0.0376343135,0.6465623993
SRX5694299,-0.5830158757,-0.0810478849,-0.1549334062
SRX5694300,-1.0663047364,0.1296583874,0.4122525537
SRX5694301,1.2663239268,0.2017965224,0.4884975856
SRX5694302,0.789484684,0.1490464558,0.8496286308000001
SRX5694303,1.1132609304,0.2623448043,0.705496032
SRX5694304,-1.0747603491,-0.22631582460000002,0.5508515481
SRX5694305,-16.1281436574,-1.9945889461,-1.4735560416
SRX5694306,-1.243442713,-0.303318389,1.9925718591
SRX5694307,-8.779749579,-0.9213934478,-2.1978959941
SRX5694308,-0.9259477006,-0.5542551321,-0.4845175262
SRX5694309,-9.6023602131,-2.4371824129,-1.3160812459
SRX5694310,-5.7681412854000005,-0.6975730314,-0.2196752575
SRX5694311,-12.7263585375,-2.788252041,-1.5440313049
SRX5694312,-3.3722296921,-0.46271994780000003,1.6622252876
SRX5694313,-5.8777940863,-1.0117169578,0.6783808047000001
SRX5694315,1.2506455475,-0.1729404675,0.49298633270000003
SRX5694317,-2.9664980225,0.2138522692,0.6252185734
SRX5694319,-1.8832161215,0.22403181360000002,0.261751516
SRX5694320,-7.4457049036,-0.09237995040000001,-1.5636053964999999
SRX5694321,-6.328460555,-0.38942819040000004,0.3173799163
SRX5694322,-9.717195238,-1.1362642293,-0.2645031916
SRX5694323,-6.9230258187,-0.41342659340000004,0.3683106297
SRX5694324,-14.942160456,-1.6036324816,-1.159504119
SRX5694325,-5.8707677492,-0.5104274184,-0.3284429367
SRX5694326,-0.22262988690000002,-0.1584196907,1.4675101708
SRX5694327,-5.8772081178,-0.6589226995,0.0871602288
SRX5694328,-1.0962868561,0.1764471632,0.1723827957
SRX5694329,-7.3237992666,-0.5799739837,-0.3689957363
SRX5694330,-3.0961137899,-0.6950204566,2.4898218564
SRX5694331,-0.4824450196,0.245553549,0.357570987
SRX5694332,-4.0982792388,-0.24882076420000002,0.6332771476
SRX5694334,-3.2809798126,-1.0972302127,-0.7781515262
SRX5694335,-9.9192680837,-2.0210704043,-0.5526655988
SRX5694336,-8.7659183371,-1.6584843203,-1.2538902271
SRX5694337,-2.5615833769,-0.2397944182,1.183463934
SRX5694338,1.7435203897,0.1989831632,0.8949066471
SRX5694339,-0.48652102740000003,0.10670366340000001,0.1598231213
SRX5694340,0.1142290799,-0.1227589166,0.9634560785
SRX5694341,-13.9331185035,-1.4531793695,-1.4993812911
SRX5694342,-7.4493770696,-1.642695013,-0.918062668
SRX5694343,-7.0645815712,-0.659556922,0.14508313050000002
SRX5694344,-3.0265774477,-0.5482364304,-0.4215659571
SRX5694345,-0.7785282383000001,-0.1455592358,0.1252914221
SRX5694346,-5.4465810494,-0.6506498564000001,0.3782041007
SRX5694347,-1.3308837179,-0.0665078507,0.2191640842
SRX5694348,0.6028696945,0.0163008612,1.2017960088
SRX5694349,2.5267488529,0.3281616036,-0.057137909
SRX5694350,-5.2925582089,-1.3897674496999999,-0.0760824807
SRX5694351,-7.1866178834,-0.94657928,-1.7046168662999999
SRX5694352,3.2836478734,-0.11358356480000001,0.20990792590000001
SRX5694353,1.5628204686,0.2090437913,0.5991044177
SRX5694354,1.8737889442000002,0.156288703,0.6279178788
SRX5694356,1.4837681661,0.1914919696,0.6246971836
SRX5694357,-7.1842744279,-1.6521756011000002,-1.5396771355999999
SRX5694358,-6.2940286531,-0.2527058608,-2.2381990319
SRX5694359,-0.0322535906,-0.30657057660000003,1.2458375423
SRX5694360,0.0284288676,-0.2669976047,1.1877389997
SRX5694361,-8.9883857158,-1.0307723459,-0.5442215552
SRX5694362,1.1484658894,-0.0309958632,1.7999022935000002
SRX5694363,-4.0367682574,-0.3804310446,0.3952338747
SRX5694364,-7.5909585309,-2.3462003852,-0.8777304796000001
SRX5694365,-7.1474146894,-0.6041545277,0.5193200103
SRX5694366,0.11217839240000001,-0.054980210200000004,0.5632161019
SRX5694367,-7.2975175603,-0.7076949831,-0.4527793564
SRX5694368,0.45361098600000005,0.1102525246,1.1529536934
SRX5694369,2.1173240748,-0.0590977866,0.5724622589
SRX5694370,-1.8558337818,-0.22081801820000002,1.033388889
SRX5694371,-7.6445647252,-2.3057897995,-0.8776060302
SRX5694372,-0.5421635709,-0.3165443482,1.3665622917
SRX5694373,-6.2361389301,-1.5399098517,0.0728947912
SRX5694374,-6.8917726263,-0.3411830033,-2.0736055627
SRX5694375,1.9429138682,-0.0340696975,0.6579635106
SRX5694376,0.0378029631,-0.31705369640000003,1.1272841618
SRX5694377,-5.7413556148,-0.5697764494,-1.8025835387
SRX5694378,0.6061161938,-0.31765341210000003,1.1880093033999999
SRX5694379,1.2291354333,-0.25011430100000004,0.6765303389
SRX5694380,-6.2912263794,-0.8373204843000001,0.7716998479
SRX5694381,-11.2776223798,-1.2728116676,-1.2761998857
SRX5694382,-4.4491668909,-0.025511662,-0.43036749760000004
SRX5694383,2.6408390415,0.1480773849,0.57856378
SRX5694384,-0.6261883066,0.1439389809,-0.0175573943
SRX5694385,-3.8290571335,0.0779751018,0.7745879847
SRX5694386,-10.3324893476,-2.8414442095,-1.0521061934
SRX5694387,-0.1923278987,0.0426535923,0.3308944697
SRX5694388,-15.6629095306,-1.6022828696,-1.2632010535
SRX5694389,0.5096886055000001,-0.0800003088,0.754995661
SRX5694390,1.7827673275,0.0001683552,0.6287025643
SRX5694391,-1.9750246487,0.1315329539,0.5474256486
SRX5694392,-0.2389033659,-0.1486598298,0.7887893568000001
SRX5694393,-0.5887861501,0.232671539,0.1987270043
SRX5694394,1.2017968350000001,0.2168248136,0.857284585
SRX5694395,-3.6080850442,-0.3791651303,0.2708598021
SRX5694396,-6.1209819404,-0.8353134788000001,-1.8400790507
