,ptsA
Cr_1,-0.003920127133001606
Cr_2,0.0006034515633542725
Cr_3,0.007306211883741124
Cr_4,0.0006795337573615055
Cr_5,-0.00438880311840196
Cr_6,-0.01130823944749634
Fe_1,-0.002830480912144243
Fe_2,-0.0312411562905414
Fe_3,-0.06081338225554711
Fe_4,-0.09244859052064232
Fe_5,-0.11930901504844735
Fe_6,-0.14523317179143522
Cd_1,-0.0982873319301273
Cd_2,-0.09686266800217228
Cd_3,-0.09036659063838172
Cd_4,-0.08649994541732231
Cd_5,-0.0832802032457836
Cd_6,-0.0742778282957797
Zn_1,-0.00674493727665414
Zn_2,-0.007769997474679774
Zn_3,-0.008304033360054672
Zn_4,0.0012393237516564962
Zn_5,0.008737633305537517
Zn_6,0.023857620335514442
Cu_1,0.0316578711520389
Cu_2,0.0232843469811745
Cu_3,0.0072956377994770625
Cu_4,-0.005593934979497832
Cu_5,-0.014317135234254728
Cu_6,-0.02098025600859611
Pb_1,-0.0032348680026289987
Pb_2,-0.006144815630678719
Pb_3,-0.01153001759623051
Pb_4,-0.015206246248431697
Pb_5,-0.019878364426250482
Pb_6,-0.017977364368412758
