,-0.10606143204400485,-0.09191990777147087,-0.07777838349893688,-0.0636368592264029,-0.049495334953868916,-0.03535381068133493,-0.02121228640880095,-0.007070762136266964,0.00707076213626702,0.021212286408801004,0.03535381068133499,0.04949533495386897,0.06363685922640296,0.07777838349893694,0.09191990777147092,0.10606143204400491,0.12020295631653889,0.1343444805890729,0.14848600486160685,0.1626275291341408
thresh,-0.11313219418027184,0.11313219418027184,1,,,,,,,,,,,,,,,,,
unreg,0,1,0,5,15,69,417,1539,1359,359,91,17,9,5,2,1,4,1,1,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['ABUW_0041' 'gabT' 'ABUW_0334' 'alrA'],['mdaB'],['ABUW_1478'],[]
