,A,Fur
R2,,0.014621635804153654
xmin,,-9.893921886
xmid,,-1.2705524982060763
xmax,,3.7262191745
ystart,,-1.9515335680362544
yend,,4.840835570118686
SRX1125282,2.1697219311,-0.019353005700000002
SRX1125283,4.230068929,0.2305871583
SRX1125284,12.983740817,0.7275786303
SRX1125285,20.5202187347,1.208661552
SRX1125286,22.0177449369,1.1169083627
SRX1125287,20.0830083544,1.0786663615
SRX1125288,-1.4526957495000001,-0.0089366757
SRX1125289,6.7289388687,0.5340986209
SRX1125290,16.2150798009,0.8046125807000001
SRX1125291,21.971831166,1.2652089755
SRX1125292,22.1673914768,0.9467520126000001
SRX1125293,20.0953635399,1.0346662242
SRX1125294,-0.7170261816,0.028289681400000002
SRX1125295,3.576800692,0.43446716560000004
SRX1125296,11.2003455781,0.6134168988
SRX1125297,18.3800245705,1.29823639
SRX1125298,19.957285380000002,1.3466842796
SRX1125299,19.3587834577,1.1321686126000001
SRX5694250,-2.108747059,0.15514151240000001
SRX5694251,1.7656203428000001,0.4377684502
SRX5694252,1.4397735060999999,-0.4062446666
SRX5694253,-1.081773226,0.46838079790000003
SRX5694254,-0.2647076935,0.6257311257
SRX5694255,1.9850335296,1.2222652304000001
SRX5694256,4.4284079615,0.18962784700000002
SRX5694257,-0.8142699330000001,1.1965334314
SRX5694258,-2.0490979215,0.2926141826
SRX5694259,6.6042154991,0.14519100170000002
SRX5694260,-0.3465897532,-0.0246486099
SRX5694261,12.3504265881,-1.6263367794999999
SRX5694262,5.8685701264,-0.8044302194
SRX5694263,1.5791275042000001,-0.0720290764
SRX5694264,1.3825071013999999,0.463461864
SRX5694265,-3.6095310407,-0.5470965469
SRX5694267,-0.5028423907,0.30733720410000004
SRX5694268,2.5261436760000002,-0.2169944251
SRX5694269,-1.4806896282,-0.0938650437
SRX5694271,-1.1352127273,0.2777125167
SRX5694273,0.1036504808,-0.7033619888
SRX5694274,-2.1513998654,-0.2520653392
SRX5694275,0.7099333248,-0.7046253372
SRX5694276,0.3024919666,0.0317203545
SRX5694277,-1.8874183891,0.233701549
SRX5694278,-3.710228593,-0.40180014550000004
SRX5694279,-2.4522510439,-0.2256123391
SRX5694280,9.615560012,-0.0690208313
SRX5694281,-3.5290865466,0.0975378159
SRX5694282,1.1192986843,0.9722225077000001
SRX5694283,8.0524480499,-0.3926104231
SRX5694284,6.3228331757,-0.011125823600000001
SRX5694285,-1.1183545403,-0.1153333252
SRX5694286,-0.3144060918,-0.43185484830000004
SRX5694287,6.2225197709,0.4129649769
SRX5694288,1.4378357323,-0.2012607397
SRX5694289,0.4760428521,0.3114276031
SRX5694290,2.045380329,0.4279505287
SRX5694291,2.5930455276,1.2267004369
SRX5694292,-3.7585268354,-0.1819792789
SRX5694293,-1.0050641454,0.0923447817
SRX5694294,-2.3342754101,0.4137604635
SRX5694295,6.6161330888,-0.0411889955
SRX5694296,0.5057911232,0.4465032129
SRX5694297,-0.2658487818,1.1929509728
SRX5694298,-2.1173724761,-0.24377161500000002
SRX5694299,-3.866313385,0.1022267718
SRX5694300,2.9812813781000003,-0.08204266710000001
SRX5694301,-3.6063853310000002,-0.40016228400000003
SRX5694302,0.20718831880000002,-0.1309359008
SRX5694303,0.4976098416,0.0090969511
SRX5694304,5.0769645443,-0.1838030893
SRX5694305,2.8452510986,0.46724588110000004
SRX5694306,-5.4536828065,-2.4282303025
SRX5694307,0.8258126551,0.9629089327
SRX5694308,-0.1086713089,0.12368935310000001
SRX5694309,2.0202787434,0.8900661546
SRX5694310,15.8573672293,-0.3167585807
SRX5694311,3.7253061345000003,-0.2278540168
SRX5694312,9.7459950343,-1.2068082598
SRX5694313,5.1826667044,-0.22732878210000002
SRX5694315,2.0581010571,-0.6056212274
SRX5694317,4.0152108689,0.20430109170000002
SRX5694319,2.3931447440999998,0.2181452225
SRX5694320,1.3477926232000002,1.1462812854
SRX5694321,7.7940699099,0.3636055414
SRX5694322,1.0154968178,0.4631088042
SRX5694323,8.3011759746,0.2378312514
SRX5694324,1.708066648,0.3246086132
SRX5694325,10.9778028671,0.5482222344000001
SRX5694326,0.3488796067,-0.010888811600000001
SRX5694327,14.9588352218,-0.2638272614
SRX5694328,2.0816544497,-0.036860092500000004
SRX5694329,12.5248063653,1.0691590726
SRX5694330,5.4102260519,-2.3252710335
SRX5694331,0.23586287690000002,0.4110728621
SRX5694332,2.8192318245,0.20007652210000001
SRX5694334,2.1495208495,0.1010918916
SRX5694335,2.4745378908,0.3957199563
SRX5694336,-2.4600165646,0.3948733358
SRX5694337,8.4553543814,0.3573052694
SRX5694338,0.4338774923,-0.4525821431
SRX5694339,1.4500776299,-0.0191556582
SRX5694340,3.2472454203,0.0293777617
SRX5694341,-1.1043322213,0.9859149752
SRX5694342,0.1203487617,0.6808311431
SRX5694343,2.1936215113,0.5317095390000001
SRX5694344,12.0705028296,0.9360842386
SRX5694345,2.6099390418,0.0201775326
SRX5694346,5.4495852007,-0.1146899157
SRX5694347,-0.7233502695,0.2708414096
SRX5694348,5.9268374771,-0.1572171319
SRX5694349,0.5575381602,-1.0886919379
SRX5694350,-2.5812692143,0.144184582
SRX5694351,3.1341897204,1.3811692108
SRX5694352,-4.2059805711,-0.114163683
SRX5694353,-1.2187643515,-0.011465710300000001
SRX5694354,6.6829180867,-0.5847029634
SRX5694356,-0.7453486836000001,0.055385097200000004
SRX5694357,-0.1659711617,0.9606707476
SRX5694358,1.8090604449,1.2914517682
SRX5694359,1.4549879026,-0.2855045002
SRX5694360,1.0020933239,-0.638620278
SRX5694361,1.7250138042,-1.5132484745
SRX5694362,-1.32907764,-1.9652494854
SRX5694363,-1.4681771322000001,1.2542890818
SRX5694364,0.2814679754,0.7876454059
SRX5694365,11.7167159619,0.8906258525
SRX5694366,0.9398390268000001,0.2089985611
SRX5694367,11.0577186045,0.5213602361
SRX5694368,-0.091890462,-0.018460327500000002
SRX5694369,-1.9171638639,-0.1647844436
SRX5694370,12.8018639983,0.0016327890000000002
SRX5694371,0.504776192,0.8165281951000001
SRX5694372,0.8044053664,-0.3342762494
SRX5694373,-0.7467973089000001,-0.0047591478
SRX5694374,-0.4562141329,0.7615916478
SRX5694375,-2.4073975081,-0.23131398720000002
SRX5694376,-0.5986244763,0.6436264924
SRX5694377,1.343322729,0.7703477697000001
SRX5694378,5.1623073281,-0.5006761838
SRX5694379,5.1899086412,-0.2285719789
SRX5694380,5.3765609414,0.1261078601
SRX5694381,2.3918485016,1.5005765341
SRX5694382,1.5013634891,0.49058279860000004
SRX5694383,-3.2429722171,-0.5617845917000001
SRX5694384,-0.005901859000000001,0.28859365800000003
SRX5694385,16.7997155846,0.49805841980000004
SRX5694386,0.5906950877,-0.7357423173000001
SRX5694387,1.2123953987,0.1905704846
SRX5694388,0.5526220108000001,0.4894669426
SRX5694389,-4.1237258982,0.0464077509
SRX5694390,-4.1128503389,-0.1638455209
SRX5694391,2.4449065761,0.2652531168
SRX5694392,-3.5386084081,-0.0643523617
SRX5694393,-0.0265437469,0.4487898696
SRX5694394,-2.0010991747,-0.1239980744
SRX5694395,-2.6380807172000003,1.3081476157
SRX5694396,0.9155188242000001,1.4076040301
SRX5694397,16.0107420413,-0.5370945714
SRX5694398,9.4383000855,-0.6547982996
SRX5694399,-1.8513169787,0.44247998860000004
SRX5694400,2.0605416741,-0.6125086075
SRX5694401,-0.8795041498,-0.20422094540000002
SRX5694402,-0.415435339,-0.9583442195
SRX5694403,8.557337734,0.1071730481
SRX5694404,-2.6834408244,-0.3003964322
SRX5694405,-0.9622198059,0.2357032725
SRX5694406,3.6724280585,0.0693949259
SRX5694407,5.7222255846,0.0371632972
SRX5694408,0.039020399000000004,0.0265961863
SRX5694409,0.026531707,0.3036734732
SRX5694410,-0.4130941662,-0.4648872027
SRX5694411,6.9281721239,1.1538115976
SRX5694412,9.1660692301,-0.9291934891
SRX5694413,4.1925763371,-0.570691755
SRX5694414,2.1948351548,1.6509193769000001
SRX5694415,-3.1113142544,-0.1991500789
SRX5694416,-0.005894924100000001,0.0154779333
SRX5694417,-0.0542901537,0.3500808745
SRX5694418,3.3059333151,-0.0752501554
SRX5694419,-3.1375224032,0.1823640506
SRX5694420,-4.2150495967,0.22165850820000002
SRX5694421,8.2767460483,0.3020195341
SRX5694422,0.2485683039,0.097195029
SRX5694423,3.7635134304,-0.2056130554
SRX5694424,6.1979152743,-0.3920706658
SRX5694425,-0.0221811245,-0.5587581914
SRX5694426,1.8776428414000002,0.1130672716
SRX5694427,-2.0080071734,0.16881575040000002
