,A,MarA,BluR,RpoS
R2,,0.11412465747703782,0.10717330653253765,0.038910652175141336
xmin,,-5.737979792000001,-7.161546403999998,-2.4793139040000005
xmid,,-4.285212556002391,-3.656634165133362,-0.5929732067469847
xmax,,6.7437597479999996,2.090273946,3.139938211880993
ystart,,-3.8284534334249867,-3.8284534334177716,-0.3077169108637187
yend,,8.758262142705348,4.44208972208837,2.982300804662282
control__wt_glc__1,0.0851408175684771,0.042976687999999534,-0.09631470400000007,-0.049727751000000715
control__wt_glc__2,-0.0851408175684654,-0.04297668800000043,0.09631470400000007,0.049727751000000715
fur__wt_dpd__1,9.804638710654432,0.54919808,0.2435441860000012,1.6503265020000004
fur__wt_dpd__2,9.99046205016986,0.5143733269999995,0.167158005000001,1.6437026919999995
fur__wt_fe__1,0.116232378750975,0.5284737009999985,-0.39377225299999896,-0.2294725589999995
fur__wt_fe__2,0.3523671560040747,0.6687021589999995,-0.3279968329999994,-0.2717253760000009
fur__delfur_dpd__1,7.925772772951976,0.5002604579999987,0.41412462200000105,1.5271957219999999
fur__delfur_dpd__2,7.24649301447921,0.3336985469999991,0.27107667500000066,1.2385445819999994
fur__delfur_fe2__1,2.241077645134992,1.822811485999999,-0.042149683999999084,0.6013075319999999
fur__delfur_fe2__2,2.6594231703187687,1.7126242879999989,-0.13148163999999962,0.6226109219999998
acid__wt_ph5__1,1.8153702092281088,0.6858305189999996,-0.20353302299999765,0.17730274899999898
acid__wt_ph5__2,2.1523672069317787,0.706165573999999,-0.19008683099999946,0.18070148099999986
acid__delgadx_ph5__2,2.207929948589814,0.4743611769999996,-0.3315365909999999,0.041918445000000304
acid__delgadw_ph5__1,2.411845334817192,0.78782161,-0.11611337199999915,0.13294699599999935
acid__delgadw_ph5__2,2.406581229698217,0.8247174329999991,-0.2293471169999988,0.028727889000000676
acid__delgade_ph5__1,2.179164709616698,0.7086323409999995,-0.1839502599999996,0.245873005
acid__delgade_ph5__2,2.004687882494574,0.7297391939999995,-0.15041550399999792,0.3536770219999994
oxidative__wt_pq__1,4.322860591698494,0.607074986999999,-0.18239218499999946,2.4493267319999994
oxidative__wt_pq__2,4.364867666161449,0.5234082479999991,-0.2365242089999988,2.150239471999999
oxidative__deloxyr_pq__1,5.471219837291511,0.7298429359999989,-0.33326661999999985,1.9186836320000005
oxidative__deloxyr_pq__2,5.110293895082736,0.5324702709999984,-0.3129308629999992,1.8757188320000004
oxidative__delsoxr_pq__1,1.168495631326578,-0.8358621400000006,-0.07088725799999906,2.1746498119999997
oxidative__delsoxr_pq__2,1.4620463164929556,-0.6540872330000012,0.042781230000000996,2.132365622
oxidative__delsoxs_pq__1,0.9870132537598096,-0.8986452660000008,0.3887611680000012,2.4270615719999995
oxidative__delsoxs_pq__2,0.4376570357750657,-0.3775322410000008,0.4082411690000001,2.475274892
nac_ntrc__wt_csn__1,4.744285906005449,0.15149529699999853,0.2475695320000009,1.849426562
nac_ntrc__wt_csn__2,4.291717313445336,0.18994741599999895,0.22489825600000124,1.8262455620000004
nac_ntrc__wt_cytd__1,2.1293095522133947,-0.05724602999999995,-0.15813601599999938,0.9658633820000002
nac_ntrc__wt_cytd__2,2.045536984525791,0.07079861199999904,-0.2535086599999996,0.8995555819999996
nac_ntrc__wt_gln__1,1.6088443721756824,-0.24000557300000125,0.031826472000002326,1.143877011999999
nac_ntrc__wt_gln__2,1.738148104003819,-0.3370412500000004,-0.05892355999999933,1.201356272
nac_ntrc__bw_delnac_csn__1,4.132568884207352,1.1316937209999995,0.6253268720000023,2.1708239119999995
nac_ntrc__bw_delnac_csn__2,1.477198629274635,0.2958496679999989,0.6280202860000008,2.3634965119999998
nac_ntrc__bw_delnac_cytd__1,3.272861440446967,0.5300296099999997,-0.2719311089999996,1.560056101999999
nac_ntrc__bw_delnac_cytd__2,2.85983106190759,0.4545712319999993,-0.3642825639999989,1.5728261719999992
nac_ntrc__bw_delnac_gln__1,1.3481782116830558,0.4689566139999997,0.06284907400000073,1.4617363419999998
nac_ntrc__bw_delnac_gln__2,1.1700503867103116,0.22082959799999904,-0.0609161760000001,1.4067977519999992
nac_ntrc__bw_delnac_nh4__1,-0.3305728664681668,0.7378669799999997,-0.3468459499999996,0.3601772620000005
nac_ntrc__bw_delnac_nh4__2,-1.2319057319672837,0.4492848039999995,-0.4760992099999992,0.3699574519999995
misc__wt_no_te__1,3.0427861887175163,0.15809753000000004,-0.03685732499999883,0.924456952
misc__wt_no_te__2,2.474128335096781,0.2405076509999988,-0.006191562999998901,0.42003344199999937
misc__bw_delcbl__1,0.1676962710857548,0.7188685379999988,-0.5223678499999993,0.244772523
misc__bw_delcbl__2,0.718106306084418,0.7804235309999985,-0.4528977439999995,0.07157739500000028
misc__bw_delfabr__1,-1.1574455356026734,0.9667945129999992,-0.5952976859999994,-0.2551086290000004
misc__bw_delfabr__2,-1.1138905018828824,0.8657491049999999,-0.4544018129999987,-0.16277256400000084
misc__bw_delfadr__1,0.6770737967347512,0.3563120559999984,-0.4425673089999993,0.10687962199999924
misc__bw_delfadr__2,0.3003487837476193,0.2539366199999993,-0.43086943399999894,0.19751071299999975
misc__nitr_031__1,0.2794188040198386,0.13893221099999842,-0.1572640769999989,1.1360686920000005
omics__wt_glu__1,-0.1506606164155068,0.05431806099999825,0.4373946810000007,-0.23051727
omics__wt_glu__2,0.0138249366416454,0.35116408399999965,0.4005741830000016,0.043958795
omics__wt_gly__1,-1.344337580944987,0.141189816999999,-0.19483122499999886,-0.016657597000000024
omics__wt_gly__2,0.2878470125830807,-0.1498218410000005,-0.07094851699999882,-0.015329333000000387
omics__wt_thr__1,-1.8173864424728277,0.5474035579999992,0.3401026780000009,-0.27653058900000005
omics__wt_thr__2,-2.698228299091158,0.1955429439999996,0.21011774700000085,-0.3382411019999996
omics__bw_ac__1,-2.845992958222306,0.5123860929999989,0.4406329790000001,1.014675532
omics__bw_ac__2,-1.8528112719989551,0.7198676049999992,0.4941946660000012,0.9779118219999994
omics__bw_fum__1,-2.776003758451568,0.4984577839999993,0.3663021420000012,0.7274200319999995
omics__bw_fum__2,-2.6460981475750214,0.41230419399999896,0.3098039320000012,0.7373106620000005
omics__bw_glc__1,0.7749013266049523,1.1009967419999995,0.4493441930000008,0.3882324019999999
omics__bw_glc__2,1.0857986121457603,1.136005365,0.4469388860000008,0.39518415200000057
omics__bw_pyr__1,-3.9738316950895625,-0.032892741000000385,0.3716626070000011,1.0398495719999996
omics__bw_pyr__2,-0.7259275412486552,0.05783297299999912,0.4273400349999994,1.1488143320000006
ompr__wt_nacl__1,6.746447501840493,-0.7702216660000003,0.7253155020000008,1.6465871120000006
ompr__wt_nacl__2,6.457274772015155,-0.9509825390000008,0.5432361350000008,1.759748342
ompr__bw_delompr_nacl__1,9.954601769061982,0.4077422719999992,0.2775521840000001,0.7287601719999994
ompr__bw_delompr_nacl__2,9.52818760180459,0.402611885999999,0.269891844,0.5739272920000005
minspan__wt_ade__1,1.9485353392920712,1.2472261249999992,0.3498665160000005,-0.41096649500000026
minspan__wt_glc__2,1.6630593707805212,0.4161585849999998,-0.5725816579999989,0.11574757800000054
minspan__wt_glc__3,1.0579626112924978,0.43196855299999903,-0.6000548119999989,0.02785716100000002
minspan__wt_glc__4,0.8093944657962392,0.5438147709999983,-0.5939837750000008,0.04818290200000064
minspan__wt_glc_anaero__1,-6.104559783715531,-0.5243972360000004,-0.3160511349999995,-0.27702965699999993
minspan__wt_glc_anaero__2,-6.735849036012473,-0.10222780100000063,0.02044944500000057,-0.08955874199999947
minspan__wt_trp__1,-3.2376577142302665,-0.8952641800000007,-0.4546598660000001,0.016084042999999326
minspan__bw_delcra_glc__2,-0.5366893409761769,-0.2460925360000008,-0.9423851879999994,0.268831166
minspan__bw_delcra_trp__1,-1.9838995294974189,-1.6374061620000004,-0.8062068579999977,0.03030116299999896
minspan__bw_delmntr__1,-5.370567803034403,-0.12744285499999994,-0.8233441399999988,0.12121000099999968
minspan__bw_delnac_ade__1,4.921356019964682,-0.057739323000000724,0.9069135810000012,0.08339037800000071
minspan__bw_delnac_glc__1,3.5462024773468968,0.7617395969999992,-0.3400539529999991,0.41288737200000014
cra_crp__wt_ac__1,-0.6297883838543186,-0.32985910800000084,0.3998599020000011,0.34391979199999945
cra_crp__wt_ac__2,-1.7008979849087722,-0.5106230510000005,0.39694015300000096,0.2228516109999994
cra_crp__wt_fru__1,-0.5579514316687291,-0.4029259510000003,0.3170526400000009,0.32115443200000016
cra_crp__wt_fru__2,-0.2793494394294009,0.11271556899999967,0.30537320399999945,0.2865428439999995
cra_crp__delcra_ac__1,0.9459401307317588,0.2908731669999991,0.42279594999999937,0.5809128020000003
cra_crp__delcra_ac__2,0.3822071943529576,0.02137130499999973,0.2468568410000005,0.6237719419999994
cra_crp__delcra_fru__1,-0.9423455898911492,0.4094458639999994,-0.17217559299999774,0.4457110719999999
cra_crp__delcra_fru__2,0.0238705716228521,0.4033658599999992,-0.14995934299999902,0.527806022
cra_crp__delcra_glc__1,1.6620812350551375,0.616981062999999,-0.5948482189999993,-0.06741425999999963
cra_crp__delcra_glc__2,1.625417812376299,0.4808083389999993,-0.4960212679999989,-0.00946141200000028
rpoB__wt_031__1,-3.5377063558619084,-0.2649166720000009,-0.19121325199999892,0.4189900820000005
rpoB__wt_044__1,-1.557226726654793,0.2731997849999992,-0.18051670299999767,-0.0027066280000003213
rpoB__wt_lb__1,2.461400690734866,0.3817539529999987,-0.9630980309999996,0.5912388619999991
rpoB__wt_lb__2,3.209571939412692,0.6098561979999992,-0.9387435319999984,0.5552148619999997
rpoB__rpoBE546V_031__1,1.4476562033688185,-0.3196422650000006,-0.6405140339999988,1.0753228020000003
rpoB__rpoBE546V_044__1,0.5568540168923378,0.09077965399999943,-0.5010106519999988,1.0465195620000003
rpoB__rpoBE546V_lb__1,1.1399788005681168,0.8314277369999985,-0.8640233119999987,0.6638522620000007
rpoB__rpoBE546V_lb__2,2.0514616619222856,0.41305356499999935,-0.8076277339999995,0.6135239919999993
rpoB__rpoBE546V_glc__1,-1.1035540109795132,-0.5085199700000009,-0.6049787759999994,0.12999292800000006
rpoB__rpoBE672K_glc__1,-3.1825834351214657,-0.4227364800000011,-0.6043257309999994,-0.9269440880000008
rpoB__rpoBE672K_glc__2,-4.160959640884037,0.06752999399999915,-0.7001040929999993,-0.9221537669999992
rpoB__rpoBE672K_lb__1,2.7520504322662647,1.045771241999999,-1.7341670419999984,-0.9664375940000004
rpoB__rpoBE672K_lb__2,0.7864624518871569,1.1375627569999995,-1.7685671749999994,-0.8909124800000008
crp__wt_fru__1,-0.8932091478981374,-0.16376786700000068,-0.5291603779999994,-0.08924797200000079
crp__wt_glyc__1,-1.9943842854542624,-0.3780464170000011,-0.5954614719999984,0.382196532
crp__wt_glyc__2,-1.9660190354912788,-0.16382832400000158,-0.4212233109999993,0.29671736199999893
crp__delar1_glyc__1,-6.071961624680427,0.12259074599999842,-0.33148552399999964,0.457625371999999
crp__delar1_glyc__2,-5.433777904933291,-0.0863873040000005,-0.4463398119999989,0.3320905520000004
crp__delar1ar2_glyc__1,-2.006146280833004,0.3397865399999995,-0.12998294899999951,0.19362971600000026
crp__delar1ar2_glyc__2,-1.9880692150334869,0.4271501279999992,-0.3207663839999988,0.33613993200000003
