,-0.0778774097300295,-0.0467264458380177,-0.0155754819460059,0.0155754819460059,0.0467264458380177,0.0778774097300295,0.1090283736220413,0.1401793375140531,0.17133030140606492,0.2024812652980767,0.23363222919008853,0.26478319308210035,0.29593415697411213,0.3270851208661239,0.35823608475813573,0.38938704865014756,0.42053801254215933,0.4516889764341711,0.4828399403261829,0.5139909042181947
thresh,-0.0934528916760354,0.0934528916760354,9,,,,,,,,,,,,,,,,,
unreg,0,16,1624,1451,26,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RpoS,0,1,106,83,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ppGpp,0,5,408,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MarA,0,1,7,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RpoS and ppGpp,0,0,54,59,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RpoS and MarA,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ppGpp and MarA,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RpoS, ppGpp, and MarA",0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RpoS, ppGpp, BluR, and MarA",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0
unreg_genes,[],[],[],[],[],[],['pdeG'],[],[],[],[],[],[],[],[],[],[],[],[],[]
