,-0.156723986614009,-0.1253791892912072,-0.0940343919684054,-0.06268959464560361,-0.03134479732280182,-2.7755575615628914e-17,0.031344797322801765,0.06268959464560356,0.09403439196840535,0.12537918929120717,0.15672398661400894,0.1880687839368107,0.21941358125961252,0.25075837858241434,0.2821031759052161,0.3134479732280179,0.3447927705508197,0.3761375678736215,0.40748236519642334,0.43882716251922504
thresh,-0.1097067906298063,0.1097067906298063,5,,,,,,,,,,,,,,,,,
unreg,0,0,0,0,148,3233,140,3,0,0,0,0,0,0,0,0,0,0,0,0
IHF,0,0,0,0,9,132,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Crp,0,0,0,0,22,410,30,1,0,0,0,0,0,0,0,0,0,0,0,0
IHF and Crp,0,0,0,0,3,65,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"PlaR, IHF, and Crp",1,0,0,0,0,0,0,0,0,0,1,1,1,3,1,1,1,0,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
IHF_genes,[],[],[],[],['nrfG' 'atoE' 'hycA' 'ilvD' 'yadV' 'glcE' 'ilvA' 'tyrP' 'nrfB'],"['rtcA' 'nrfA' 'ompC' 'narI' 'proW' 'hycG' 'ubiA' 'cysI' 'fimF' 'pstS'
 'nrfC' 'ilvE' 'sufB' 'pstB' 'carB' 'uspA' 'glcD' 'yjbF' 'dcuD' 'narH'
 'mtr' 'nrfE' 'hypD' 'glnQ' 'htrE' 'fimD' 'fimI' 'fnr' 'hycE' 'hypE'
 'proV' 'fimH' 'cysH' 'hypB' 'sufD' 'ndh' 'rtcB' 'ssuE' 'hycF' 'dps'
 'nuoF' 'amiA' 'atoD' 'sufA' 'prmC' 'fimC' 'sra' 'nuoG' 'pspC' 'nrfF'
 'ulaG' 'fhlA' 'ibpB' 'narJ' 'sufS' 'nuoI' 'sufC' 'pspB' 'pstC' 'pspE'
 'dppD' 'nuoH' 'glcA' 'glnP' 'dppF' 'carA' 'nuoC' 'norV' 'hemF' 'glnH'
 'glcF' 'dppA' 'nuoE' 'fliA' 'ssuA' 'cysJ' 'ihfA' 'atoB' 'proX' 'dppC'
 'yeiL' 'yjbH' 'nuoA' 'narG' 'ssuB' 'pstA' 'ssuC' 'pspG' 'prfA' 'hypC'
 'nuoL' 'hipA' 'nrfD' 'ssuD' 'phoU' 'norW' 'hycB' 'pspD' 'ubiC' 'dmsC'
 'nuoB' 'hycH' 'patA' 'atoA' 'hycC' 'hemA' 'fliZ' 'dppB' 'fimA' 'dmsA'
 'fimB' 'osmE' 'folA' 'yjbE' 'fimG' 'pspA' 'ihfB' 'glcB' 'ilvG' 'hycD'
 'hypA' 'uspB' 'hipB' 'nuoJ' 'yjbG' 'nuoM' 'ilvM' 'hycI' 'tcyJ' 'adiA'
 'glcG' 'narK']",['nuoN' 'dmsB' 'nuoK' 'sufE'],[],[],[],[],[],[],[],[],[],[],[],[],[]
Crp_genes,[],[],[],[],"['ansB' 'lacA' 'sgcA' 'ugpQ' 'ugpB' 'hupA' 'caiF' 'hofO' 'gntT' 'aaeA'
 'srlD' 'rbsB' 'nanC' 'metK' 'ntrC' 'rspB' 'hicA' 'pck' 'ugpC' 'casE'
 'casB' 'gcvT']","['trg' 'citC' 'ompW' 'gadC' 'galK' 'prpR' 'nanK' 'dgoA' 'agaW' 'entD'
 'xylE' 'acnA' 'sgcQ' 'mhpC' 'pnp' 'fur' 'chbG' 'agp' 'lsrD' 'dcuA' 'lamB'
 'gpsA' 'entH' 'mhpF' 'galP' 'melA' 'gadB' 'dgoT' 'hyfR' 'galT' 'araG'
 'glgS' 'relA' 'ptsG' 'hyfB' 'puuD' 'manZ' 'melR' 'chbC' 'rof' 'gatC'
 'sgcR' 'gcvP' 'btsT' 'exuT' 'araH' 'sfsA' 'sdhB' 'ppdD' 'rhaB' 'lhgO'
 'nagE' 'dgoD' 'ygeA' 'malI' 'gntK' 'ybiT' 'gabD' 'chiQ' 'glnL' 'csiE'
 'araE' 'puuR' 'ugpA' 'manY' 'aspA' 'mglA' 'lacI' 'rpsF' 'xylH' 'ugpE'
 'ilvN' 'proP' 'ompA' 'mlc' 'rimP' 'sgcE' 'uxaC' 'speC' 'fixA' 'aegA'
 'fucI' 'nlpE' 'nagB' 'fumC' 'yjhI' 'uxaA' 'glgP' 'aaeB' 'rhaA' 'glpC'
 'fucO' 'melB' 'ycdZ' 'entC' 'glpG' 'ilvB' 'malG' 'gntU' 'fucP' 'gadA'
 'mhpE' 'nagC' 'mglB' 'gatY' 'bglF' 'glpD' 'lgoR' 'dctA' 'idnT' 'mdh'
 'entA' 'rbsR' 'yahN' 'yhcH' 'hofC' 'glcC' 'xylA' 'deoC' 'acnB' 'malM'
 'secB' 'manA' 'uidC' 'galE' 'cdd' 'uxaB' 'sdhA' 'mglC' 'guaA' 'cytR'
 'patZ' 'cyoE' 'glpK' 'fucK' 'yhfA' 'glgA' 'ygcW' 'oxyR' 'cspD' 'mhpD'
 'yhgH' 'araJ' 'fecB' 'ykgR' 'fbaA' 'putP' 'cas2' 'ebgA' 'srlB' 'prpD'
 'modA' 'tsx' 'uxuB' 'glpX' 'aaeR' 'gabT' 'prpB' 'umpH' 'hyfG' 'agaV'
 'nupC' 'mazE' 'psiE' 'sohB' 'rihA' 'entB' 'idnK' 'treC' 'treB' 'uxuA'
 'glpE' 'modC' 'galS' 'hlyE' 'cstA' 'dgoK' 'feaB' 'rplI' 'yaeQ' 'sdhD'
 'ldtB' 'caiC' 'dadA' 'bglG' 'arfB' 'mpl' 'modB' 'lsrC' 'rpsR' 'gatZ'
 'ortT' 'mazF' 'bhsA' 'gadX' 'trxA' 'araD' 'infB' 'aceE' 'dcuR' 'serA'
 'guaB' 'ptsI' 'aaeX' 'cpdB' 'nusA' 'priB' 'hupB' 'rspA' 'grpE' 'rhaT'
 'nanT' 'ampD' 'comR' 'dadX' 'lsrA' 'fepA' 'hofB' 'malT' 'glgC' 'glpA'
 'yjhG' 'sgcX' 'galM' 'truB' 'gatD' 'ubiG' 'marB' 'manX' 'xylG' 'argG'
 'murP' 'serC' 'uidA' 'malY' 'ygeW' 'abgR' 'gutM' 'deoB' 'lsrF' 'chbF'
 'nrdB' 'nanE' 'fadL' 'gatB' 'chbA' 'gyrA' 'hflK' 'yfaE' 'dksA' 'fucR'
 'araC' 'hfq' 'nfuA' 'tnaA' 'cyoC' 'hyfF' 'idnO' 'rhaS' 'preT' 'yeiP'
 'nanA' 'aldA' 'rbsD' 'csqR' 'fecA' 'prpC' 'cyoD' 'citG' 'rpsO' 'nagA'
 'cyaA' 'yqeF' 'rbsA' 'focB' 'cas1' 'narQ' 'caiE' 'hflC' 'gcvH' 'casD'
 'lacZ' 'araF' 'xylR' 'fadD' 'fumA' 'malS' 'ampE' 'citD' 'gabP' 'malK'
 'yeiW' 'srlR' 'prpE' 'glpF' 'dgoR' 'aldB' 'ppiA' 'xylF' 'glnA' 'cyoB'
 'sbmC' 'hflX' 'marR' 'citE' 'nadC' 'csiD' 'malF' 'hyfC' 'preA' 'rbsK'
 'aer' 'araA' 'tnaB' 'chbB' 'casA' 'hicB' 'lpd' 'zraS' 'yaeP' 'nanS'
 'gntP' 'lacY' 'hofN' 'aroA' 'aceF' 'hofM' 'malE' 'ychH' 'caiD' 'dsdA'
 'chbR' 'xylB' 'caiT' 'glpR' 'psuK' 'caiB' 'srlA' 'uidB' 'pdhR' 'mtlR'
 'uxuR' 'yjhH' 'puuC' 'caiA' 'rpoS' 'lsrR' 'gutQ' 'hyfI' 'lsrK' 'nanM'
 'rplM' 'gapA' 'hyfA' 'nrdA' 'sgcB' 'exuR' 'malX' 'gatA' 'fecD' 'araB'
 'feaR' 'nupG' 'deoD' 'entE' 'idnR' 'deoA' 'fucU' 'srlE' 'fadH' 'agaA'
 'uhpT' 'sgcC' 'rbfA' 'udp' 'mdtE' 'fecC' 'dpiB' 'sdhC' 'citF' 'fecE'
 'hyfJ' 'pgk' 'casC' 'puuE' 'murQ' 'ptsH' 'ynfK' 'rpsI' 'ascB' 'rhaR'
 'ascF' 'gdhA' 'pncB' 'cirA' 'rbsC' 'mhpB' 'bglB' 'xseA' 'fucA' 'puuB'
 'lsrB' 'rhaD' 'hyfD' 'tam' 'mdtF' 'cas3' 'dpiA' 'idnD' 'dsdX']","['crr' 'marA' 'lgoD' 'glpB' 'cyoA' 'epd' 'mtlA' 'fixC' 'zraR' 'grcA'
 'hyfH' 'mhpR' 'crp' 'raiA' 'rmf' 'lsrG' 'ebgC' 'fixB' 'mhpA' 'mtlD'
 'kbaZ' 'chiP' 'fiu' 'mokB' 'citX' 'cspE' 'psuG' 'fumB' 'gadE' 'dcuB']",['hyfE'],[],[],[],[],[],[],[],[],[],[],[],[]
IHF and Crp_genes,[],[],[],[],['rseD' 'sucA' 'paaD'],"['flhD' 'fis' 'tdcA' 'flhC' 'csgG' 'ompF' 'aceK' 'gltB' 'gcd' 'paaB'
 'ulaB' 'csgF' 'paaI' 'yjcH' 'glpQ' 'rpoH' 'aceB' 'envZ' 'paaC' 'hpt'
 'gltD' 'paaG' 'glpT' 'sucB' 'tdcC' 'pflB' 'sucC' 'csgD' 'cysG' 'gltF'
 'ulaE' 'sodA' 'ulaC' 'paaJ' 'osmY' 'paaE' 'acs' 'tdcF' 'paaK' 'gltA'
 'paaF' 'nirC' 'paaZ' 'dusB' 'sucD' 'tdcD' 'ompR' 'csgE' 'sodB' 'aceA'
 'ulaD' 'tdcG' 'tdcE' 'focA' 'ulaF' 'rseC' 'tdcB' 'nirD' 'rpoE' 'rseA'
 'rseB' 'ulaA' 'nirB' 'actP' 'paaH']",['paaA'],[],[],[],[],[],[],[],[],[],[],[],[],[]
