,A,Crp,PlaR,ihfB
R2,,0.007338529230407009,0.007020775935740353,0.005557472849635925
xmin,,-9.852476477,-6.5268699980000005,-3.9178110457
xmid,,-3.4346742777702244,,-0.6385792614213833
xmax,,2.5388323397,3.771104875,3.3245249795
ystart,,1.1926045264405083,1.6692272074455672,0.11401930425238449
yend,,-0.3442175186150015,-0.5790522368391553,1.2898601822368114
aat__00m_00s__1,3.8410621075,0.0344951212,-0.084318162,-0.1131958483
aat__00m_30s__1,0.9444052056000001,0.1435731223,-0.0843142655,0.0772468121
aat__01m_00s__1,0.34462288690000004,0.2534372822,-0.010663005500000001,0.0671979825
aat__02m_00s__1,0.6640505130000001,0.283920339,-0.49396573590000004,-0.031233225400000002
aat__05m_00s__1,-0.9972903798,0.3175329239,-0.4058991966,0.0201842575
aat__10m_00s__1,-0.3901992239,0.17602055360000002,-0.45546546450000003,-0.1696861744
aat__00m_00s__2,-0.8739316741,0.005256366,0.0441652824,0.030994294500000002
aat__00m_30s__2,-0.6610946748000001,0.2819816342,-0.1559059353,0.0539088152
aat__01m_00s__2,1.7063120255,0.2801678667,-0.2085902808,0.1097352022
aat__02m_00s__2,-0.3371539309,0.4762089513,-0.4191644712,0.2340397233
aat__05m_00s__2,0.043331434,0.5370175003000001,-0.4818825795,0.2579735379
aat__10m_00s__2,2.336358662,0.5086233319,-0.27003083440000003,0.5504911606
aat__00m_00s__3,-2.9671304334,-0.039751487200000005,0.040152879600000004,0.0822015539
aat__00m_30s__3,1.4980287775,0.2905320638,0.0080570368,0.4189166854
aat__01m_00s__3,0.9842052322,0.1859933018,0.08081369620000001,0.2529822276
aat__02m_00s__3,0.3366209707,0.3699621097,-0.3300682609,0.39341672120000004
aat__05m_00s__3,0.3195047367,0.5483756585,-0.3633368133,0.2673414086
aat__10m_00s__3,0.9796116271,0.50143841,-0.2610857427,0.42329341260000003
abx_mega__dmso-2__1,-2.2800663705,-0.4516798918,0.5915389489,2.297485246
abx_mega__ery_dmso__1,0.9067003795,-1.8893970692000002,1.5649358296,-1.5657193052
abx_mega__nal_naoh__1,2.6236154162,-0.1701238306,0.5308470804000001,1.171465281
abx_mega__dmso-5__1,1.0075253094,0.1340371706,0.27234410870000003,0.294111116
abx_mega__rif_dmso__1,3.7411636268,-0.8477189713000001,0.7354607855,0.9331627303000001
abx_mega__novo_h2o__1,-0.0175088994,0.1307715067,-0.1202248202,-1.5948301920999999
abx_mega__rach_dmso__1,-2.1500388259,-0.2340068764,-0.6607239647,-0.6969566792
abx_mega__metro_dmso__1,-0.6745927759,-0.33700626310000004,2.0997988124,-0.24371025970000001
abx_mega__dmso-6__1,-1.5802328792,-0.2857852433,0.8139163472000001,0.3294536628
abx_mega__chl_h2o__1,-0.2017739073,-2.9247054987,-0.7273588641000001,-1.0253066066
abx_mega__cst_h2o__1,-0.9166530761,0.0899715865,-0.7482281857,-1.1929652783
abx_mega__tec_h2o__1,-0.9001801918000001,-1.6070723407,0.7952294491,0.8805616572
abx_mega__str_h2o__1,-0.6811090865,-0.5390842036,-0.020005596400000002,1.9132335694
abx_mega__ctx_h2o__1,-0.099459297,-0.0980165268,-0.3149443386,-1.1279696429000001
abx_mega__nal_naoh__2,-0.4653772474,0.2016373309,0.6724305738,-0.9605612867000001
abx_mega__phos_h2o__1,-0.5308654232,-0.2490351859,-0.9434283568,-0.7856317823000001
abx_mega__dmso-5__2,0.1166998479,0.0411821817,0.6238970157,0.10447339950000001
abx_mega__polmyx_h2o__1,-0.5459253378,0.0231238538,-0.2044584954,-1.1566112913
abx_mega__h2o-8b__1,-0.7542254978,0.0476350313,-0.7391242377,-0.5151260577
abx_mega__h2o-6__1,-1.67416023,0.24713669740000002,0.2163356498,-0.3442757495
abx_mega__thio_dmso__1,-0.17417193890000002,-1.5465123927,-1.1639245909,-2.3813583609
abx_mega__phos_h2o__2,-0.9183229443,0.2066153554,-0.6107873025,-1.0600417401
abx_mega__ctx_h2o__2,1.0182733205,-0.5157335737000001,-1.3009749153999999,-2.7828060503
abx_mega__lzd_dmso__1,-0.057771989,-1.8223907651,-0.0019258819,-0.938501404
abx_mega__naoh-9__1,-1.5691297275,0.36042412560000003,0.09858920630000001,-1.1086632386
