,dksA
Cr_1,-0.014845219898316756
Cr_2,-0.018382875214403543
Cr_3,-0.01647108563857207
Cr_4,-0.029462582049579907
Cr_5,-0.03902638041024497
Cr_6,-0.04184127578052449
Fe_1,-0.018247249165441185
Fe_2,-0.02358074688536864
Fe_3,-0.005097859780935611
Fe_4,0.011214964261218294
Fe_5,0.007500602083597042
Fe_6,-0.0055184835639015386
Cd_1,0.018470748279216687
Cd_2,0.037877923237579436
Cd_3,0.05828112647938829
Cd_4,0.07877971789329613
Cd_5,0.08785850479720914
Cd_6,0.09812496338030467
Zn_1,0.0007282727868421202
Zn_2,2.7427583298864843e-05
Zn_3,-0.00031127065966514363
Zn_4,-0.0022397161268574647
Zn_5,-0.007615215247222385
Zn_6,-0.00443581560570399
Cu_1,0.013641621273670834
Cu_2,0.012229192830917323
Cu_3,0.013546392489624396
Cu_4,0.01745788328224768
Cu_5,0.02904180964311284
Cu_6,0.025960539903138413
Pb_1,-0.009743358308069126
Pb_2,-0.014796093900633953
Pb_3,-0.011145008348038509
Pb_4,-0.007691728376722405
Pb_5,-0.012206204472649246
Pb_6,-0.0042400383990337616
