,A,GlpR
R2,,0.0
xmin,,-3.687042556
xmid,,
xmax,,0.9237816860000001
ystart,,3.7295309260591414
yend,,3.7295309260591414
ecoli_00001,-0.0704434449,-0.100354306
ecoli_00002,0.0704434449,0.100354306
ecoli_00003,2.0549270277,-0.16257268200000002
ecoli_00004,1.9710919539,-0.13512164200000001
ecoli_00005,-0.2474293593,-0.342373384
ecoli_00006,-0.2033841322,-0.323600722
ecoli_00007,1.0023577493,-0.279939388
ecoli_00008,1.0454990641,-0.45745707100000005
ecoli_00009,0.1550477766,-0.025440178
ecoli_00010,0.2031931531,-0.21811381400000002
ecoli_00011,0.2347114075,-0.195698755
ecoli_00012,0.3796657644,-0.186461643
ecoli_00014,0.3014043822,-0.13421169300000002
ecoli_00015,0.2191846041,-0.125375403
ecoli_00016,0.0159932445,-0.153365612
ecoli_00017,0.0901895056,-0.257427578
ecoli_00018,0.09595874630000001,-0.100609403
ecoli_00019,2.6801952305,-0.9765262170000001
ecoli_00020,2.7526776341,-0.9646141690000001
ecoli_00021,2.0766596703,-0.38811414800000005
ecoli_00022,2.0578160035,-0.384833307
ecoli_00023,2.0768267113,-0.9846600430000001
ecoli_00024,1.953486574,-0.9532042180000001
ecoli_00025,2.5728522442,-0.873545557
ecoli_00026,3.1492840038,-1.019754785
ecoli_00027,0.8507233487,0.17289005600000001
ecoli_00028,0.8563141963,0.036032412
ecoli_00029,0.3332770796,0.041062558000000006
ecoli_00030,0.7133285937,0.160920601
ecoli_00031,1.2447974086,0.21143540800000002
ecoli_00032,1.2267921831,0.353498122
ecoli_00033,1.8795224414,0.0006520390000000001
ecoli_00034,1.5341047614,0.42422752700000005
ecoli_00035,0.4803323738,0.194407402
ecoli_00036,0.46925743540000003,0.142367339
ecoli_00037,0.33732434510000003,0.173651935
ecoli_00038,0.7114386192000001,0.08538263
ecoli_00039,-0.1170408059,-0.19584968700000002
ecoli_00040,-0.45407770210000004,-0.204818633
ecoli_00041,0.9878055874,-0.607946223
ecoli_00042,0.8289493624000001,-0.529475386
ecoli_00043,0.3516704759,-0.24112424100000002
ecoli_00044,0.4261251843,-0.321669192
ecoli_00045,0.0330801863,-0.214181054
ecoli_00046,0.25854604200000003,-0.349232509
ecoli_00047,0.3563634408,-0.324261766
ecoli_00048,0.5276276817000001,-0.30484339
ecoli_00049,0.8523531878,-0.30437505
ecoli_00050,0.036879606700000005,0.87576741
ecoli_00051,0.19670508020000002,0.9237816860000001
ecoli_00052,-0.0539114032,0.6397033870000001
ecoli_00053,0.3739909159,0.501145754
ecoli_00054,2.4085314968000002,0.450324486
ecoli_00055,2.0465211021,0.494775936
ecoli_00056,3.2591815474,-0.515994202
ecoli_00057,3.4145517416,-0.25412660800000003
ecoli_00058,2.3407750227,-0.15908139999999998
ecoli_00059,1.8473694391,-0.099008547
ecoli_00060,-0.08236639600000001,0.15384187400000002
ecoli_00061,0.0989639113,0.19605686600000002
ecoli_00062,1.5098061191,-0.0024717050000000003
ecoli_00063,1.042710734,-0.100565843
ecoli_00064,2.1977480816,-1.455250091
ecoli_00065,2.7591216211000003,-1.066998654
ecoli_00066,2.3914718162,-0.798443832
ecoli_00067,2.2066616184,-0.770335168
ecoli_00068,-0.39229684600000003,-0.568540516
ecoli_00070,-0.1534862631,-0.499827232
ecoli_00071,-0.9745545486,-0.6435946180000001
ecoli_00072,-0.1576622172,-0.45029472400000004
ecoli_00073,-1.5308735611,-0.5801846390000001
ecoli_00074,-2.0436959168,-0.47663460900000004
ecoli_00075,0.9913192157,-1.529538632
ecoli_00077,0.6218647804,-0.594793196
ecoli_00078,-0.47513211650000003,-0.954049867
ecoli_00079,0.0703766811,-0.6952550510000001
ecoli_00080,-0.0720362362,-1.114079412
ecoli_00081,-0.6292587439,-0.26882521
ecoli_00082,3.2374663915,0.19324395600000002
ecoli_00083,3.5171331485,0.41276663500000005
ecoli_00084,4.3555749518999995,0.720462797
ecoli_00085,3.9078369200000003,0.45767866
ecoli_00086,3.197386091,-0.520263753
ecoli_00087,2.9083728939,-0.5044306080000001
ecoli_00088,0.3897045094,-0.071384391
ecoli_00089,0.5313902989,-0.297101583
ecoli_00090,0.1964786912,-0.34958757500000004
ecoli_00091,-0.11253267460000001,-0.338473421
ecoli_00092,5.3362556054,-0.664758124
ecoli_00093,1.0060409737,-0.023047274000000003
ecoli_00094,4.3437612913,-0.5944311800000001
ecoli_00095,4.2153779499,-0.8559365670000001
ecoli_00096,2.0527339297,-0.23232565300000002
ecoli_00097,2.0015991683,-0.30995859800000003
