,gntK
Cr_1,0.0006397363862020128
Cr_2,0.0018710653201451462
Cr_3,0.006285647216936081
Cr_4,0.006720131710656207
Cr_5,0.01289041889852733
Cr_6,0.022481734376065314
Fe_1,-0.004806198106807297
Fe_2,-0.01247572835222186
Fe_3,-0.013308861588046977
Fe_4,-0.0044352750085342035
Fe_5,0.010835496469496834
Fe_6,0.02561069392126597
Cd_1,0.0040480312170711645
Cd_2,0.0010208417595620298
Cd_3,0.00534184847347121
Cd_4,0.00847636073475948
Cd_5,0.008147686397291364
Cd_6,0.010721382656264405
Zn_1,-0.00010545782099849208
Zn_2,-0.01497374345560444
Zn_3,-0.018919203223474124
Zn_4,-0.015294808844970456
Zn_5,-0.01520020718552281
Zn_6,-0.01600974646236861
Cu_1,-0.009016555804953426
Cu_2,-0.013485828529236868
Cu_3,-0.005342223874122396
Cu_4,-0.004525747529005956
Cu_5,0.00018200851039050712
Cu_6,-0.0012961135164322195
Pb_1,-0.0033405422893896183
Pb_2,-0.0001999545855886352
Pb_3,0.0035085163768771304
Pb_4,3.776319424828137e-07
Pb_5,0.004295989130666608
Pb_6,0.004888642125146056
