,ribC
Cr_1,-0.0019704955689823886
Cr_2,-0.009769543027001677
Cr_3,-0.021782492473836384
Cr_4,-0.03664020587369427
Cr_5,-0.039467824784724
Cr_6,-0.044607028020498256
Fe_1,-0.03294345305101545
Fe_2,-0.049306139727217126
Fe_3,-0.05309705295656456
Fe_4,-0.05924743129238035
Fe_5,-0.05243741420272405
Fe_6,-0.045325661050241065
Cd_1,0.007532571239635999
Cd_2,0.01760348118625048
Cd_3,0.025946443049095352
Cd_4,0.03754713138376345
Cd_5,0.04751445333688184
Cd_6,0.060609848116733235
Zn_1,-0.0032438431519601785
Zn_2,-0.0012500294749147845
Zn_3,-0.012180916609618935
Zn_4,-0.0025817085308455327
Zn_5,0.015632570838340822
Zn_6,0.03945161002116847
Cu_1,0.0035887123914985462
Cu_2,0.0103711138730465
Cu_3,0.016355388809471554
Cu_4,0.02047542033809207
Cu_5,0.01490331919403027
Cu_6,0.015715509685325497
Pb_1,0.006008606044782051
Pb_2,0.010045876373371804
Pb_3,0.018803118077388856
Pb_4,0.03172822155036393
Pb_5,0.03998532668489625
Pb_6,0.053093043986013694
