,amyA
Cr_1,-0.003473648693357852
Cr_2,-0.004578095764491473
Cr_3,-0.0045021620898673545
Cr_4,-0.002307285047496957
Cr_5,0.001111643615001523
Cr_6,0.0010859956968027843
Fe_1,-0.008434994816310142
Fe_2,-0.030011206505316336
Fe_3,-0.07044563360681506
Fe_4,-0.11314229941182058
Fe_5,-0.1501266429110067
Fe_6,-0.1844194855412591
Cd_1,-0.0001347393728625743
Cd_2,-0.00027783481688656883
Cd_3,-4.681674441214801e-05
Cd_4,0.0006435589507438231
Cd_5,-0.004810744413895566
Cd_6,-0.007760509253909648
Zn_1,-0.0015250060380615695
Zn_2,-0.0034468258646096184
Zn_3,0.0015483817815686
Zn_4,0.00433296847428784
Zn_5,0.008845877956990404
Zn_6,0.015991541837909785
Cu_1,0.03947564550372922
Cu_2,0.11914011896585015
Cu_3,0.1808836277079249
Cu_4,0.222736242607398
Cu_5,0.2552586798496688
Cu_6,0.2751849404421199
Pb_1,0.005421077231640265
Pb_2,0.012929990617754057
Pb_3,0.01852548437321374
Pb_4,0.02587881774413351
Pb_5,0.03799224876036792
Pb_6,0.047920252102852334
