,ybjO
Cr_1,0.005128830781950323
Cr_2,0.009365113236881913
Cr_3,0.015303427053794434
Cr_4,0.021746918846173243
Cr_5,0.030438273198524487
Cr_6,0.024347934202793083
Fe_1,0.007953357925733191
Fe_2,0.003360276903038052
Fe_3,-0.006889492518008021
Fe_4,-0.03072498520417247
Fe_5,-0.04345432505194937
Fe_6,-0.051145326774568116
Cd_1,0.00019354835838365385
Cd_2,0.0039258881856440615
Cd_3,0.01149452240136082
Cd_4,0.019010925783252336
Cd_5,0.0203823207176234
Cd_6,0.02791929234445828
Zn_1,-0.009259266678271651
Zn_2,-0.005311090505347897
Zn_3,0.020422928601004475
Zn_4,0.05215912096096728
Zn_5,0.07098778466139535
Zn_6,0.08496129782778378
Cu_1,0.00712636353366815
Cu_2,0.015178214478341912
Cu_3,0.02966742359511305
Cu_4,0.05148594191760802
Cu_5,0.06930847672411768
Cu_6,0.08438915531498369
Pb_1,-0.006534407474864865
Pb_2,-0.0016816656579041885
Pb_3,0.009426935901509908
Pb_4,0.014211656744784125
Pb_5,0.028833381424924358
Pb_6,0.03099815248664505
