,aaeR
Cr_1,0.0032426640785892147
Cr_2,0.008531041045314243
Cr_3,0.014364525157179616
Cr_4,0.02080567403614313
Cr_5,0.027764004598200026
Cr_6,0.02921839668893375
Fe_1,-0.004282988121903653
Fe_2,-0.029740670206364343
Fe_3,-0.059222493591032814
Fe_4,-0.08082950596701972
Fe_5,-0.09528417366655162
Fe_6,-0.10815953910137872
Cd_1,0.002027371174350843
Cd_2,0.002878980487757169
Cd_3,0.0064393162301631295
Cd_4,0.010993972401427118
Cd_5,0.012179438982803709
Cd_6,0.021663965365830845
Zn_1,-0.0052928607204147295
Zn_2,-0.01107451744506732
Zn_3,-0.003294938419136963
Zn_4,0.014844928999550075
Zn_5,0.0346247142637511
Zn_6,0.055502012203133375
Cu_1,0.004781711343885703
Cu_2,0.013215590719812645
Cu_3,0.019814934733932348
Cu_4,0.027916903838188872
Cu_5,0.037043938959876975
Cu_6,0.04365407930823432
Pb_1,0.007891903575015766
Pb_2,0.02294719595208484
Pb_3,0.035204580348863375
Pb_4,0.051778169865904666
Pb_5,0.06052388559351767
Pb_6,0.07721178365909395
