,ppiD
Cr_1,-0.012385022650760674
Cr_2,-0.011047986400363
Cr_3,-0.004848021394254927
Cr_4,-0.009466967852290674
Cr_5,-0.005988790806114828
Cr_6,-0.005190004457760925
Fe_1,-0.016885189372847966
Fe_2,-0.027510057650856103
Fe_3,-0.018280808141579185
Fe_4,-0.004699667900646513
Fe_5,0.003394188999545056
Fe_6,-0.0051528202605948285
Cd_1,0.0001394248209617295
Cd_2,-0.00141270340748613
Cd_3,-0.0011740011798898867
Cd_4,0.0022794444565300705
Cd_5,-0.0005409577127827045
Cd_6,-0.0008595181070149338
Zn_1,0.001314766096976657
Zn_2,0.007743277029361681
Zn_3,0.026479658846816457
Zn_4,0.0506761104875309
Zn_5,0.06103609945940541
Zn_6,0.07164744346702527
Cu_1,0.0008070405930811796
Cu_2,0.003934120780356086
Cu_3,0.008641295203805275
Cu_4,0.013637672667220076
Cu_5,0.02489344143529754
Cu_6,0.04315149280414388
Pb_1,0.010376965923142458
Pb_2,0.016479020223651775
Pb_3,0.023428256324559613
Pb_4,0.035734956285410284
Pb_5,0.048955029838931324
Pb_6,0.06195044383727595
