,yhhF
Cr_1,-0.005122783717637195
Cr_2,-0.007466454155470073
Cr_3,0.0002800661026229025
Cr_4,0.0038915414713132095
Cr_5,0.008388375902708916
Cr_6,0.010778523297494487
Fe_1,-0.01195639498449874
Fe_2,-0.034147847997983184
Fe_3,-0.058523790455945725
Fe_4,-0.08542585762274088
Fe_5,-0.10752041023039907
Fe_6,-0.12695587696892832
Cd_1,-0.007417298947318219
Cd_2,-0.01554618536506177
Cd_3,-0.01772999619479587
Cd_4,-0.021974268540910037
Cd_5,-0.031920420450680526
Cd_6,-0.03648446566097213
Zn_1,-0.0765372931466563
Zn_2,-0.059979986950605024
Zn_3,-0.05289574116447216
Zn_4,-0.08759531081136374
Zn_5,-0.0892303203531169
Zn_6,-0.0770892224780002
Cu_1,0.0020144088189935926
Cu_2,0.010010970878135612
Cu_3,0.014987630353635826
Cu_4,0.02009670135192606
Cu_5,0.0242696272984528
Cu_6,0.028683643955494463
Pb_1,0.0047957165820014455
Pb_2,0.013918100734302493
Pb_3,0.025308787478573517
Pb_4,0.04354424436457762
Pb_5,0.046717955231027744
Pb_6,0.061351154031122415
