,ybhM
Cr_1,-2.804536280471053e-05
Cr_2,0.0043253654775954895
Cr_3,0.008029500085017236
Cr_4,0.011666692159672351
Cr_5,0.023102236185603045
Cr_6,0.024261756355388218
Fe_1,-0.00796529157996216
Fe_2,-0.02851173218167574
Fe_3,-0.044930236166692915
Fe_4,-0.060361506453836276
Fe_5,-0.0704072670020118
Fe_6,-0.07711909605869742
Cd_1,-0.01370302381388397
Cd_2,-0.030801348775954977
Cd_3,-0.038575192873198313
Cd_4,-0.04500755783738965
Cd_5,-0.058352722994817134
Cd_6,-0.0619277986683706
Zn_1,0.0007324498490041553
Zn_2,0.003003923579463763
Zn_3,0.016203883130827174
Zn_4,0.02729298531072513
Zn_5,0.033920690518183326
Zn_6,0.03520764083761785
Cu_1,6.302557655390252e-05
Cu_2,0.004256603564146191
Cu_3,0.005133168791211648
Cu_4,0.0067197115291379814
Cu_5,0.008157167583405837
Cu_6,0.012883679626836234
Pb_1,0.003164885315774194
Pb_2,0.003350339072661441
Pb_3,0.007214875070661906
Pb_4,0.007959460863984011
Pb_5,0.013118557209454705
Pb_6,0.02022171712091928
