,yaiE
Cr_1,-0.0059733965281627355
Cr_2,-0.01778659855843391
Cr_3,-0.022643540788939008
Cr_4,-0.028618275090294763
Cr_5,-0.03398584858985825
Cr_6,-0.04483273146825949
Fe_1,-0.014725400561863968
Fe_2,-0.046624877656141664
Fe_3,-0.09189948765338987
Fe_4,-0.14156703211811622
Fe_5,-0.18500408390527814
Fe_6,-0.22068917995307374
Cd_1,-0.013733022683138965
Cd_2,-0.019962168206196902
Cd_3,-0.0324344914734032
Cd_4,-0.03849121615180809
Cd_5,-0.03940940827330699
Cd_6,-0.03496334107080063
Zn_1,0.00020383328589344731
Zn_2,0.0019028480599032292
Zn_3,0.021712280146546883
Zn_4,0.07012207976384345
Zn_5,0.13525253962806127
Zn_6,0.2036421439238233
Cu_1,0.006937215227981252
Cu_2,0.0110560568348819
Cu_3,0.014175607314112574
Cu_4,0.017380704774305016
Cu_5,0.021847032610002242
Cu_6,0.02461691870856745
Pb_1,-0.0014533137373978332
Pb_2,0.004847222807415117
Pb_3,0.014392764151572243
Pb_4,0.026793818305063163
Pb_5,0.02925916650275317
Pb_6,0.03968719991152945
