,A,CysB
R2,,0.0720014991323722
xmin,,-1.753862387
xmid,,-0.35815630581700636
xmax,,2.60925802
ystart,,1.346556658907565
yend,,-1.481001769826594
control__wt_glc__1,-0.1509682572,0.009402596000000001
control__wt_glc__2,0.1509682572,-0.009402596000000001
fur__wt_dpd__1,1.5357835204999999,-0.23309463800000002
fur__wt_dpd__2,1.7995696137000001,-0.17926772
fur__wt_fe__1,1.8164811915999999,0.186805187
fur__wt_fe__2,1.5225670426,0.283247485
fur__delfur_dpd__1,0.7948302612,-0.32467438600000004
fur__delfur_dpd__2,1.2398276376,-0.13718796600000002
fur__delfur_fe2__1,1.1830175548,0.326990235
fur__delfur_fe2__2,1.0426314942,0.26560284100000003
acid__wt_ph5__1,1.8286954245,0.263152894
acid__wt_ph5__2,1.7933431343000001,0.235721322
acid__delgadx_ph5__2,1.7819390746,0.073550531
acid__delgadw_ph5__1,2.2793467619,0.315657621
acid__delgadw_ph5__2,1.9259860019000001,0.41196401200000005
acid__delgade_ph5__1,1.6870405311,0.41253481000000003
acid__delgade_ph5__2,2.0902442926,0.243783521
oxidative__wt_pq__1,-1.0551237989,-0.889264469
oxidative__wt_pq__2,-1.1122423064,-0.699935802
oxidative__deloxyr_pq__1,-1.92085925,-0.620564424
oxidative__deloxyr_pq__2,-2.7787237,-0.605630431
oxidative__delsoxr_pq__1,-0.4873154898,-0.694730956
oxidative__delsoxr_pq__2,-0.5846439816,-0.563037154
oxidative__delsoxs_pq__1,-0.5508924845000001,-0.7084298330000001
oxidative__delsoxs_pq__2,-1.239531445,-0.654491247
nac_ntrc__wt_csn__1,-0.0813758963,0.007599515
nac_ntrc__wt_csn__2,-0.20569480710000002,0.13775542300000002
nac_ntrc__wt_cytd__1,-0.600014267,0.197560972
nac_ntrc__wt_cytd__2,-0.6142243414,0.177159004
nac_ntrc__wt_gln__1,0.1279808284,0.094316431
nac_ntrc__wt_gln__2,-0.4313104325,0.028519389000000003
nac_ntrc__bw_delnac_csn__1,2.0627950849,-0.150064986
nac_ntrc__bw_delnac_csn__2,1.7756470506,-0.09221822
nac_ntrc__bw_delnac_cytd__1,0.42976712300000003,0.29840082100000004
nac_ntrc__bw_delnac_cytd__2,0.48102727430000003,0.21623465200000003
nac_ntrc__bw_delnac_gln__1,0.476120195,0.19351441200000002
nac_ntrc__bw_delnac_gln__2,1.1055476011,0.23312563100000003
nac_ntrc__bw_delnac_nh4__1,0.5929346217,0.23261966
nac_ntrc__bw_delnac_nh4__2,0.5584129073,0.247858197
misc__wt_no_te__1,0.26626579980000004,0.185526357
misc__wt_no_te__2,0.1406665258,0.31376848500000004
misc__bw_delcbl__1,1.9982407023,0.35929021800000005
misc__bw_delcbl__2,1.9563434380000002,0.40859360800000005
misc__bw_delfabr__1,1.8839931524,0.283157425
misc__bw_delfabr__2,1.7026925972,0.288119039
misc__bw_delfadr__1,1.2946032601,0.252934059
misc__bw_delfadr__2,0.9159764549,0.24774203
misc__nitr_031__1,0.4692916328,0.054420636
omics__wt_glu__1,0.5875618003,0.6655066460000001
omics__wt_glu__2,0.7092311680000001,0.256112127
omics__wt_gly__1,0.7893364058,0.12287151700000001
omics__wt_gly__2,0.9284029835000001,0.09579609
omics__wt_thr__1,-0.1376368936,0.6914102320000001
omics__wt_thr__2,0.0239338953,0.572106517
omics__bw_ac__1,-0.2009655086,0.17681841
