,0
gene_id,USA300HOU_RS07245
name,murG
operon,"murG,wecD"
gene_product,undecaprenyldiphospho-muramoylpentapeptide beta-N- acetylglucosaminyltransferase
COG,Cell wall/membrane/envelope biogenesis
regulator,<i>Not Available</i>
link,<i>Not Available</i>
